split,rollout_id,theta_id,sequence,u_ctrl,u_path,rewards
confirmation,0,0,0 3 26,0.96,1.040000 1.040000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,1,1,0 3 26,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,2,2,0 3 26,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,3,3,0 3 26,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,4,4,0 3 26,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,5,5,0 3 26,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,6,6,0 3 26,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,7,7,0 3 26,1.12,1.040000 0.960000 0.960000 1.120000,0.000000 0.000000 -1.120000
confirmation,8,8,0 3 26,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,9,9,0 3 26,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,10,10,0 3 26,1.12,1.040000 1.200000 1.120000 1.120000,0.000000 0.000000 -1.120000
confirmation,11,11,0 3 26,0.96,1.040000 1.120000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,12,12,0 3 26,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,13,13,0 3 26,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,14,14,0 3 26,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,15,15,0 3 26,0.96,1.040000 1.120000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,16,16,0 3 26,0.96,1.040000 1.040000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,17,17,0 3 26,0.96,1.040000 1.120000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,18,18,0 3 26,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,19,19,0 3 26,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,20,20,0 3 26,0.96,1.040000 1.120000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,21,21,0 3 26,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,22,22,0 3 26,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,23,23,0 3 26,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,24,24,0 3 26,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,25,25,0 3 26,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,26,26,0 3 26,0.96,1.040000 1.120000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,27,27,0 3 26,0.96,1.040000 1.040000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,28,28,0 3 26,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,29,29,0 3 26,0.96,1.040000 1.200000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,30,30,0 3 26,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,31,31,0 3 26,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,32,0,0 3 26,0.96,1.040000 1.040000 0.960000 0.960000,0.000000 0.000000 -0.960000
