contrast,mean_paired_diff,median_paired_diff,std_error,ci95_low,ci95_high,fraction_a_lower,fraction_b_lower,fraction_tied,n,n_bootstrap
improved_dad_minus_fixed,0.0033333333333333457,0.0,0.014825881534837123,-0.02666666666666666,0.030000000000000027,0.08333333333333333,0.125,0.7916666666666666,24,10000
improved_dad_minus_original_dad,9.25185853854297e-18,0.0,0.015970988190093818,-0.033333333333333326,0.030000000000000027,0.08333333333333333,0.125,0.7916666666666666,24,10000
fixed_init_dad_minus_fixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,24,10000
