update,mean_train_u_ctrl,method,update_seconds,trajectories_sampled,policy_entropy,validation_mean_u_ctrl,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_checkpoint_score,validation_meets_unique_floor
541,0.10968750000000001,RL-sBOED,0.61812424659729,34624,3.821281909942627,,,,,,
542,0.11109375000000002,RL-sBOED,0.6173534393310547,34688,3.835813283920288,,,,,,
543,0.1030078125,RL-sBOED,0.6182887554168701,34752,3.7968106269836426,,,,,,
544,0.127265625,RL-sBOED,0.6169083118438721,34816,3.8050453662872314,,,,,,
545,0.11355468750000001,RL-sBOED,0.6184206008911133,34880,3.77396559715271,,,,,,
546,0.10968750000000002,RL-sBOED,0.6191115379333496,34944,3.7711033821105957,,,,,,
547,0.11636718750000001,RL-sBOED,0.6179783344268799,35008,3.769481658935547,,,,,,
548,0.106171875,RL-sBOED,0.6177337169647217,35072,3.7654366493225098,,,,,,
549,0.1153125,RL-sBOED,0.6174898147583008,35136,3.798701524734497,,,,,,
550,0.120234375,RL-sBOED,0.6174235343933105,35200,3.8175225257873535,0.10265625000000002,36,3.1245908001879803,0.28125,0.10265625000000002,1
551,0.101953125,RL-sBOED,0.6141042709350586,35264,3.829472303390503,,,,,,
552,0.1149609375,RL-sBOED,0.6166386604309082,35328,3.8187999725341797,,,,,,
553,0.10371093750000002,RL-sBOED,0.6173670291900635,35392,3.787734270095825,,,,,,
554,0.10230468749999999,RL-sBOED,0.616896390914917,35456,3.7667202949523926,,,,,,
555,0.10371093750000002,RL-sBOED,0.6194660663604736,35520,3.7890212535858154,,,,,,
556,0.1001953125,RL-sBOED,0.6172103881835938,35584,3.759300947189331,,,,,,
557,0.104765625,RL-sBOED,0.6172432899475098,35648,3.779261350631714,,,,,,
558,0.1128515625,RL-sBOED,0.6181159019470215,35712,3.8063066005706787,,,,,,
559,0.10371093750000002,RL-sBOED,0.6169800758361816,35776,3.78460955619812,,,,,,
560,0.1040625,RL-sBOED,0.6171045303344727,35840,3.834625720977783,,,,,,
561,0.1016015625,RL-sBOED,0.6160757541656494,35904,3.874788761138916,,,,,,
562,0.11144531249999999,RL-sBOED,0.6192560195922852,35968,3.8811347484588623,,,,,,
563,0.11039062499999999,RL-sBOED,0.6175975799560547,36032,3.8779239654541016,,,,,,
564,0.1072265625,RL-sBOED,0.617774486541748,36096,3.876088857650757,,,,,,
565,0.10792968750000001,RL-sBOED,0.6173281669616699,36160,3.8926684856414795,,,,,,
566,0.11109375000000002,RL-sBOED,0.6167960166931152,36224,3.881127119064331,,,,,,
567,0.10828125,RL-sBOED,0.6175854206085205,36288,3.877373456954956,,,,,,
568,0.10933593750000001,RL-sBOED,0.6179764270782471,36352,3.8871705532073975,,,,,,
569,0.1125,RL-sBOED,0.6176719665527344,36416,3.874065399169922,,,,,,
570,0.104765625,RL-sBOED,0.6181085109710693,36480,3.8590970039367676,,,,,,
571,0.11249999999999999,RL-sBOED,0.6181344985961914,36544,3.876556873321533,,,,,,
572,0.10019531250000001,RL-sBOED,0.6179077625274658,36608,3.859912872314453,,,,,,
573,0.11039062500000002,RL-sBOED,0.6186439990997314,36672,3.8617820739746094,,,,,,
574,0.1040625,RL-sBOED,0.6148695945739746,36736,3.8740928173065186,,,,,,
575,0.10546875,RL-sBOED,0.6177065372467041,36800,3.891270399093628,0.10423828125000001,25,2.7184412631471937,0.1953125,0.10423828125000001,0
576,0.11460937500000001,RL-sBOED,0.6162018775939941,36864,3.896857976913452,,,,,,
577,0.11249999999999999,RL-sBOED,0.618027925491333,36928,3.899113416671753,,,,,,
578,0.110390625,RL-sBOED,0.6179616451263428,36992,3.8816699981689453,,,,,,
579,0.106875,RL-sBOED,0.616767168045044,37056,3.880627393722534,,,,,,
580,0.10933593750000001,RL-sBOED,0.6181249618530273,37120,3.869237184524536,,,,,,
581,0.10054687500000001,RL-sBOED,0.6179895401000977,37184,3.8728561401367188,,,,,,
582,0.11988281249999999,RL-sBOED,0.6172888278961182,37248,3.8792340755462646,,,,,,
583,0.125859375,RL-sBOED,0.6183593273162842,37312,3.859992265701294,,,,,,
584,0.11531250000000001,RL-sBOED,0.6168506145477295,37376,3.871016025543213,,,,,,
585,0.108984375,RL-sBOED,0.617565393447876,37440,3.862791061401367,,,,,,
586,0.104765625,RL-sBOED,0.6171998977661133,37504,3.8362457752227783,,,,,,
587,0.108984375,RL-sBOED,0.6166172027587891,37568,3.8471786975860596,,,,,,
588,0.09984375,RL-sBOED,0.6173820495605469,37632,3.8453316688537598,,,,,,
589,0.1030078125,RL-sBOED,0.6168205738067627,37696,3.832160711288452,,,,,,
590,0.1040625,RL-sBOED,0.6163530349731445,37760,3.8410611152648926,,,,,,
591,0.1114453125,RL-sBOED,0.6175823211669922,37824,3.8378288745880127,,,,,,
592,0.1121484375,RL-sBOED,0.6168513298034668,37888,3.8471603393554688,,,,,,
593,0.11496093750000001,RL-sBOED,0.6167018413543701,37952,3.816288709640503,,,,,,
594,0.1058203125,RL-sBOED,0.6164507865905762,38016,3.8361992835998535,,,,,,
595,0.11531250000000001,RL-sBOED,0.6164703369140625,38080,3.7986679077148438,,,,,,
596,0.104765625,RL-sBOED,0.6178455352783203,38144,3.8319852352142334,,,,,,
597,0.10546875,RL-sBOED,0.6162137985229492,38208,3.814734697341919,,,,,,
598,0.10863281250000001,RL-sBOED,0.6170427799224854,38272,3.8502800464630127,,,,,,
599,0.11953125,RL-sBOED,0.6163969039916992,38336,3.8452911376953125,,,,,,
600,0.11390625,RL-sBOED,0.6173739433288574,38400,3.849480390548706,0.10230468750000002,8,1.4258273378823725,0.0625,0.10230468750000002,0
601,0.11460937500000001,RL-sBOED,0.6133806705474854,38464,3.8500277996063232,,,,,,
602,0.09984375000000001,RL-sBOED,0.6171848773956299,38528,3.843745470046997,,,,,,
603,0.1156640625,RL-sBOED,0.6167037487030029,38592,3.8391480445861816,,,,,,
604,0.10898437500000001,RL-sBOED,0.6172165870666504,38656,3.8481101989746094,,,,,,
605,0.11109374999999999,RL-sBOED,0.616769552230835,38720,3.841756582260132,,,,,,
606,0.10265625,RL-sBOED,0.6174781322479248,38784,3.82524037361145,,,,,,
607,0.0973828125,RL-sBOED,0.6179852485656738,38848,3.815061330795288,,,,,,
608,0.1044140625,RL-sBOED,0.6193490028381348,38912,3.8144593238830566,,,,,,
609,0.10828125,RL-sBOED,0.6195559501647949,38976,3.826918840408325,,,,,,
610,0.11636718750000001,RL-sBOED,0.6194534301757812,39040,3.8260903358459473,,,,,,
611,0.1079296875,RL-sBOED,0.6191699504852295,39104,3.7901694774627686,,,,,,
612,0.10863281250000001,RL-sBOED,0.6191434860229492,39168,3.7940196990966797,,,,,,
613,0.103359375,RL-sBOED,0.6200134754180908,39232,3.781208038330078,,,,,,
614,0.1096875,RL-sBOED,0.6181051731109619,39296,3.752478837966919,,,,,,
615,0.10230468749999999,RL-sBOED,0.6556074619293213,39360,3.747662305831909,,,,,,
616,0.09984375000000001,RL-sBOED,0.6197302341461182,39424,3.7982118129730225,,,,,,
617,0.104765625,RL-sBOED,0.6182022094726562,39488,3.8184216022491455,,,,,,
618,0.11460937500000001,RL-sBOED,0.6181254386901855,39552,3.841703176498413,,,,,,
619,0.11460937500000001,RL-sBOED,0.6192190647125244,39616,3.8713631629943848,,,,,,
620,0.10898437500000001,RL-sBOED,0.6181957721710205,39680,3.9029197692871094,,,,,,
621,0.1037109375,RL-sBOED,0.6186842918395996,39744,3.9087722301483154,,,,,,
622,0.10933593750000001,RL-sBOED,0.6173770427703857,39808,3.90362548828125,,,,,,
623,0.10828125,RL-sBOED,0.6198689937591553,39872,3.890375852584839,,,,,,
624,0.11460937500000001,RL-sBOED,0.6199095249176025,39936,3.8809287548065186,,,,,,
625,0.1100390625,RL-sBOED,0.6240472793579102,40000,3.889812469482422,0.10248046875000003,39,3.2596808768888668,0.3046875,0.10248046875000003,1
626,0.1040625,RL-sBOED,0.6146752834320068,40064,3.8792266845703125,,,,,,
627,0.1065234375,RL-sBOED,0.6181704998016357,40128,3.8736572265625,,,,,,
628,0.1128515625,RL-sBOED,0.6203098297119141,40192,3.8974664211273193,,,,,,
629,0.106171875,RL-sBOED,0.6229269504547119,40256,3.871227741241455,,,,,,
630,0.10863281250000001,RL-sBOED,0.6224410533905029,40320,3.870436906814575,,,,,,
