update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,router_entropy,expert_redundancy,max_expert_usage,expert_residual_scale,validation_mean_u_ctrl,validation_mean_mocu,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor,moe_adaptivity_constraint
1,0.1771875023841858,0.1771875023841858,MoE-sBOED,0.2942221164703369,64,3.364659070968628,1.384887456893921,0.09291992336511612,0.26555946469306946,0.11925306916236877,,,,,,,,,,,
2,0.15656250715255737,0.15656250715255737,MoE-sBOED,0.05163908004760742,128,3.3635382652282715,1.3851847648620605,0.04671850427985191,0.2606692314147949,0.11934114992618561,,,,,,,,,,,
3,0.18140625953674316,0.18140625953674316,MoE-sBOED,0.05378913879394531,192,3.362596035003662,1.3854455947875977,0.00973084382712841,0.2526093125343323,0.11942414194345474,,,,,,,,,,,
4,0.17624999582767487,0.17624999582767487,MoE-sBOED,0.06107592582702637,256,3.361729383468628,1.3855209350585938,0.007066221907734871,0.2518766522407532,0.11952369660139084,,,,,,,,,,,
5,0.18046875298023224,0.18046875298023224,MoE-sBOED,0.0546116828918457,320,3.3607630729675293,1.3856830596923828,0.0024102553725242615,0.2555307149887085,0.11962630599737167,,,,,,,,,,,
6,0.1795312613248825,0.1795312613248825,MoE-sBOED,0.057215213775634766,384,3.35959792137146,1.3858708143234253,0.0027088841889053583,0.2522919178009033,0.1196996346116066,,,,,,,,,,,
7,0.16875000298023224,0.16875000298023224,MoE-sBOED,0.05197596549987793,448,3.358250617980957,1.3859539031982422,0.0025703595019876957,0.25228771567344666,0.11977837979793549,,,,,,,,,,,
8,0.17109374701976776,0.17109374701976776,MoE-sBOED,0.05400800704956055,512,3.3565192222595215,1.385949969291687,0.0011510895565152168,0.2529217302799225,0.1198907345533371,,,,,,,,,,,
9,0.16312499344348907,0.16312499344348907,MoE-sBOED,0.05180811882019043,576,3.3549163341522217,1.3859028816223145,0.0007161253015510738,0.2511066794395447,0.11998011916875839,,,,,,,,,,,
10,0.1846875101327896,0.1846875101327896,MoE-sBOED,0.049927711486816406,640,3.3525967597961426,1.3858058452606201,0.001105747651308775,0.250618040561676,0.12004342675209045,,,,,,,,,,,
11,0.19218750298023224,0.19218750298023224,MoE-sBOED,0.0556948184967041,704,3.3495118618011475,1.3857042789459229,0.00037687685107812285,0.25293591618537903,0.12015657126903534,,,,,,,,,,,
12,0.16734375059604645,0.16734375059604645,MoE-sBOED,0.06495547294616699,768,3.3475921154022217,1.385704517364502,0.0011652476387098432,0.2502848207950592,0.12025941908359528,,,,,,,,,,,
13,0.17531248927116394,0.17531248927116394,MoE-sBOED,0.056830406188964844,832,3.3453969955444336,1.3855981826782227,0.0010062804212793708,0.2546079456806183,0.12034493684768677,,,,,,,,,,,
14,0.18328125774860382,0.18328125774860382,MoE-sBOED,0.07617640495300293,896,3.343804359436035,1.3856074810028076,0.0005025833961553872,0.2534104585647583,0.1204148605465889,,,,,,,,,,,
15,0.18515625596046448,0.18515625596046448,MoE-sBOED,0.0602726936340332,960,3.3443000316619873,1.385647177696228,0.00043866250780411065,0.2544819712638855,0.1204226091504097,,,,,,,,,,,
16,0.18562500178813934,0.18562500178813934,MoE-sBOED,0.0621640682220459,1024,3.3456122875213623,1.3857988119125366,0.00044876441825181246,0.2552199065685272,0.1203504428267479,,,,,,,,,,,
17,0.18000000715255737,0.18000000715255737,MoE-sBOED,0.07738947868347168,1088,3.3455989360809326,1.3860505819320679,0.0004803795600309968,0.25232139229774475,0.12030190974473953,,,,,,,,,,,
18,0.17906250059604645,0.17906250059604645,MoE-sBOED,0.06363797187805176,1152,3.342512845993042,1.3859214782714844,0.0009958657901734114,0.25816991925239563,0.12033151090145111,,,,,,,,,,,
19,0.1743749976158142,0.1743749976158142,MoE-sBOED,0.07769322395324707,1216,3.34279203414917,1.3861138820648193,0.0012490010121837258,0.2519131302833557,0.12039199471473694,,,,,,,,,,,
20,0.17625001072883606,0.17625001072883606,MoE-sBOED,0.07396292686462402,1280,3.348050594329834,1.385962724685669,0.0004011022683698684,0.25497961044311523,0.12042642384767532,,,,,,,,,,,
21,0.17249999940395355,0.17249999940395355,MoE-sBOED,0.06890058517456055,1344,3.3484792709350586,1.3859485387802124,0.000490766775328666,0.2532581686973572,0.12045323103666306,,,,,,,,,,,
