update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,validation_mean_u_ctrl,validation_mean_mocu,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor
1,0.17671874165534973,0.17671874165534973,RL-sBOED,0.2608158588409424,64,3.3583076000213623,,,,,,,,,,
2,0.16687500476837158,0.16687500476837158,RL-sBOED,0.03843212127685547,128,3.349745512008667,,,,,,,,,,
3,0.16171875596046448,0.16171875596046448,RL-sBOED,0.04466509819030762,192,3.341841459274292,,,,,,,,,,
4,0.17531250417232513,0.17531250417232513,RL-sBOED,0.03673267364501953,256,3.3320040702819824,,,,,,,,,,
5,0.17249999940395355,0.17249999940395355,RL-sBOED,0.0547032356262207,320,3.3244733810424805,,,,,,,,,,
6,0.17531248927116394,0.17531248927116394,RL-sBOED,0.034981727600097656,384,3.314560890197754,,,,,,,,,,
7,0.1626562476158142,0.1626562476158142,RL-sBOED,0.042890071868896484,448,3.305528402328491,,,,,,,,,,
8,0.16593751311302185,0.16593751311302185,RL-sBOED,0.03296947479248047,512,3.293393850326538,,,,,,,,,,
9,0.17531250417232513,0.17531250417232513,RL-sBOED,0.03180098533630371,576,3.287639617919922,,,,,,,,,,
10,0.17812499403953552,0.17812499403953552,RL-sBOED,0.03197836875915527,640,3.2908263206481934,,,,,,,,,,
11,0.1771874874830246,0.1771874874830246,RL-sBOED,0.03180432319641113,704,3.2959818840026855,,,,,,,,,,
12,0.1668749898672104,0.1668749898672104,RL-sBOED,0.032332420349121094,768,3.298691511154175,,,,,,,,,,
13,0.17765626311302185,0.17765626311302185,RL-sBOED,0.032186269760131836,832,3.2973086833953857,,,,,,,,,,
14,0.19031250476837158,0.19031250476837158,RL-sBOED,0.03182053565979004,896,3.2967123985290527,,,,,,,,,,
15,0.18281249701976776,0.18281249701976776,RL-sBOED,0.031865596771240234,960,3.293269157409668,,,,,,,,,,
16,0.17625001072883606,0.17625001072883606,RL-sBOED,0.03195929527282715,1024,3.290978193283081,,,,,,,,,,
17,0.17390625178813934,0.17390625178813934,RL-sBOED,0.03193831443786621,1088,3.292879581451416,,,,,,,,,,
18,0.15703125298023224,0.15703125298023224,RL-sBOED,0.032034873962402344,1152,3.29944109916687,,,,,,,,,,
19,0.18187500536441803,0.18187500536441803,RL-sBOED,0.031729936599731445,1216,3.3038718700408936,,,,,,,,,,
20,0.16968750953674316,0.16968750953674316,RL-sBOED,0.03184223175048828,1280,3.3057079315185547,,,,,,,,,,
21,0.17671875655651093,0.17671875655651093,RL-sBOED,0.0321955680847168,1344,3.3032913208007812,,,,,,,,,,
22,0.18140625953674316,0.18140625953674316,RL-sBOED,0.03230929374694824,1408,3.30047607421875,,,,,,,,,,
23,0.16499999165534973,0.16499999165534973,RL-sBOED,0.03218245506286621,1472,3.2976818084716797,,,,,,,,,,
24,0.1706250011920929,0.1706250011920929,RL-sBOED,0.031671762466430664,1536,3.2946269512176514,,,,,,,,,,
25,0.18046873807907104,0.18046873807907104,RL-sBOED,0.031815290451049805,1600,3.286637783050537,0.16804687499999998,0.073671875,4,0.428215334912451,0.03125,0.0546875,0,0.001640625,1000.120546875,0
26,0.17343750596046448,0.17343750596046448,RL-sBOED,0.03206276893615723,1664,3.279813289642334,,,,,,,,,,
27,0.17906251549720764,0.17906251549720764,RL-sBOED,0.03188633918762207,1728,3.275599479675293,,,,,,,,,,
28,0.18421874940395355,0.18421874940395355,RL-sBOED,0.03197073936462402,1792,3.266981840133667,,,,,,,,,,
29,0.17578125,0.17578125,RL-sBOED,0.032150983810424805,1856,3.2603261470794678,,,,,,,,,,
30,0.17343750596046448,0.17343750596046448,RL-sBOED,0.031928062438964844,1920,3.2687020301818848,,,,,,,,,,
31,0.1706250011920929,0.1706250011920929,RL-sBOED,0.03212285041809082,1984,3.2835261821746826,,,,,,,,,,
32,0.17015624046325684,0.17015624046325684,RL-sBOED,0.033945560455322266,2048,3.2942581176757812,,,,,,,,,,
33,0.17296874523162842,0.17296874523162842,RL-sBOED,0.033196449279785156,2112,3.3050246238708496,,,,,,,,,,
34,0.17015624046325684,0.17015624046325684,RL-sBOED,0.03186464309692383,2176,3.312025547027588,,,,,,,,,,
35,0.17249999940395355,0.17249999940395355,RL-sBOED,0.03200864791870117,2240,3.316654682159424,,,,,,,,,,
36,0.18468749523162842,0.18468749523162842,RL-sBOED,0.03179311752319336,2304,3.3170268535614014,,,,,,,,,,
37,0.17531250417232513,0.17531250417232513,RL-sBOED,0.03201770782470703,2368,3.3147125244140625,,,,,,,,,,
38,0.17812500894069672,0.17812500894069672,RL-sBOED,0.0320589542388916,2432,3.302492618560791,,,,,,,,,,
39,0.1678124964237213,0.1678124964237213,RL-sBOED,0.0317690372467041,2496,3.2916038036346436,,,,,,,,,,
40,0.1589062511920929,0.1589062511920929,RL-sBOED,0.03212904930114746,2560,3.2849299907684326,,,,,,,,,,
41,0.17015624046325684,0.17015624046325684,RL-sBOED,0.03204226493835449,2624,3.2844457626342773,,,,,,,,,,
42,0.15046875178813934,0.15046875178813934,RL-sBOED,0.03212785720825195,2688,3.2875475883483887,,,,,,,,,,
43,0.16874998807907104,0.16874998807907104,RL-sBOED,0.03181886672973633,2752,3.295889377593994,,,,,,,,,,
44,0.18656250834465027,0.18656250834465027,RL-sBOED,0.03217792510986328,2816,3.2931411266326904,,,,,,,,,,
45,0.15703125298023224,0.15703125298023224,RL-sBOED,0.06003069877624512,2880,3.2892093658447266,,,,,,,,,,
46,0.18328124284744263,0.18328124284744263,RL-sBOED,0.04134726524353027,2944,3.2880666255950928,,,,,,,,,,
47,0.16078126430511475,0.16078126430511475,RL-sBOED,0.03315138816833496,3008,3.290722370147705,,,,,,,,,,
48,0.18140624463558197,0.18140624463558197,RL-sBOED,0.032866716384887695,3072,3.29325008392334,,,,,,,,,,
49,0.1603125035762787,0.1603125035762787,RL-sBOED,0.046898603439331055,3136,3.2986083030700684,,,,,,,,,,
50,0.17906251549720764,0.17906251549720764,RL-sBOED,0.039603233337402344,3200,3.3062033653259277,0.173671875,0.063671875,1,-0.0,0.0078125,0.015625,1,0.00046875,0.063671875,0
51,0.18515625596046448,0.18515625596046448,RL-sBOED,0.03229093551635742,3264,3.3019843101501465,,,,,,,,,,
52,0.16968750953674316,0.16968750953674316,RL-sBOED,0.03181266784667969,3328,3.2903528213500977,,,,,,,,,,
53,0.17578125,0.17578125,RL-sBOED,0.0316309928894043,3392,3.281126022338867,,,,,,,,,,
54,0.17109376192092896,0.17109376192092896,RL-sBOED,0.03203558921813965,3456,3.2777957916259766,,,,,,,,,,
55,0.1823437511920929,0.1823437511920929,RL-sBOED,0.03223133087158203,3520,3.2823939323425293,,,,,,,,,,
56,0.16453124582767487,0.16453124582767487,RL-sBOED,0.031989097595214844,3584,3.284803867340088,,,,,,,,,,
57,0.1860937476158142,0.1860937476158142,RL-sBOED,0.032337188720703125,3648,3.285910129547119,,,,,,,,,,
58,0.18515625596046448,0.18515625596046448,RL-sBOED,0.031836748123168945,3712,3.283015727996826,,,,,,,,,,
59,0.17531248927116394,0.17531248927116394,RL-sBOED,0.03175020217895508,3776,3.2780063152313232,,,,,,,,,,
60,0.18281251192092896,0.18281251192092896,RL-sBOED,0.03164958953857422,3840,3.2744946479797363,,,,,,,,,,
61,0.1860937476158142,0.1860937476158142,RL-sBOED,0.03167462348937988,3904,3.274930953979492,,,,,,,,,,
62,0.17109374701976776,0.17109374701976776,RL-sBOED,0.031836748123168945,3968,3.272550582885742,,,,,,,,,,
63,0.1720312535762787,0.1720312535762787,RL-sBOED,0.03159666061401367,4032,3.294405698776245,,,,,,,,,,
64,0.15468749403953552,0.15468749403953552,RL-sBOED,0.03248882293701172,4096,3.310986280441284,,,,,,,,,,
65,0.1495312601327896,0.1495312601327896,RL-sBOED,0.03222393989562988,4160,3.3109970092773438,,,,,,,,,,
66,0.17812499403953552,0.17812499403953552,RL-sBOED,0.031882524490356445,4224,3.3098154067993164,,,,,,,,,,
67,0.17390625178813934,0.17390625178813934,RL-sBOED,0.031950950622558594,4288,3.3119821548461914,,,,,,,,,,
68,0.1706250011920929,0.1706250011920929,RL-sBOED,0.032263994216918945,4352,3.3089702129364014,,,,,,,,,,
69,0.17015624046325684,0.17015624046325684,RL-sBOED,0.03207278251647949,4416,3.3133788108825684,,,,,,,,,,
70,0.1654687523841858,0.1654687523841858,RL-sBOED,0.03185629844665527,4480,3.318018674850464,,,,,,,,,,
71,0.16171875596046448,0.16171875596046448,RL-sBOED,0.0318753719329834,4544,3.3256540298461914,,,,,,,,,,
72,0.1809374988079071,0.1809374988079071,RL-sBOED,0.032094478607177734,4608,3.325611114501953,,,,,,,,,,
73,0.16124999523162842,0.16124999523162842,RL-sBOED,0.03203582763671875,4672,3.321977138519287,,,,,,,,,,
74,0.1743749976158142,0.1743749976158142,RL-sBOED,0.032161712646484375,4736,3.3114993572235107,,,,,,,,,,
75,0.1823437511920929,0.1823437511920929,RL-sBOED,0.031958818435668945,4800,3.298025608062744,0.1846875,0.18875,15,2.230198596119122,0.1171875,0.171875,0,0.010312499999999999,1001.4075,0
76,0.16218750178813934,0.16218750178813934,RL-sBOED,0.03192925453186035,4864,3.2972047328948975,,,,,,,,,,
77,0.16734375059604645,0.16734375059604645,RL-sBOED,0.03189969062805176,4928,3.292562484741211,,,,,,,,,,
78,0.1954687535762787,0.1954687535762787,RL-sBOED,0.03164172172546387,4992,3.292023181915283,,,,,,,,,,
79,0.17109376192092896,0.17109376192092896,RL-sBOED,0.03180742263793945,5056,3.2940802574157715,,,,,,,,,,
80,0.15937499701976776,0.15937499701976776,RL-sBOED,0.03190732002258301,5120,3.2970829010009766,,,,,,,,,,
81,0.17812500894069672,0.17812500894069672,RL-sBOED,0.03180074691772461,5184,3.3023183345794678,,,,,,,,,,
82,0.18421874940395355,0.18421874940395355,RL-sBOED,0.031942129135131836,5248,3.312791347503662,,,,,,,,,,
83,0.17765626311302185,0.17765626311302185,RL-sBOED,0.03225874900817871,5312,3.319550037384033,,,,,,,,,,
84,0.1692187488079071,0.1692187488079071,RL-sBOED,0.03204846382141113,5376,3.3254361152648926,,,,,,,,,,
85,0.1823437511920929,0.1823437511920929,RL-sBOED,0.03238058090209961,5440,3.3244729042053223,,,,,,,,,,
86,0.1706250011920929,0.1706250011920929,RL-sBOED,0.03227829933166504,5504,3.3232970237731934,,,,,,,,,,
87,0.19500000774860382,0.19500000774860382,RL-sBOED,0.032016754150390625,5568,3.322915554046631,,,,,,,,,,
88,0.1889062523841858,0.1889062523841858,RL-sBOED,0.032181501388549805,5632,3.3190464973449707,,,,,,,,,,
89,0.1654687523841858,0.1654687523841858,RL-sBOED,0.03201699256896973,5696,3.3163862228393555,,,,,,,,,,
90,0.16734375059604645,0.16734375059604645,RL-sBOED,0.03185105323791504,5760,3.316655158996582,,,,,,,,,,
91,0.15328125655651093,0.15328125655651093,RL-sBOED,0.03197431564331055,5824,3.3175930976867676,,,,,,,,,,
92,0.15281251072883606,0.15281251072883606,RL-sBOED,0.032039642333984375,5888,3.317784070968628,,,,,,,,,,
93,0.18843750655651093,0.18843750655651093,RL-sBOED,0.03196835517883301,5952,3.314497709274292,,,,,,,,,,
94,0.1771875023841858,0.1771875023841858,RL-sBOED,0.03214716911315918,6016,3.3198986053466797,,,,,,,,,,
95,0.17156249284744263,0.17156249284744263,RL-sBOED,0.03219413757324219,6080,3.3188042640686035,,,,,,,,,,
96,0.18562500178813934,0.18562500178813934,RL-sBOED,0.03200984001159668,6144,3.3179478645324707,,,,,,,,,,
97,0.16593749821186066,0.16593749821186066,RL-sBOED,0.03206610679626465,6208,3.311016082763672,,,,,,,,,,
98,0.1837500035762787,0.1837500035762787,RL-sBOED,0.03195619583129883,6272,3.3000543117523193,,,,,,,,,,
99,0.15656250715255737,0.15656250715255737,RL-sBOED,0.032004356384277344,6336,3.298670530319214,,,,,,,,,,
100,0.1795312464237213,0.1795312464237213,RL-sBOED,0.03191113471984863,6400,3.3081846237182617,0.1725,0.06562500000000002,8,1.6066356838345948,0.0625,0.0234375,1,0.0007031250000000002,0.06562500000000002,0
101,0.1729687601327896,0.1729687601327896,RL-sBOED,0.031897544860839844,6464,3.309338331222534,,,,,,,,,,
102,0.1837500035762787,0.1837500035762787,RL-sBOED,0.0317225456237793,6528,3.315748929977417,,,,,,,,,,
103,0.18796876072883606,0.18796876072883606,RL-sBOED,0.0320439338684082,6592,3.320068359375,,,,,,,,,,
104,0.17671874165534973,0.17671874165534973,RL-sBOED,0.03190922737121582,6656,3.3218178749084473,,,,,,,,,,
105,0.17812499403953552,0.17812499403953552,RL-sBOED,0.032010793685913086,6720,3.32153582572937,,,,,,,,,,
106,0.16968750953674316,0.16968750953674316,RL-sBOED,0.03204083442687988,6784,3.3222339153289795,,,,,,,,,,
107,0.16500000655651093,0.16500000655651093,RL-sBOED,0.032022953033447266,6848,3.322981595993042,,,,,,,,,,
108,0.18468749523162842,0.18468749523162842,RL-sBOED,0.031638383865356445,6912,3.322406768798828,,,,,,,,,,
109,0.16687500476837158,0.16687500476837158,RL-sBOED,0.03197360038757324,6976,3.323723554611206,,,,,,,,,,
110,0.17156249284744263,0.17156249284744263,RL-sBOED,0.031928300857543945,7040,3.319758892059326,,,,,,,,,,
111,0.1809374988079071,0.1809374988079071,RL-sBOED,0.03220796585083008,7104,3.314627170562744,,,,,,,,,,
112,0.15796875953674316,0.15796875953674316,RL-sBOED,0.032343387603759766,7168,3.314568281173706,,,,,,,,,,
113,0.1771875023841858,0.1771875023841858,RL-sBOED,0.03180813789367676,7232,3.31876277923584,,,,,,,,,,
114,0.17296874523162842,0.17296874523162842,RL-sBOED,0.03185749053955078,7296,3.321732997894287,,,,,,,,,,
115,0.1837500035762787,0.1837500035762787,RL-sBOED,0.032158851623535156,7360,3.3237104415893555,,,,,,,,,,
116,0.17812500894069672,0.17812500894069672,RL-sBOED,0.03176712989807129,7424,3.323812961578369,,,,,,,,,,
117,0.1678124964237213,0.1678124964237213,RL-sBOED,0.03196358680725098,7488,3.3283181190490723,,,,,,,,,,
118,0.16875000298023224,0.16875000298023224,RL-sBOED,0.0316624641418457,7552,3.3261632919311523,,,,,,,,,,
119,0.15843749046325684,0.15843749046325684,RL-sBOED,0.03181910514831543,7616,3.323294162750244,,,,,,,,,,
120,0.17859375476837158,0.17859375476837158,RL-sBOED,0.032032012939453125,7680,3.32228422164917,,,,,,,,,,
121,0.1443749964237213,0.1443749964237213,RL-sBOED,0.03197598457336426,7744,3.3275842666625977,,,,,,,,,,
122,0.17859375476837158,0.17859375476837158,RL-sBOED,0.031720876693725586,7808,3.3261208534240723,,,,,,,,,,
123,0.17765624821186066,0.17765624821186066,RL-sBOED,0.031766414642333984,7872,3.32550311088562,,,,,,,,,,
124,0.17015625536441803,0.17015625536441803,RL-sBOED,0.031810760498046875,7936,3.330566883087158,,,,,,,,,,
125,0.17296874523162842,0.17296874523162842,RL-sBOED,0.03205275535583496,8000,3.334376335144043,0.174140625,0.061015625000000004,9,1.4473486126006592,0.0703125,0.0078125,1,0.0002343750000000002,0.061015625000000004,0
126,0.17343750596046448,0.17343750596046448,RL-sBOED,0.03226637840270996,8064,3.3357748985290527,,,,,,,,,,
127,0.18281249701976776,0.18281249701976776,RL-sBOED,0.03198695182800293,8128,3.338345527648926,,,,,,,,,,
128,0.18000000715255737,0.18000000715255737,RL-sBOED,0.03179740905761719,8192,3.341547727584839,,,,,,,,,,
129,0.1860937625169754,0.1860937625169754,RL-sBOED,0.03177809715270996,8256,3.340114116668701,,,,,,,,,,
130,0.1743749976158142,0.1743749976158142,RL-sBOED,0.032147884368896484,8320,3.3378982543945312,,,,,,,,,,
131,0.17859375476837158,0.17859375476837158,RL-sBOED,0.03212547302246094,8384,3.3359146118164062,,,,,,,,,,
132,0.17906250059604645,0.17906250059604645,RL-sBOED,0.03159737586975098,8448,3.3339500427246094,,,,,,,,,,
133,0.17296874523162842,0.17296874523162842,RL-sBOED,0.03185009956359863,8512,3.3294177055358887,,,,,,,,,,
134,0.15843749046325684,0.15843749046325684,RL-sBOED,0.03181314468383789,8576,3.3239188194274902,,,,,,,,,,
135,0.16500000655651093,0.16500000655651093,RL-sBOED,0.03214097023010254,8640,3.322911024093628,,,,,,,,,,
136,0.17859375476837158,0.17859375476837158,RL-sBOED,0.031922340393066406,8704,3.3254075050354004,,,,,,,,,,
137,0.1795312464237213,0.1795312464237213,RL-sBOED,0.032124996185302734,8768,3.324841260910034,,,,,,,,,,
138,0.18656250834465027,0.18656250834465027,RL-sBOED,0.032102108001708984,8832,3.3286304473876953,,,,,,,,,,
139,0.16875000298023224,0.16875000298023224,RL-sBOED,0.031937599182128906,8896,3.3306775093078613,,,,,,,,,,
140,0.18515625596046448,0.18515625596046448,RL-sBOED,0.032125234603881836,8960,3.3299636840820312,,,,,,,,,,
141,0.17109374701976776,0.17109374701976776,RL-sBOED,0.03199148178100586,9024,3.3322665691375732,,,,,,,,,,
142,0.18140625953674316,0.18140625953674316,RL-sBOED,0.0317988395690918,9088,3.331636905670166,,,,,,,,,,
143,0.17812500894069672,0.17812500894069672,RL-sBOED,0.0319066047668457,9152,3.3288960456848145,,,,,,,,,,
144,0.17765626311302185,0.17765626311302185,RL-sBOED,0.0319361686706543,9216,3.334096908569336,,,,,,,,,,
145,0.17484375834465027,0.17484375834465027,RL-sBOED,0.03177475929260254,9280,3.3339123725891113,,,,,,,,,,
146,0.18796876072883606,0.18796876072883606,RL-sBOED,0.031972646713256836,9344,3.335437774658203,,,,,,,,,,
147,0.17624999582767487,0.17624999582767487,RL-sBOED,0.03209114074707031,9408,3.3367176055908203,,,,,,,,,,
148,0.15796875953674316,0.15796875953674316,RL-sBOED,0.032079458236694336,9472,3.3339176177978516,,,,,,,,,,
149,0.1743749976158142,0.1743749976158142,RL-sBOED,0.03219723701477051,9536,3.3324222564697266,,,,,,,,,,
150,0.17015625536441803,0.17015625536441803,RL-sBOED,0.03207802772521973,9600,3.32816481590271,0.17929687500000002,0.10210937500000002,6,1.3220560659586182,0.046875,0.0390625,1,0.0035156249999999997,0.10210937500000002,0
151,0.16734373569488525,0.16734373569488525,RL-sBOED,0.03197312355041504,9664,3.3243484497070312,,,,,,,,,,
152,0.17859375476837158,0.17859375476837158,RL-sBOED,0.0318455696105957,9728,3.31239652633667,,,,,,,,,,
153,0.17109376192092896,0.17109376192092896,RL-sBOED,0.03169393539428711,9792,3.313624858856201,,,,,,,,,,
154,0.19593751430511475,0.19593751430511475,RL-sBOED,0.031744956970214844,9856,3.315284252166748,,,,,,,,,,
155,0.16874998807907104,0.16874998807907104,RL-sBOED,0.03172922134399414,9920,3.3188648223876953,,,,,,,,,,
156,0.17906250059604645,0.17906250059604645,RL-sBOED,0.037019968032836914,9984,3.3262524604797363,,,,,,,,,,
157,0.1823437511920929,0.1823437511920929,RL-sBOED,0.03336787223815918,10048,3.333383560180664,,,,,,,,,,
158,0.15703125298023224,0.15703125298023224,RL-sBOED,0.032266855239868164,10112,3.336582899093628,,,,,,,,,,
159,0.17578125,0.17578125,RL-sBOED,0.03201603889465332,10176,3.336977005004883,,,,,,,,,,
160,0.16124999523162842,0.16124999523162842,RL-sBOED,0.03203558921813965,10240,3.3332362174987793,,,,,,,,,,
