split,rollout_id,theta_id,sequence,u_ctrl,u_path,rewards
confirmation,0,0,12 2 42,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,1,1,12 2 42,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,2,2,12 2 42,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,3,3,12 2 42,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,4,4,12 2 42,1.2,1.040000 1.200000 1.200000 1.200000,0.000000 0.000000 -1.200000
confirmation,5,5,12 2 42,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,6,6,12 2 42,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,7,7,12 2 42,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,8,8,12 2 42,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,9,9,12 2 42,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,10,10,12 2 42,1.12,1.040000 0.960000 1.120000 1.120000,0.000000 0.000000 -1.120000
confirmation,11,11,12 2 42,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,12,12,12 2 42,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,13,13,12 2 42,0.96,1.040000 0.960000 1.120000 0.960000,0.000000 0.000000 -0.960000
confirmation,14,14,12 2 42,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,15,15,12 2 42,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,16,16,12 2 42,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,17,17,12 2 42,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,18,18,12 2 42,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,19,19,12 2 42,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,20,20,12 2 42,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,21,21,12 2 42,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,22,22,12 2 42,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,23,23,12 2 42,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,24,24,12 2 42,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,25,25,12 2 42,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,26,26,12 2 42,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,27,27,12 2 42,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
confirmation,28,28,12 2 42,0.96,1.040000 0.960000 0.960000 0.960000,0.000000 0.000000 -0.960000
