epoch,bc_loss,bc_accuracy
0,3.275343894958496,0.27884615384615385
1,2.8308139642079673,0.5
2,2.0911037259631686,1.0
3,1.7058616876602173,1.0
4,1.6013249158859253,1.0
5,1.7125948667526245,1.0
6,1.6255366537306044,1.0
7,1.6569368441899617,1.0
8,1.6097240183088515,1.0
9,1.6796724796295166,1.0
10,1.632480051782396,1.0
11,1.5858939223819308,1.0
12,1.5779772996902466,1.0
13,1.6460822820663452,1.0
14,1.5240706205368042,1.0
15,1.5163862705230713,1.0
16,1.5836992263793945,1.0
17,1.575580530696445,1.0
18,1.5302577548556857,1.0
19,1.5591398477554321,1.0
20,1.5143173535664876,1.0
21,1.4696939653820462,1.0
22,1.461986197365655,1.0
23,1.4904875490400527,1.0
24,1.4827007717556424,1.0
25,1.4747299088372126,1.0
26,1.466788199212816,1.0
27,1.4235705667071872,1.0
28,1.3454373048411474,1.0
29,1.5133031341764662,1.0
30,1.435456805759006,1.0
31,1.531253457069397,1.0
32,1.4192911121580336,1.0
33,1.445425934261746,1.0
34,1.3351045846939087,1.0
35,1.4629473288853962,1.0
36,1.3536147541469998,1.0
37,1.3794255786471896,1.0
38,1.3715951840082805,1.0
39,1.3307484255896673,1.0
