epoch,policy_entropy,entropy_coef,kl_coef
0,1.3032149855907147,0.02,0.05
1,1.332657277584076,0.019310344827586208,0.04666666666666667
2,1.3043928788258479,0.018620689655172412,0.043333333333333335
3,1.306803075166849,0.01793103448275862,0.04000000000000001
4,1.3495191874412389,0.017241379310344827,0.036666666666666674
5,1.3801638369376843,0.016551724137931035,0.03333333333333334
6,1.3145384456102664,0.015862068965517243,0.03
7,1.340331887969604,0.015172413793103448,0.02666666666666667
8,1.321668620292957,0.014482758620689656,0.023333333333333334
9,1.345959062759693,0.013793103448275864,0.020000000000000004
10,1.3620985345198557,0.01310344827586207,0.01666666666666667
11,1.3971576541662216,0.012413793103448277,0.013333333333333336
12,1.4739457953434725,0.011724137931034485,0.009999999999999998
13,1.3631475831453617,0.01103448275862069,0.006666666666666665
14,1.4336701367910092,0.010344827586206895,0.0033333333333333327
15,1.628485918045044,0.009655172413793102,0.0
16,2.0640337673517375,0.00896551724137931,0.0
17,1.7096576346800878,0.00827586206896552,0.0
18,1.6712403412048633,0.007586206896551724,0.0
19,1.7445117166409125,0.006896551724137932,0.0
20,1.6672017333599238,0.006206896551724137,0.0
21,1.3825051967914288,0.005517241379310345,0.0
22,1.3594706849409983,0.004827586206896553,0.0
23,1.3367614597082138,0.004137931034482758,0.0
24,1.3411478973351991,0.003448275862068966,0.0
25,1.3305885253044276,0.0027586206896551735,0.0
26,1.3465836609785373,0.002068965517241379,0.0
27,1.4037251885120685,0.0013793103448275868,0.0
28,1.366501897573471,0.0006896551724137923,0.0
29,1.310137356703098,0.0,0.0
