epoch,grad_norm
0,0.35534937794391924
1,0.3863668739795685
2,0.6460334612773015
3,0.9026178499827018
4,1.0953558591695933
5,1.4705534004248106
6,0.5384602477917304
7,1.1815882989993463
8,0.46800689743115353
9,1.1931631289995634
10,1.0939082686717694
11,2.105199531866954
12,3.5799145148350644
13,0.751291077870589
14,1.8613794216742883
15,4.967293198292072
16,10.699305130885197
17,5.0926100084414845
18,4.490504870047936
19,5.969833520742563
20,4.205663378422077
21,1.037259578704834
22,1.1686654893251567
23,0.869010132092696
24,0.4144404002178747
25,0.36895514464077467
26,1.0951276685182865
27,1.9840962497087626
28,1.237659046283135
29,0.427742790717345
