epoch,train_mean_u_ctrl,validation_mean_u_ctrl,validation_safety,best_so_far_validation_u_ctrl,policy_entropy,dominant_sequence_fraction,unique_sequence_count,grad_norm,advantage_mean,advantage_std,terminal_cost_unique_count,terminal_cost_modal_fraction,fixed_validation_mean_u_ctrl
0,0.848076923076923,0.8250000000000001,1.0,0.8250000000000001,1.1852660339612227,1.0,1,0.09411788252847535,-0.012911136045312212,0.1256449946209497,5,0.3076923076923077,0.8250000000000001
1,0.8634615384615386,0.8250000000000001,1.0,0.8250000000000001,1.2839359320127046,1.0,1,0.45018733984657694,0.008488251626439281,0.0999473033700257,5,0.40384615384615385,0.8250000000000001
2,0.8788461538461539,0.8250000000000001,1.0,0.8250000000000001,1.2082894696639135,1.0,1,0.24006639420986176,-0.004555278059696083,0.11556911725012689,5,0.36538461538461536,0.8250000000000001
3,0.8596153846153846,0.8250000000000001,1.0,0.8250000000000001,1.2191899418830872,1.0,1,0.14967011527291366,-0.0006817183405232719,0.1109624469583096,5,0.4423076923076923,0.8250000000000001
4,0.8596153846153847,0.8250000000000001,1.0,0.8250000000000001,1.2874997349885793,1.0,1,0.301069440054042,0.0013014677409708985,0.12628610651061128,5,0.3269230769230769,0.8250000000000001
5,0.8865384615384614,0.8250000000000001,1.0,0.8250000000000001,1.216749152311912,1.0,1,0.11023617429392678,-0.0026112894103568294,0.12397761391309998,5,0.4423076923076923,0.8250000000000001
6,0.8519230769230769,0.8250000000000001,1.0,0.8250000000000001,1.2540619671344757,1.0,1,0.21661640544022834,0.010090687453407344,0.11087955661945305,5,0.46153846153846156,0.8250000000000001
7,0.8980769230769232,0.8250000000000001,1.0,0.8250000000000001,1.4302012691131005,1.0,1,0.3384199078593935,-0.0070572977573967145,0.10568182502970656,5,0.38461538461538464,0.8250000000000001
8,0.9019230769230767,0.8250000000000001,1.0,0.8250000000000001,1.394631917660053,1.0,1,0.15716440230607986,-0.005682852978342991,0.08980810254755396,5,0.36538461538461536,0.8250000000000001
9,0.8999999999999998,0.8250000000000001,1.0,0.8250000000000001,1.426387988604032,1.0,1,0.30521375579493387,0.00022330305462211613,0.09888033086585708,5,0.46153846153846156,0.8250000000000001
10,0.8634615384615386,0.8250000000000001,1.0,0.8250000000000001,1.5307940405148726,1.0,1,0.5333367543561118,0.00765890795982651,0.1227632513518585,5,0.3269230769230769,0.8250000000000001
11,0.8557692307692307,0.8250000000000001,1.0,0.8250000000000001,1.5715775237633631,1.0,1,0.36658966541290283,0.0007803524030482584,0.12001811599734839,5,0.38461538461538464,0.8250000000000001
12,0.8673076923076922,0.8250000000000001,1.0,0.8250000000000001,1.55738932123551,1.0,1,0.48859214782714844,-0.007934656550723663,0.10633448147857608,5,0.36538461538461536,0.8250000000000001
13,0.8884615384615385,0.8250000000000001,1.0,0.8250000000000001,1.722847587787188,1.0,1,0.3952869347163609,0.0008860380440358597,0.10626569586091364,5,0.38461538461538464,0.8250000000000001
14,0.8807692307692305,0.8250000000000001,1.0,0.8250000000000001,1.9349430409761577,1.0,1,0.44302716638360706,0.002785709518371134,0.11047765182718794,5,0.34615384615384615,0.8250000000000001
15,0.846153846153846,0.8833333333333334,1.0,0.8250000000000001,2.009139611170842,1.0,1,0.388894042798451,0.0030129505108364065,0.12737968975478428,5,0.28846153846153844,0.8250000000000001
16,0.8307692307692306,0.8833333333333334,1.0,0.8250000000000001,1.8937538541280305,1.0,1,0.3800267939056669,3.6634882213982553e-05,0.11987441695524208,5,0.3269230769230769,0.8250000000000001
17,0.8519230769230769,0.8833333333333334,1.0,0.8250000000000001,1.9529300675942347,1.0,1,0.5088701844215393,0.0016295892576884878,0.12306681079184192,5,0.3076923076923077,0.8250000000000001
18,0.848076923076923,0.8833333333333334,1.0,0.8250000000000001,2.0322371904666605,0.5833333333333334,2,0.3308477316583906,-0.003180155388710253,0.11240044779984631,5,0.38461538461538464,0.8250000000000001
19,0.8653846153846154,0.8833333333333334,1.0,0.8250000000000001,2.217022634469546,1.0,1,0.3824136959654944,0.0028936026596878316,0.12055215801631157,5,0.34615384615384615,0.8250000000000001
20,0.8538461538461537,0.8833333333333334,1.0,0.8250000000000001,2.3103871872791877,1.0,1,0.39079457947186064,0.0008982735755284205,0.12104489267781979,5,0.28846153846153844,0.8250000000000001
21,0.8576923076923075,0.8833333333333334,1.0,0.8250000000000001,2.418047153032743,1.0,1,0.452847957611084,-0.0014272133578789677,0.12004853383114822,5,0.28846153846153844,0.8250000000000001
22,0.8692307692307693,0.8833333333333334,1.0,0.8250000000000001,2.6677505328105044,1.0,1,0.3819528839417866,-0.004493458315634313,0.12394607972123498,5,0.40384615384615385,0.8250000000000001
23,0.8653846153846152,0.8833333333333334,1.0,0.8250000000000001,2.820657945596255,1.0,1,0.3728871004922049,0.0041926141200564525,0.11677295849411545,5,0.3076923076923077,0.8250000000000001
24,0.8557692307692307,0.8833333333333334,1.0,0.8250000000000001,2.878545628144191,1.0,1,0.31043084817273275,-0.002183437910392786,0.11214862094929165,5,0.38461538461538464,0.8250000000000001
