update,policy_loss,value_loss,approximate_kl,entropy,mean_training_terminal_cost,mean_u_ctrl,std_u_ctrl,median_u_ctrl,q10_u_ctrl,q90_u_ctrl,safety,dominant_sequence,dominant_sequence_fraction,unique_sequences,sequence_entropy,entropy_t1,entropy_t2,entropy_t3
1,-0.09696288406848907,0.019718727096915245,0.018734076991677284,3.3561105728149414,0.8833333333333333,0.9416666666666668,0.07592027982620247,1.0,0.81,1.0,1.0,"[4, 17, 5]",1.0,1,-0.0,3.3896188735961914,3.3547167976697287,3.315789063771566
10,-0.0253165103495121,0.007949364371597767,0.013510789722204208,3.2842254638671875,0.8250000000000001,0.9,0.09999999999999999,0.9,0.8,1.0,1.0,"[27, 16, 25]",1.0,1,-0.0,3.3808841705322266,3.2939797838528952,3.2044118841489158
20,-0.01784183271229267,0.005748878698796034,0.03138522803783417,3.253983497619629,0.875,0.8999999999999999,0.09128709291752768,0.9,0.8,1.0,1.0,"[4, 1, 25]",1.0,1,-0.0,3.3819358348846436,3.2225070794423423,3.152405937512716
30,-0.06261544674634933,0.007197976112365723,0.025429103523492813,3.158891439437866,0.8083333333333335,0.8666666666666667,0.1433720877840438,0.9,0.61,1.0,1.0,"[20, 1, 25]",1.0,1,-0.0,3.372148275375366,3.059101184209188,3.0358011523882547
40,-0.03530750423669815,0.008850086480379105,0.015949441120028496,3.0823261737823486,0.7749999999999999,0.9333333333333335,0.07453559924999298,0.95,0.81,1.0,1.0,"[4, 7, 9]",1.0,1,-0.0,3.36586594581604,2.9929136832555137,3.0417875250180564
50,-0.015069318935275078,0.004430525936186314,0.025321198627352715,3.009937286376953,0.8583333333333335,0.8916666666666666,0.12555432644432804,0.9,0.71,1.0,1.0,"[12, 1, 7]",1.0,1,-0.0,3.349738836288452,2.869525412718455,2.907580037911733
60,-0.024948708713054657,0.006758782546967268,0.010041637346148491,2.947824716567993,0.85,0.8916666666666666,0.13819269959814168,0.95,0.7,1.0,1.0,"[27, 1, 16]",1.0,1,-0.0,3.3488101959228516,2.7314889232317605,3.0405784050623574
70,-0.014767206273972988,0.004139583092182875,0.033354826271533966,2.880852222442627,0.8333333333333335,0.8583333333333334,0.13819269959814168,0.9,0.61,1.0,1.0,"[28, 16, 1]",1.0,1,-0.0,3.3664963245391846,2.698716421922048,2.975178043047587
80,-0.0410376712679863,0.005245714448392391,0.014470873400568962,2.7655553817749023,0.85,0.8583333333333334,0.13819269959814168,0.9,0.61,1.0,1.0,"[28, 16, 6]",1.0,1,-0.0,3.3553507328033447,2.4432064096132913,2.77041494846344
90,-0.029433391988277435,0.005372507497668266,-0.002151098567992449,2.9044721126556396,0.85,0.8583333333333334,0.13819269959814168,0.9,0.61,1.0,1.0,"[28, 16, 6]",1.0,1,-0.0,3.330979347229004,2.7015830079714456,2.8967707554499307
100,-0.030053628608584404,0.004634330049157143,-0.027288326993584633,3.0861401557922363,0.9250000000000002,0.8750000000000001,0.0924211375534118,0.9,0.8,1.0,1.0,"[25, 3, 16]",1.0,1,-0.0,3.35909366607666,3.2970656553904214,2.5434175531069436
110,-0.013859669677913189,0.004220742266625166,-0.008140153251588345,3.085103750228882,0.875,0.9,0.09999999999999999,0.9,0.8,1.0,1.0,"[20, 16, 17]",0.9166666666666666,2,0.2868359830561607,3.310401439666748,3.140635629494985,3.0085946520169577
120,-0.016059961169958115,0.004838293418288231,0.0050872499123215675,2.7648935317993164,0.8666666666666667,0.8583333333333334,0.13819269959814168,0.9,0.61,1.0,1.0,"[28, 16, 11]",1.0,1,-0.0,3.2391984462738037,2.652009208997091,2.7603500485420227
130,0.007364756427705288,0.005486729089170694,0.006576428655534983,2.803128480911255,0.8916666666666666,0.8666666666666667,0.13123346456686352,0.9,0.62,1.0,1.0,"[28, 11, 16]",1.0,1,-0.0,3.166888952255249,2.736237863699595,2.604088226954142
