rollout_id,theta_test_id,sequence,y_obs,u_ctrl_prior,u_ctrl_final,u_req_true,posterior_mean_U,excess_control,safe_total,changed,reduced,increased
246,10,18 6 14,3.6240805 1.4665103 4.5324165,1.0,0.9,0.15,0.29929708312305464,0.75,True,True,True,False
247,1,10 2 5,2.0757075 1.702388 2.1294219,1.0,0.6,0.1,0.05462261965560872,0.5,True,True,True,False
248,5,8 1 7,6.4215535 2.0180117 2.343348,1.0,0.6,0.25,0.052749264993861796,0.35,True,True,True,False
249,7,18 1 4,4.9671799 3.7784716 5.9907124,1.0,1.0,0.6,0.45,0.4,True,False,False,False
250,1,6 10 26,1.7045279 2.1906405 1.6342305,1.0,0.7,0.1,0.06347672729479623,0.6,True,True,True,False
251,6,2 4 22,1.0441546 2.9019028 1.4404969,1.0,1.0,0.6,0.43928317327172184,0.4,True,False,False,False
252,11,28 7 23,3.5472207 1.1609171 3.3029303,1.0,1.0,0.1,0.449046855786435,0.9,True,False,False,False
253,3,11 6 15,3.2701648 3.344157 1.9724282,1.0,1.0,0.5,0.5999999959675137,0.5,True,False,False,False
254,6,5 29 27,1.5294322 3.1815512 1.55706,1.0,1.0,0.6,0.47172288045513533,0.4,True,False,False,False
255,4,23 1 13,2.9437703 2.8828301 2.858519,1.0,1.0,0.4,0.4499999343699615,0.6,True,False,False,False
256,3,19 17 18,4.7485094 1.8967582 6.9028481,1.0,0.9,0.5,0.35,0.4,True,True,True,False
257,0,12 0 19,2.569376 1.6341605 4.0686521,1.0,1.0,0.1,0.41503962292862084,0.9,True,False,False,False
258,10,7 4 28,2.2930385 4.4875395 3.6771212,1.0,0.9,0.15,0.29999999999999993,0.75,True,True,True,False
259,7,27 4 24,1.802987 5.9942111 6.602683,1.0,0.9,0.6,0.35,0.30000000000000004,True,True,True,False
260,15,1 14 6,1.9124191 2.185452 1.8728335,1.0,0.9,0.2,0.2972325004864024,0.7,True,True,True,False
261,11,28 26 2,3.4818704 1.6116305 0.88804496,1.0,0.8,0.1,0.2283736410744551,0.7000000000000001,True,True,True,False
262,8,11 26 29,1.5466368 1.4085267 2.6467059,1.0,0.7,0.1,0.09541204059674556,0.6,True,True,True,False
