xi1,n_histories,J_adaptive,J_common,Delta_adaptive,ci95_low,ci95_high,common_xi2,n_unique_xi2_star,dominant_xi2_star,dominant_fraction,near_tie_rate,mean_gap_best_second,xi2_star_distribution
0,200,0.9654929687500001,0.965114453125,-0.00037851562500000103,-0.000928940429687504,0.00014668457031250014,35,30,1,0.64,0.725,0.0005111328125000042,"{""1"": 128, ""30"": 6, ""12"": 2, ""11"": 1, ""3"": 8, ""50"": 2, ""6"": 1, ""53"": 1, ""47"": 2, ""21"": 4, ""48"": 4, ""2"": 5, ""7"": 2, ""10"": 4, ""46"": 6, ""8"": 2, ""17"": 4, ""38"": 1, ""35"": 1, ""29"": 2, ""28"": 3, ""37"": 2, ""26"": 1, ""39"": 1, ""16"": 1, ""25"": 1, ""4"": 2, ""45"": 1, ""19"": 1, ""20"": 1}"
1,100,0.9692715277777778,0.9682125,-0.001059027777777759,-0.002204895833333319,3.8229166666686734e-05,13,25,0,0.39,0.53,0.0010562499999999919,"{""21"": 6, ""3"": 7, ""0"": 39, ""39"": 5, ""30"": 5, ""2"": 3, ""27"": 5, ""22"": 3, ""4"": 1, ""5"": 3, ""50"": 1, ""45"": 4, ""9"": 1, ""26"": 2, ""8"": 1, ""48"": 2, ""12"": 2, ""13"": 1, ""40"": 1, ""18"": 2, ""35"": 1, ""20"": 1, ""7"": 2, ""47"": 1, ""31"": 1}"
2,100,0.9727312499999999,0.971354861111111,-0.0013763888888889088,-0.0030417534722222733,0.00023267361111106895,8,28,0,0.25,0.28,0.0013527777777777804,"{""27"": 4, ""3"": 1, ""0"": 25, ""8"": 2, ""21"": 7, ""28"": 1, ""39"": 9, ""48"": 3, ""19"": 2, ""24"": 1, ""12"": 10, ""26"": 3, ""45"": 3, ""36"": 4, ""1"": 3, ""53"": 3, ""16"": 1, ""42"": 1, ""40"": 1, ""25"": 1, ""46"": 1, ""18"": 3, ""35"": 1, ""9"": 2, ""13"": 1, ""30"": 3, ""17"": 1, ""4"": 3}"
3,100,0.97985,0.9793555555555555,-0.0004944444444444418,-0.0009069444444444374,-0.00013055555555555927,43,13,0,0.82,0.92,0.00030486111111111214,"{""0"": 82, ""27"": 4, ""26"": 1, ""22"": 1, ""18"": 1, ""1"": 2, ""40"": 1, ""7"": 2, ""9"": 1, ""20"": 1, ""50"": 2, ""4"": 1, ""36"": 1}"
4,100,0.9690763888888888,0.9679701388888888,-0.001106250000000013,-0.0023013888888888906,-4.651041666669481e-05,47,34,0,0.17,0.34,0.0011409722222222086,"{""6"": 4, ""3"": 9, ""39"": 6, ""11"": 3, ""0"": 17, ""47"": 2, ""12"": 4, ""8"": 2, ""30"": 4, ""48"": 6, ""2"": 2, ""1"": 3, ""28"": 4, ""27"": 3, ""15"": 1, ""20"": 1, ""36"": 2, ""9"": 2, ""46"": 3, ""44"": 2, ""35"": 2, ""7"": 3, ""14"": 1, ""26"": 3, ""19"": 1, ""10"": 2, ""53"": 1, ""32"": 1, ""17"": 1, ""42"": 1, ""5"": 1, ""45"": 1, ""29"": 1, ""18"": 1}"
5,100,0.9733576388888888,0.9720729166666667,-0.0012847222222222177,-0.0024756944444444397,-0.00015135416666667384,19,29,0,0.29,0.54,0.0011437500000000046,"{""0"": 29, ""30"": 7, ""21"": 8, ""3"": 4, ""1"": 6, ""12"": 3, ""35"": 1, ""4"": 10, ""28"": 2, ""17"": 1, ""48"": 2, ""45"": 1, ""10"": 4, ""2"": 5, ""44"": 1, ""11"": 1, ""27"": 2, ""46"": 2, ""47"": 1, ""16"": 1, ""18"": 1, ""19"": 1, ""39"": 1, ""26"": 1, ""6"": 1, ""8"": 1, ""53"": 1, ""40"": 1, ""13"": 1}"
6,100,0.9714263888888891,0.9704493055555555,-0.0009770833333333185,-0.0022868229166666514,0.0003014236111111224,52,32,0,0.14,0.31,0.0013090277777777703,"{""48"": 5, ""37"": 2, ""0"": 14, ""5"": 2, ""12"": 10, ""18"": 4, ""27"": 1, ""30"": 9, ""11"": 2, ""39"": 4, ""1"": 9, ""19"": 2, ""28"": 3, ""46"": 2, ""3"": 5, ""7"": 1, ""17"": 2, ""21"": 5, ""10"": 1, ""16"": 1, ""36"": 2, ""9"": 1, ""35"": 1, ""29"": 3, ""44"": 1, ""8"": 1, ""20"": 2, ""38"": 1, ""49"": 1, ""22"": 1, ""45"": 1, ""47"": 1}"
7,100,0.9711041666666667,0.9709812499999999,-0.00012291666666668143,-0.0015930902777777924,0.0012826562499999817,27,27,0,0.18,0.32,0.0013590277777777683,"{""48"": 7, ""0"": 18, ""4"": 4, ""39"": 4, ""1"": 6, ""12"": 10, ""3"": 10, ""20"": 2, ""27"": 4, ""45"": 3, ""17"": 2, ""8"": 2, ""36"": 3, ""42"": 1, ""30"": 7, ""10"": 1, ""9"": 1, ""47"": 2, ""18"": 3, ""26"": 1, ""11"": 1, ""21"": 1, ""29"": 1, ""44"": 1, ""6"": 2, ""53"": 2, ""37"": 1}"
8,100,0.9759277777777777,0.9756291666666665,-0.00029861111111111673,-0.0012736284722222333,0.0005882291666666604,49,25,0,0.47,0.63,0.000634722222222216,"{""31"": 2, ""0"": 47, ""48"": 2, ""21"": 3, ""1"": 5, ""52"": 2, ""12"": 4, ""39"": 3, ""3"": 4, ""2"": 6, ""6"": 1, ""27"": 3, ""37"": 1, ""29"": 3, ""14"": 1, ""36"": 1, ""30"": 2, ""10"": 3, ""18"": 1, ""38"": 1, ""9"": 1, ""11"": 1, ""16"": 1, ""25"": 1, ""5"": 1}"
9,100,0.9668499999999999,0.9656215277777775,-0.001228472222222231,-0.0023750347222222462,-0.00029166666666667894,46,25,0,0.57,0.7,0.0007923611111111018,"{""0"": 57, ""3"": 4, ""1"": 6, ""17"": 2, ""37"": 3, ""10"": 1, ""19"": 2, ""46"": 3, ""29"": 1, ""21"": 4, ""11"": 2, ""26"": 1, ""7"": 1, ""39"": 1, ""8"": 2, ""38"": 1, ""33"": 1, ""12"": 1, ""36"": 1, ""4"": 1, ""44"": 1, ""20"": 1, ""2"": 1, ""48"": 1, ""45"": 1}"
