xi1,y1_bin,y1_bin_id,y1_low,y1_high,n_histories,dominant_xi2_star,dominant_fraction,n_unique_xi2_star,xi2_star_distribution
0,low,0,3.0834670923190637,3.411733520378295,40,1,1.0,1,"{""1"": 40}"
0,medium_low,1,3.411733520378295,3.9009819559113943,40,1,0.275,19,"{""30"": 2, ""11"": 1, ""1"": 11, ""3"": 3, ""6"": 1, ""2"": 2, ""48"": 2, ""10"": 1, ""46"": 4, ""38"": 1, ""35"": 1, ""28"": 2, ""37"": 2, ""29"": 1, ""39"": 1, ""4"": 2, ""47"": 1, ""17"": 1, ""19"": 1}"
0,medium,2,3.9009819559113943,4.6410922031836686,40,1,0.175,18,"{""1"": 7, ""12"": 1, ""50"": 2, ""30"": 2, ""21"": 4, ""48"": 2, ""3"": 4, ""2"": 3, ""10"": 3, ""46"": 2, ""17"": 3, ""29"": 1, ""7"": 1, ""26"": 1, ""25"": 1, ""8"": 1, ""20"": 1, ""28"": 1}"
0,medium_high,3,4.6410922031836686,7.365611915847146,40,1,0.75,10,"{""30"": 2, ""1"": 30, ""53"": 1, ""47"": 1, ""7"": 1, ""12"": 1, ""8"": 1, ""16"": 1, ""45"": 1, ""3"": 1}"
0,high,4,7.365611915847146,12.2212033944766,40,1,1.0,1,"{""1"": 40}"
1,low,0,1.142652807905346,1.611081951403481,20,0,0.3,9,"{""39"": 3, ""21"": 4, ""0"": 6, ""27"": 1, ""3"": 2, ""2"": 1, ""45"": 1, ""30"": 1, ""12"": 1}"
1,medium_low,1,1.611081951403481,1.8948870991786533,20,0,0.5,8,"{""21"": 2, ""2"": 2, ""0"": 10, ""3"": 2, ""12"": 1, ""39"": 1, ""48"": 1, ""30"": 1}"
1,medium,2,1.8948870991786533,2.26795665574352,20,0,0.3,11,"{""0"": 6, ""27"": 2, ""22"": 2, ""5"": 2, ""30"": 1, ""8"": 1, ""48"": 1, ""18"": 1, ""7"": 2, ""47"": 1, ""31"": 1}"
1,medium_high,3,2.26795665574352,2.640522019997908,20,0,0.5,9,"{""3"": 3, ""4"": 1, ""0"": 10, ""5"": 1, ""50"": 1, ""27"": 1, ""35"": 1, ""45"": 1, ""26"": 1}"
1,high,4,2.640522019997908,3.6272165978253574,20,0,0.35,12,"{""30"": 2, ""22"": 1, ""0"": 7, ""45"": 2, ""9"": 1, ""26"": 1, ""27"": 1, ""13"": 1, ""40"": 1, ""39"": 1, ""20"": 1, ""18"": 1}"
2,low,0,0.9758183469949855,1.2039991717579295,20,12,0.25,9,"{""27"": 3, ""0"": 1, ""28"": 1, ""12"": 5, ""36"": 3, ""40"": 1, ""21"": 3, ""39"": 2, ""4"": 1}"
2,medium_low,1,1.2039991717579295,1.3390893738543637,20,39,0.3,11,"{""21"": 2, ""39"": 6, ""45"": 1, ""19"": 1, ""0"": 1, ""18"": 2, ""9"": 2, ""30"": 2, ""53"": 1, ""12"": 1, ""48"": 1}"
2,medium,2,1.3390893738543637,1.621475230629374,20,26,0.15,15,"{""3"": 1, ""8"": 2, ""26"": 3, ""36"": 1, ""1"": 2, ""53"": 1, ""16"": 1, ""48"": 1, ""25"": 1, ""46"": 1, ""35"": 1, ""30"": 1, ""17"": 1, ""12"": 2, ""21"": 1}"
2,medium_high,3,1.621475230629374,2.1270973233028267,20,0,0.15,15,"{""48"": 1, ""19"": 1, ""24"": 1, ""0"": 3, ""53"": 1, ""45"": 2, ""42"": 1, ""21"": 1, ""27"": 1, ""1"": 1, ""13"": 1, ""18"": 1, ""4"": 2, ""12"": 2, ""39"": 1}"
2,high,4,2.1270973233028267,3.6477296883816117,20,0,1.0,1,"{""0"": 20}"
3,low,0,3.471409148758555,4.388589546111569,20,0,1.0,1,"{""0"": 20}"
3,medium_low,1,4.388589546111569,5.096577431847149,20,0,1.0,1,"{""0"": 20}"
3,medium,2,5.096577431847149,6.0585185829765225,20,0,1.0,1,"{""0"": 20}"
3,medium_high,3,6.0585185829765225,7.02757664174924,20,0,0.5,7,"{""27"": 4, ""0"": 10, ""18"": 1, ""7"": 2, ""9"": 1, ""4"": 1, ""36"": 1}"
3,high,4,7.02757664174924,11.585566040825308,20,0,0.6,7,"{""0"": 12, ""26"": 1, ""22"": 1, ""1"": 2, ""40"": 1, ""20"": 1, ""50"": 2}"
4,low,0,1.4557634319696082,1.725039175517891,20,0,0.25,10,"{""0"": 5, ""48"": 2, ""2"": 2, ""1"": 1, ""3"": 3, ""7"": 3, ""8"": 1, ""10"": 1, ""6"": 1, ""27"": 1}"
