system,dad_seed,history_id,xi1,y1,xi2_star,xi2_DAD,agree,J_star,J_DAD,regret
ieee9,101,0,0,3.138034093525455,1,39,0,0.96,0.96,0.0
ieee9,101,1,0,4.454044561048917,1,39,0,0.9683203125,0.96875,0.0004296875000000533
ieee9,101,2,0,4.705678928666899,30,39,0,0.96875,0.96875,0.0
ieee9,101,3,0,3.2547545356767045,1,39,0,0.96,0.96,0.0
ieee9,101,4,0,4.984527820914102,1,39,0,0.96,0.96,0.0
ieee9,101,5,0,3.744731309131103,30,39,0,0.985390625,0.981953125,-0.0034374999999999822
ieee9,101,6,0,3.2669294861281477,1,39,0,0.96,0.96,0.0
ieee9,101,7,0,4.430675032196794,12,39,0,0.9612499999999999,0.9612499999999999,0.0
ieee9,101,8,0,3.6963526620186085,11,39,0,1.0126953125,0.99375,-0.018945312499999978
ieee9,101,9,0,10.087396043897835,1,37,0,0.96,0.96,0.0
ieee9,101,10,0,6.257534787152809,1,39,0,0.96,0.96,0.0
ieee9,101,11,0,7.793275102029123,1,12,0,0.96,0.96,0.0
ieee9,101,12,0,3.4400161204025963,1,39,0,0.9603124999999999,0.96,-0.00031249999999993783
ieee9,101,13,0,3.3736831309871196,1,39,0,0.96,0.96,0.0
ieee9,101,14,0,12.143391482976263,1,37,0,0.96,0.96,0.0
ieee9,101,15,0,9.81322986797088,1,37,0,0.96,0.96,0.0
ieee9,101,16,0,6.228491781232171,1,39,0,0.96,0.96,0.0
ieee9,101,17,0,3.497412400893873,3,39,0,0.96,0.9600781249999999,7.812499999992895e-05
ieee9,101,18,0,7.051714894205966,1,36,0,0.96,0.96,0.0
ieee9,101,19,0,4.35538928407631,1,39,0,0.96,0.96,0.0
ieee9,101,20,0,4.454864962213082,50,39,0,0.9646484375,0.97,0.005351562500000018
ieee9,101,21,0,9.24779834648194,1,12,0,0.96,0.96,0.0
ieee9,101,22,0,3.8198637199936343,6,39,0,0.9878515625,1.0017968750000001,0.013945312500000195
ieee9,101,23,0,3.3246931604633727,1,39,0,0.96,0.96,0.0
ieee9,101,24,0,3.200825171538802,1,39,0,0.96,0.96,0.0
ieee9,101,25,0,4.470920216173883,30,39,0,0.97125,0.9662499999999999,-0.0050000000000000044
ieee9,101,26,0,4.719943238476663,53,39,0,0.9653124999999999,0.96625,0.0009375000000001465
ieee9,101,27,0,3.4079279784448704,1,39,0,0.96,0.96,0.0
ieee9,101,28,0,5.195926074764494,47,39,0,1.00828125,1.005,-0.0032812500000001243
ieee9,101,29,0,3.978259331830486,21,39,0,0.99375,1.00875,0.015000000000000013
ieee9,101,30,0,3.3201217217755015,1,39,0,0.96,0.96,0.0
ieee9,101,31,0,4.500659179062937,48,39,0,0.96875,0.975,0.006249999999999978
ieee9,101,32,0,3.5383918904032585,2,39,0,0.9646874999999999,0.967265625,0.0025781250000000977
ieee9,101,33,0,10.185642350226184,1,37,0,0.96,0.96,0.0
ieee9,101,34,0,6.1981290052266385,1,39,0,0.96,0.96,0.0
ieee9,101,35,0,7.658069107222897,1,12,0,0.96,0.96,0.0
