system,history_id,history_step,previous_actions,previous_observations,candidate_bus,candidate_amplitude,expected_continuous_objective,expected_snapped_objective,is_joint_optimal,is_bus_optimal,is_amplitude_optimal_given_bus,bus_objective_gap,history_source
ieee5,-1,0,,,0,0.05,1.0562500000000001,0.9765625,0,0,0,0.15234375,prior_h0
ieee5,-1,0,,,1,0.05,0.8960937500000001,0.9140625,1,1,1,0.0,prior_h0
ieee5,-1,0,,,2,0.05,1.046875,0.9734375,0,0,0,0.12187499999999996,prior_h0
ieee5,-1,0,,,3,0.05,0.97578125,0.9609375,0,0,0,0.07109374999999984,prior_h0
ieee5,-1,0,,,4,0.05,1.04296875,0.984375,0,0,0,0.14062499999999978,prior_h0
ieee5,-1,0,,,0,0.075,1.0554687500000002,0.9750000000000001,0,0,0,0.15234375,prior_h0
ieee5,-1,0,,,1,0.075,0.8976562500000002,0.9156250000000001,0,1,0,0.0,prior_h0
ieee5,-1,0,,,2,0.075,1.04453125,0.9718749999999999,0,0,0,0.12187499999999996,prior_h0
ieee5,-1,0,,,3,0.075,0.97578125,0.9609375,0,0,0,0.07109374999999984,prior_h0
ieee5,-1,0,,,4,0.075,1.04296875,0.984375,0,0,0,0.14062499999999978,prior_h0
ieee5,-1,0,,,0,0.1,1.0539062500000003,0.971875,0,0,0,0.15234375,prior_h0
ieee5,-1,0,,,1,0.1,0.8976562500000002,0.9156250000000001,0,1,0,0.0,prior_h0
ieee5,-1,0,,,2,0.1,1.04453125,0.9718749999999999,0,0,0,0.12187499999999996,prior_h0
ieee5,-1,0,,,3,0.1,0.97265625,0.9593750000000001,0,0,0,0.07109374999999984,prior_h0
ieee5,-1,0,,,4,0.1,1.0390625,0.9828125,0,0,0,0.14062499999999978,prior_h0
ieee5,-1,0,,,0,0.15,1.05078125,0.9703125000000001,0,0,0,0.15234375,prior_h0
ieee5,-1,0,,,1,0.15,0.8984375000000001,0.9171875,0,1,0,0.0,prior_h0
ieee5,-1,0,,,2,0.15,1.0375,0.96875,0,0,0,0.12187499999999996,prior_h0
ieee5,-1,0,,,3,0.15,0.97265625,0.9593750000000001,0,0,0,0.07109374999999984,prior_h0
ieee5,-1,0,,,4,0.15,1.0390625,0.9828125,0,0,0,0.14062499999999978,prior_h0
ieee5,-1,0,,,0,0.2,1.05078125,0.9703125000000001,0,0,0,0.15234375,prior_h0
ieee5,-1,0,,,1,0.2,0.8992187500000002,0.9171875,0,1,0,0.0,prior_h0
ieee5,-1,0,,,2,0.2,1.0328125,0.96875,0,0,0,0.12187499999999996,prior_h0
ieee5,-1,0,,,3,0.2,0.97265625,0.9593750000000001,0,0,0,0.07109374999999984,prior_h0
ieee5,-1,0,,,4,0.2,1.0390625,0.9828125,0,0,0,0.14062499999999978,prior_h0
ieee5,-1,0,,,0,0.3,1.0484375000000001,0.9703125000000001,0,0,1,0.15234375,prior_h0
ieee5,-1,0,,,1,0.3,0.9187500000000001,0.9234375,0,1,0,0.0,prior_h0
