system,history_i,history_j,b_star_i,b_star_j,wrong_bus_regret_cont,wrong_bus_regret_snap
ieee5,0,1,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,2,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,3,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,4,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,5,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,6,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,7,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,8,4,2,0.006249999999999867,0.0015625000000001332
ieee5,0,9,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,10,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,11,4,4,0.0,0.0
ieee5,0,12,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,13,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,14,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,15,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,16,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,17,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,18,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,19,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,20,4,3,0.015624999999999889,0.01562500000000011
ieee5,0,21,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,22,4,4,0.0,0.0
ieee5,0,23,4,4,0.0,0.0
ieee5,0,24,4,4,0.0,0.0
ieee5,0,25,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,26,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,27,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,28,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,29,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,30,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,31,4,4,0.0,0.0
ieee5,0,32,4,3,0.015624999999999889,0.01562500000000011
ieee5,0,33,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,34,4,4,0.0,0.0
ieee5,0,35,4,3,0.015624999999999889,0.01562500000000011
ieee5,0,36,4,4,0.0,0.0
ieee5,0,37,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,38,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,39,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,40,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,41,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,42,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,43,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,44,4,3,0.015624999999999889,0.01562500000000011
ieee5,0,45,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,46,4,2,0.006249999999999867,0.0015625000000001332
ieee5,0,47,4,2,0.006249999999999867,0.0015625000000001332
ieee5,0,48,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,49,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,50,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,51,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,52,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,53,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,54,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,55,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,56,4,4,0.0,0.0
ieee5,0,57,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,58,4,2,0.006249999999999867,0.0015625000000001332
ieee5,0,59,4,2,0.006249999999999867,0.0015625000000001332
ieee5,0,60,4,4,0.0,0.0
ieee5,0,61,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,62,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,63,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,64,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,65,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,66,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,67,4,4,0.0,0.0
ieee5,0,68,4,2,0.006249999999999867,0.0015625000000001332
ieee5,0,69,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,70,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,71,4,3,0.015624999999999889,0.01562500000000011
ieee5,0,72,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,73,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,74,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,75,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,76,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,77,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,78,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,79,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,80,4,2,0.006249999999999867,0.0015625000000001332
ieee5,0,81,4,1,0.06328124999999996,0.06406250000000002
ieee5,0,82,4,3,0.015624999999999889,0.01562500000000011
ieee5,0,83,4,2,0.006249999999999867,0.0015625000000001332
ieee5,0,84,4,4,0.0,0.0
ieee5,0,85,4,1,0.06328124999999996,0.06406250000000002
