system,structure,mean_u_cont,std_u_cont,mean_u_snap,std_u_snap,n_rollouts,fixed_bus,fixed_amplitude,global_best_amp_on_fixed_bus
ieee5,fully_fixed,0.848828125,0.1484904305299987,0.85,0.12869537676233753,128,4,0.15,0.3
ieee5,fixed_bus_adaptive_amp,0.8453125,0.1491430599919084,0.846875,0.12926323674966522,128,4,0.15,0.3
ieee5,adaptive_bus_fixed_amp,0.8511718750000001,0.14231139433996268,0.8539062500000001,0.12493894993530842,128,4,0.15,0.3
ieee5,adaptive_bus_adaptive_amp,0.852734375,0.14500923916550754,0.8539062500000001,0.12556269832612513,128,4,0.15,0.3
