epoch,grad_norm
0,0.019154679889862355
1,0.05909055478584308
2,0.058100112642233186
3,0.10012160793233377
4,0.07630749347691353
5,0.044740650516289934
6,0.027169885113835335
7,0.06085294040922935
8,0.11702215725269455
9,0.1266023571101519
10,0.08862614044203208
11,0.13962233080886877
12,0.07182224510380855
13,0.17994644005711263
14,0.17398670387382692
15,0.1327699740918783
16,0.14201781082038695
17,0.12275745805639487
18,0.06663740125413124
19,0.0675603413524536
20,0.047691743749265485
21,0.03194694255048839
22,0.06414653482631995
23,0.06318460977994479
24,0.06598779988976625
25,0.057026270956087574
26,0.07022460944090898
27,0.0610935536141579
28,0.0587926461504629
29,0.10745189396234658
