epoch,policy_entropy,entropy_coef,kl_coef
0,1.3438896387815475,0.02,0.05
1,1.5797928812412114,0.019310344827586208,0.04666666666666667
2,1.585529116483835,0.018620689655172412,0.043333333333333335
3,1.4843091334287937,0.01793103448275862,0.04000000000000001
4,1.5577728645159648,0.017241379310344827,0.036666666666666674
5,1.5687651061094725,0.016551724137931035,0.03333333333333334
6,1.5411348595069005,0.015862068965517243,0.03
7,1.6393422599022205,0.015172413793103448,0.02666666666666667
8,1.7470466047525406,0.014482758620689656,0.023333333333333334
9,1.5767116500781133,0.013793103448275864,0.020000000000000004
10,1.6826253762611976,0.01310344827586207,0.01666666666666667
11,1.8155752626749186,0.012413793103448277,0.013333333333333336
12,2.137878267810895,0.011724137931034485,0.009999999999999998
13,2.4701560139656067,0.01103448275862069,0.006666666666666665
14,2.9900325811826267,0.010344827586206895,0.0033333333333333327
15,3.129913036639874,0.009655172413793102,0.0
16,3.3917646293456736,0.00896551724137931,0.0
17,3.634342693365537,0.00827586206896552,0.0
18,3.7273304164409637,0.007586206896551724,0.0
19,3.816503886993115,0.006896551724137932,0.0
20,3.8645765598003683,0.006206896551724137,0.0
21,3.8667506988231954,0.005517241379310345,0.0
22,3.877861112356186,0.004827586206896553,0.0
23,3.8895377860619473,0.004137931034482758,0.0
24,3.8915808384235087,0.003448275862068966,0.0
25,3.877539107432732,0.0027586206896551735,0.0
26,3.8562034299740424,0.002068965517241379,0.0
27,3.8411309054264655,0.0013793103448275868,0.0
28,3.834332619722073,0.0006896551724137923,0.0
29,3.8186635741820703,0.0,0.0
