epoch,dominant_sequence_fraction,unique_sequence_count,validation_mean_u_ctrl,validation_safety,sequence_entropy
0,1.0,1,0.98,1.0,-0.0
1,1.0,1,0.98,1.0,-0.0
2,1.0,1,0.98,1.0,-0.0
3,1.0,1,0.98,1.0,-0.0
4,1.0,1,0.98,1.0,-0.0
5,1.0,1,0.98,1.0,-0.0
6,1.0,1,0.98,1.0,-0.0
7,1.0,1,0.98,1.0,-0.0
8,1.0,1,0.98,1.0,-0.0
9,1.0,1,0.98,1.0,-0.0
10,1.0,1,0.98,1.0,-0.0
11,1.0,1,0.98,1.0,-0.0
12,1.0,1,0.98,1.0,-0.0
13,1.0,1,0.98,1.0,-0.0
14,1.0,1,0.98,1.0,-0.0
15,1.0,1,0.9833333333333334,1.0,-0.0
16,1.0,1,0.98,1.0,-0.0
17,1.0,1,0.98,1.0,-0.0
18,1.0,1,0.98,1.0,-0.0
19,1.0,1,0.98,1.0,-0.0
20,1.0,1,0.98,1.0,-0.0
21,1.0,1,0.98,1.0,-0.0
22,1.0,1,0.9733333333333333,1.0,-0.0
23,0.875,2,0.9733333333333333,1.0,0.37677016125643675
24,1.0,1,0.9733333333333333,1.0,-0.0
25,1.0,1,0.9733333333333333,1.0,-0.0
26,1.0,1,0.9733333333333333,1.0,-0.0
27,1.0,1,0.9833333333333334,1.0,-0.0
28,1.0,1,0.9833333333333334,1.0,-0.0
29,0.5416666666666666,3,0.98,1.0,1.0054668293254954
