epoch,grad_norm
0,0.027387989774489634
1,0.05227490396310504
2,0.0364350420781053
3,0.04986588750034571
4,0.05146998539566994
5,0.048115192661778286
6,0.0382548609497742
7,0.04293505593131368
8,0.04232738403460154
9,0.04739763462342895
10,0.06503560329572512
11,0.05914411027557575
12,0.050958273359216176
13,0.07293776995860614
14,0.06318396129287206
15,0.03945357818156481
16,0.03625160727936488
17,0.04881171273210874
18,0.04588982283782501
19,0.062465315039914385
20,0.054371484340383455
21,0.0520161809399724
22,0.05785493867901655
23,0.06593502029919854
24,0.052206591165696196
25,0.05023824985927114
26,0.06155499199835154
27,0.056856405204878405
28,0.043480700347572565
29,0.07857938268436836
