epoch,policy_entropy,entropy_coef,kl_coef
0,3.9682099452385535,0.01,0.0
1,3.9675018145487857,0.009655172413793104,0.0
2,3.966114532489043,0.009310344827586206,0.0
3,3.964853341762836,0.00896551724137931,0.0
4,3.9603769733355594,0.008620689655172414,0.0
5,3.956821863467877,0.008275862068965517,0.0
6,3.960314381581086,0.007931034482758621,0.0
7,3.958284857181402,0.007586206896551724,0.0
8,3.9527118366498213,0.007241379310344828,0.0
9,3.941463135755979,0.006896551724137932,0.0
10,3.9171039851812215,0.006551724137931035,0.0
11,3.8921931317219367,0.0062068965517241385,0.0
12,3.8747672140598297,0.005862068965517242,0.0
13,3.8652797845693736,0.005517241379310345,0.0
14,3.9195737701195936,0.005172413793103447,0.0
15,3.9371205361989827,0.004827586206896551,0.0
16,3.9443345230359297,0.004482758620689655,0.0
17,3.9462287311370554,0.00413793103448276,0.0
18,3.934549120756296,0.003793103448275862,0.0
19,3.9130253218687496,0.003448275862068966,0.0
20,3.8728309250794926,0.0031034482758620684,0.0
21,3.88174808713106,0.0027586206896551726,0.0
22,3.8946662224256077,0.0024137931034482764,0.0
23,3.8904077731646023,0.002068965517241379,0.0
24,3.869339569256856,0.001724137931034483,0.0
25,3.893546840319267,0.0013793103448275868,0.0
26,3.906352930344068,0.0010344827586206895,0.0
27,3.902126954152034,0.0006896551724137934,0.0
28,3.8708441119927626,0.00034482758620689615,0.0
29,3.8549501850054813,0.0,0.0
