system,sequence,xi1,xi2,xi3,mean_u_ctrl,std_u_ctrl,mean_u_raw,std_u_raw,n_eval
ieee9,20 2 39,20,2,39,0.9740000000000002,0.05332916650389353,0.932,0.1383329317263247,80.0
ieee9,27 34 42,27,34,42,0.9790000000000001,0.05548873759602034,0.937,0.13853158484620035,80.0
ieee9,21 19 0,21,19,0,0.9680000000000002,0.039191835884530846,0.9120000000000001,0.06337191807101944,80.0
ieee9,45 35 39,45,35,39,0.9680000000000002,0.039191835884530846,0.9120000000000001,0.06337191807101944,80.0
ieee9,28 40 6,28,40,6,0.976,0.04963869458396343,0.9270000000000003,0.10877040038539895,80.0
ieee9,19 30 25,19,30,25,0.9680000000000002,0.039191835884530846,0.9120000000000001,0.06337191807101944,80.0
ieee9,10 43 15,10,43,15,0.9850000000000001,0.06144102863722254,0.9500000000000002,0.1621727474022686,80.0
ieee9,8 46 19,8,46,19,0.982,0.05653317610041028,0.9400000000000002,0.1385640646055102,80.0
ieee9,44 21 10,44,21,10,0.9680000000000002,0.039191835884530846,0.9120000000000001,0.06337191807101944,80.0
ieee9,27 0 39,27,0,39,0.9680000000000002,0.039191835884530846,0.9120000000000001,0.06337191807101944,80.0
ieee9,43 1 25,43,1,25,1.004,0.07787168933572715,0.9820000000000002,0.19182283492848295,80.0
ieee9,14 2 40,14,2,40,0.9850000000000001,0.06881133627535509,0.9540000000000001,0.17147594583497713,80.0
ieee9,27 4 18,27,4,18,0.982,0.0644670458451448,0.937,0.1251838647749781,80.0
ieee9,38 33 23,38,33,23,0.9940000000000001,0.07565712127751097,0.9750000000000002,0.20370321548763048,80.0
ieee9,40 30 46,40,30,46,0.9680000000000002,0.039191835884530846,0.9120000000000001,0.06337191807101944,80.0
ieee9,30 22 17,30,22,17,0.9680000000000002,0.039191835884530846,0.9120000000000001,0.06337191807101944,80.0
ieee9,38 44 47,38,44,47,0.982,0.06063002556489649,0.9400000000000002,0.14028542333400149,80.0
ieee9,42 8 38,42,8,38,0.9800000000000001,0.05291502622129182,0.9310000000000003,0.10990450400233832,80.0
ieee9,20 9 42,20,9,42,0.9710000000000001,0.046893496350773424,0.9170000000000001,0.07662245101796211,80.0
ieee9,46 53 47,46,53,47,0.9770000000000001,0.058915193286621745,0.9420000000000002,0.16246845847733032,80.0
ieee9,13 39 1,13,39,1,0.9680000000000002,0.039191835884530846,0.9120000000000001,0.06337191807101944,80.0
ieee9,43 51 3,43,51,3,0.9680000000000002,0.039191835884530846,0.9120000000000001,0.06337191807101944,80.0
ieee9,24 8 14,24,8,14,0.982,0.060630025564896474,0.9470000000000003,0.16232991098377406,80.0
ieee9,39 6 50,39,6,50,0.9690000000000001,0.03998749804626442,0.9130000000000003,0.06380438856379708,80.0
ieee9,46 8 35,46,8,35,0.977,0.0501098792654702,0.9280000000000002,0.10888526071052962,80.0
ieee9,29 24 2,29,24,2,0.9969999999999999,0.07791662210337408,0.9850000000000001,0.21848340898109408,80.0
ieee9,17 23 28,17,23,28,0.977,0.0501098792654702,0.9280000000000002,0.10888526071052962,80.0
ieee9,45 1 9,45,1,9,0.9670000000000002,0.03835361782153021,0.9110000000000003,0.06292058486695751,80.0
ieee9,11 21 15,11,21,15,0.9680000000000002,0.039191835884530846,0.9120000000000001,0.06337191807101944,80.0
ieee9,52 25 39,52,25,39,0.9740000000000002,0.04862098312457289,0.9180000000000001,0.06925315877272313,80.0
ieee9,39 11 3,39,11,3,0.9710000000000001,0.04689349635077342,0.9220000000000003,0.10805554127392081,80.0
ieee9,17 43 33,17,43,33,0.993,0.0734234295031225,0.9790000000000003,0.2155898884456319,80.0
ieee9,26 38 42,26,38,42,0.9800000000000001,0.05727128425310542,0.9380000000000003,0.13912584231550948,80.0
ieee9,16 6 3,16,6,3,0.9720000000000001,0.04749736834815167,0.923,0.10821737383618216,80.0
ieee9,42 14 49,42,14,49,1.001,0.08578461400507668,1.0100000000000002,0.25748786379167465,80.0
ieee9,29 42 19,29,42,19,0.9780000000000001,0.05929586832149437,0.9430000000000003,0.16245307014642724,80.0
ieee9,10 1 26,10,1,26,0.9940000000000001,0.0690217357069496,0.9660000000000004,0.18232937229091753,80.0
ieee9,26 12 35,26,12,35,0.9710000000000001,0.04334743360338649,0.9150000000000003,0.06584071688552608,80.0
ieee9,28 1 9,28,1,9,0.9710000000000001,0.04146082488325577,0.9150000000000003,0.06461423991660041,80.0
ieee9,37 53 14,37,53,14,0.975,0.04914264950122247,0.9260000000000002,0.10864621484432858,80.0
ieee9,9 30 40,9,30,40,0.9680000000000002,0.039191835884530846,0.9120000000000001,0.06337191807101944,80.0
ieee9,51 1 16,51,1,16,0.991,0.06632495759516173,0.9630000000000003,0.1818543373142362,80.0
ieee9,52 17 48,52,17,48,0.9680000000000002,0.039191835884530846,0.9120000000000001,0.06337191807101944,80.0
ieee9,37 10 52,37,10,52,1.001,0.07898734075787082,0.9890000000000001,0.21798853180844177,80.0
ieee9,0 13 20,0,13,20,0.9680000000000002,0.039191835884530846,0.9120000000000001,0.06337191807101944,80.0
ieee9,41 18 21,41,18,21,0.9680000000000002,0.039191835884530846,0.9120000000000001,0.06337191807101944,80.0
ieee9,41 46 3,41,46,3,0.9680000000000002,0.039191835884530846,0.9120000000000001,0.06337191807101944,80.0
ieee9,1 50 45,1,50,45,0.9780000000000001,0.059295868321494374,0.9380000000000003,0.1442081828468829,80.0
ieee9,8 33 20,8,33,20,0.9800000000000001,0.05585696017507577,0.9380000000000001,0.138549630096944,80.0
ieee9,4 22 19,4,22,19,0.9840000000000002,0.06118823416311342,0.9440000000000002,0.1441665703275208,80.0
ieee9,47 32 38,47,32,38,0.9920000000000002,0.06764613810115107,0.9570000000000002,0.16355732939859347,80.0
ieee9,29 18 30,29,18,30,0.9680000000000002,0.039191835884530846,0.9120000000000001,0.06337191807101944,80.0
ieee9,4 42 15,4,42,15,0.991,0.07320519107276478,0.9670000000000002,0.18992366887778894,80.0
ieee9,43 8 4,43,8,4,0.985,0.061441028637222554,0.9430000000000002,0.14025334220616636,80.0
ieee9,3 43 44,3,43,44,0.9680000000000002,0.039191835884530846,0.9120000000000001,0.06337191807101944,80.0
ieee9,5 40 30,5,40,30,0.9720000000000001,0.0457820925690384,0.9160000000000001,0.06740919818541088,80.0
ieee9,35 22 2,35,22,2,0.9810000000000001,0.0616360284249399,0.9460000000000001,0.16286190469228834,80.0
ieee9,12 41 50,12,41,50,0.9720000000000002,0.0457820925690384,0.9160000000000001,0.06740919818541088,80.0
ieee9,23 11 14,23,11,14,1.004,0.08662563131083086,1.0030000000000001,0.23704640895824602,80.0
ieee9,14 10 11,14,10,11,0.984,0.06974238309665078,0.9580000000000002,0.18717905865774623,80.0
ieee9,40 46 3,40,46,3,0.9680000000000002,0.039191835884530846,0.9120000000000001,0.06337191807101944,80.0
ieee9,36 9 49,36,9,49,0.9690000000000001,0.041940433951021545,0.9130000000000003,0.06504613747179766,80.0
ieee9,50 43 22,50,43,22,1.0030000000000001,0.08573797291748855,0.9950000000000003,0.22417626993060624,80.0
ieee9,43 11 42,43,11,42,0.984,0.06858571279792898,0.9630000000000003,0.20067635635520198,80.0
ieee9,49 28 38,49,28,38,0.977,0.05891519328662174,0.9420000000000002,0.1624684584773303,80.0
ieee9,22 0 7,22,0,7,0.9790000000000001,0.05965735495309863,0.9270000000000003,0.09116468614545876,80.0
ieee9,1 51 27,1,51,27,0.9780000000000001,0.05929586832149437,0.9380000000000003,0.1442081828468829,80.0
ieee9,43 44 48,43,44,48,0.9680000000000002,0.039191835884530846,0.9120000000000001,0.06337191807101944,80.0
ieee9,40 39 0,40,39,0,0.9700000000000001,0.042661458015403095,0.9140000000000003,0.06545227268781428,80.0
ieee9,34 50 21,34,50,21,0.9680000000000002,0.039191835884530846,0.9120000000000001,0.06337191807101944,80.0
ieee9,4 32 36,4,32,36,0.9730000000000001,0.049709154086546276,0.9190000000000002,0.07822403722641781,80.0
ieee9,16 13 41,16,13,41,0.9960000000000001,0.07578918128598569,0.9650000000000002,0.172554339267374,80.0
ieee9,19 52 20,19,52,20,0.9800000000000001,0.06387487769068524,0.9470000000000003,0.16718552568927733,80.0
ieee9,21 2 12,21,2,12,0.9680000000000002,0.039191835884530846,0.9120000000000001,0.06337191807101944,80.0
ieee9,0 39 45,0,39,45,0.9680000000000002,0.039191835884530846,0.9120000000000001,0.06337191807101944,80.0
ieee9,24 14 37,24,14,37,0.9789999999999999,0.05965735495309862,0.9440000000000002,0.16243152403397568,80.0
ieee9,33 13 27,33,13,27,0.9740000000000002,0.05332916650389354,0.9320000000000002,0.1383329317263247,80.0
ieee9,13 10 26,13,10,26,0.9730000000000001,0.04807286136688766,0.9240000000000002,0.10836973747315252,80.0
ieee9,42 14 48,42,14,48,0.9690000000000001,0.04194043395102155,0.9130000000000003,0.06504613747179766,80.0
ieee9,7 21 32,7,21,32,0.9730000000000001,0.04637887450122093,0.9170000000000001,0.06775691846593972,80.0
ieee9,10 26 9,10,26,9,0.9690000000000001,0.03998749804626442,0.9130000000000003,0.06380438856379708,80.0
ieee9,16 21 8,16,21,8,0.9690000000000001,0.03998749804626441,0.9130000000000003,0.06380438856379708,80.0
ieee9,25 42 7,25,42,7,1.01,0.07835815209663893,0.9930000000000001,0.20374248452396965,80.0
ieee9,30 52 2,30,52,2,0.9680000000000002,0.039191835884530846,0.9120000000000001,0.06337191807101944,80.0
ieee9,33 50 12,33,50,12,0.9680000000000002,0.039191835884530846,0.9120000000000001,0.06337191807101944,80.0
ieee9,18 6 44,18,6,44,0.974,0.04862098312457288,0.9250000000000002,0.10851267207105354,80.0
ieee9,24 41 14,24,41,14,1.0030000000000001,0.08479976415061542,1.0000000000000002,0.23477648945326707,80.0
