T,method,mean_u_ctrl,safety_rate,mean_excess_control,runtime,paired_difference_vs_random,paired_difference_vs_myopic,n_hypothetical
1,dad,0.7838999999999999,1.0,0.46485000000000004,0.06972921511391178,-0.08510000000000002,0.0009000000000000013,
1,myopic,0.783,1.0,0.46395000000000003,0.39601189805497417,-0.08600000000000003,0.0,1024
1,fixed,0.7875,1.0,0.46845000000000003,0.06570038144476711,-0.08150000000000003,0.0045,
1,random,0.8690000000000001,1.0,0.54995,0.06507760959770531,,,
2,dad,0.7753000000000002,0.936,0.45625,0.07122781993402168,-0.012649999999999991,0.016450000000000024,
2,myopic,0.7588499999999999,1.0,0.4398,0.7206138994484208,-0.029100000000000015,0.0,1024
2,fixed,0.757,1.0,0.43795000000000006,0.06525647030910477,-0.030950000000000016,-0.0018500000000000023,
2,random,0.78795,0.986,0.4689,0.06580769001902081,,,
