T,seed,mean_u_ctrl,true_safety_rate,mean_runtime_per_rollout
1,101,0.7838999999999999,1.0,0.06972921511391178
1,202,0.8332000000000002,1.0,0.0700602526536677
1,303,0.7817,1.0,0.07007829176005907
2,101,0.7753000000000002,0.936,0.07122781993402168
2,202,0.7523999999999998,1.0,0.07059787812363356
2,303,0.73415,1.0,0.07102360587823205
