step,u_ctrl_mean,u_ctrl_std,u_ctrl_min,u_ctrl_max,n_unique,fraction_changed_from_previous_step,posterior_ess_mean
0,1.6000000000000003,2.220446049250313e-16,1.6,1.6,1,0.0,79.99999999999997
1,1.5858400000000001,0.038505770996046844,1.44,1.6,3,0.134,21.890472641417123
2,1.5555200000000002,0.0649363503748094,1.44,1.6,3,0.295,7.095196322239429
