theta_test_id,rollout_id,sequence,y_obs,u_ctrl,u_req_true,excess_control,u_ctrl_prior,changed_from_prior,reduced_from_prior,increased_from_prior,safe_total,max_rocof,frequency_nadir,rocof_safe,nadir_safe,posterior_ess,max_posterior_weight,posterior_mean_U,posterior_std_U,posterior_mean_U_error,runtime_s,exact_tie_count,near_tie_count,action_index_tie_break_count,median_co_tied_action_count,mean_score_gap,mean_decision_runtime_s,rule_terminal_rule_hash,rule_quantile_level,rule_additive_margin,rule_alpha,rule_snap_up,rule_control_grid_hash,rule_source,rule_rule,method
10,10,"[8, 19, 20, 28]","[3.5259227635208337, 4.913644181168347, 1.5463710788015095, 3.6649112797311805]",1.0,0.15,0.85,1.0,False,False,False,True,6.166435577619002,-0.01347753697974646,True,True,1.0,1.0,0.45,1.4506761702980327e-11,0.30000000000000004,0.06109083699993789,0,0,0,nan,nan,1.911481376737356e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
11,11,"[8, 19, 20, 28]","[3.0546804807604016, 3.564172908853898, 3.278426060769357, 3.506059152226794]",0.8,0.1,0.7000000000000001,1.0,True,True,False,True,3.8347218207014766,-0.059799449296380314,True,True,1.0033021812532967,0.9983516265041158,0.20032967501245763,0.008113346732259594,0.10032967501245763,0.06707983906380832,0,0,0,nan,nan,1.7868587747216225e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
12,12,"[8, 19, 20, 28]","[3.737096189145871, 2.673964955359719, 2.2193429249992533, 4.259622138123641]",0.7,0.6,0.09999999999999998,1.0,True,True,False,True,5.6673380589642885,-0.1921656528322248,True,True,1.2817979000962452,0.8742687457261503,0.13742687457261504,0.03315462350450901,-0.46257312542738493,0.06251530814915895,0,0,0,nan,nan,2.1319719962775707e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
13,13,"[8, 19, 20, 28]","[3.4543849567472247, 2.2430002229780905, 2.158219448802756, 3.715456562720596]",0.6,0.45,0.14999999999999997,1.0,True,True,False,True,3.659642948904991,-0.19949826095844175,True,True,1.0000000017596449,0.9999999991201776,0.05000000016544864,5.99261740715594e-06,-0.39999999983455137,0.06293300213292241,0,0,0,nan,nan,1.8847640603780746e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
14,14,"[8, 19, 20, 28]","[4.720821374830873, 3.4879214345427565, 2.8793746509692197, 5.318215171834473]",0.9,0.3,0.6000000000000001,1.0,True,True,False,True,5.582985984419171,-0.048023904931208915,True,True,1.0,1.0,0.3,1.2189215739150389e-11,0.0,0.06093030795454979,0,0,0,nan,nan,2.251937985420227e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
15,15,"[8, 19, 20, 28]","[3.3358460394157263, 2.3489578112918132, 3.3003368230043746, 3.707958166368399]",1.0,0.2,0.8,1.0,False,False,False,True,4.7717893118063515,-0.013637820277462246,True,True,1.0000000000095937,0.9999999999952032,0.449999999998561,6.570604132894232e-07,0.24999999999856098,0.06983585585840046,0,0,0,nan,nan,2.301763743162155e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
0,16,"[8, 19, 20, 28]","[3.240820318964882, 4.00477259193693, 1.9885876959729567, 3.5556827320973734]",1.0,0.1,0.9,1.0,False,False,False,True,4.7444373912934275,-0.011502217313638992,True,True,1.0474589828591472,0.9768368666213377,0.4444625624585477,0.03662006070583448,0.34446256245854767,0.06287933303974569,0,0,0,nan,nan,2.1869782358407974e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
1,17,"[8, 19, 20, 28]","[4.621967343336002, 6.923516647190075, 2.390905723562344, 4.949292929845027]",0.8,0.1,0.7000000000000001,1.0,True,True,False,True,10.4881090220033,-0.06126389054985644,True,True,1.0,1.0,0.25,1.1028234967664956e-19,0.15,0.06289960397407413,0,0,0,nan,nan,1.940468791872263e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
2,18,"[8, 19, 20, 28]","[3.656018737710588, 4.307311111055589, 1.526343987774403, 3.870766913036504]",0.9,0.3,0.6000000000000001,1.0,True,True,False,True,4.848379284386246,-0.04908653844885331,True,True,1.0006435495935957,0.9996783286756217,0.29998391643379396,0.0008966156540762201,-1.6083566206026578e-05,0.06288244691677392,0,0,0,nan,nan,2.0717852748930454e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
3,19,"[8, 19, 20, 28]","[6.695749405813165, 4.6333153896253885, 2.064311882223347, 7.3629073240441505]",0.9,0.5,0.4,1.0,True,True,False,True,8.584969301667055,-0.07595121380361972,True,True,1.0,1.0,0.35,1.629171881160553e-30,-0.15000000000000002,0.062094223918393254,0,0,0,nan,nan,1.9770232029259205e-06,c2e2af33cb68a5ea,0.95,0.55,0.05,True,3697ea3799e74809,/home/grads/g/g.lin/Documents/dad_mocu_kuramoto_v4/experiments/dad_cross_system_improvement/ieee5_T4/selected_policy_robust_rule.json,snap_up(Q_{1-alpha}(U|w) + margin),fixed
