epoch,bc_loss,bc_accuracy
0,4.158381588318768,0.4096153846153846
1,2.879385842996485,0.5
2,2.2009117252686443,0.6625
3,2.2086091672672943,1.0
4,2.145567115615396,1.0
5,2.13003305126639,1.0
6,2.1260438386131737,1.0
7,2.0987534943748924,1.0
8,2.060176540823544,1.0
9,2.044587899656857,1.0
10,2.0516884747673485,1.0
11,2.0581410071429085,1.0
12,2.0310546580482933,1.0
13,2.036864589242374,1.0
14,1.976695502505583,1.0
15,1.9610334284165327,1.0
16,1.9666959958917953,1.0
17,1.961299082812141,1.0
18,1.902755807427799,1.0
19,1.9288823394214405,1.0
20,1.9233010586570292,1.0
21,1.8759465287713444,1.0
22,1.8395755220861996,1.0
23,1.8238502390244429,1.0
24,1.8384098796283497,1.0
25,1.8422693294637345,1.0
26,1.7867721810060389,1.0
27,1.7708755030351526,1.0
28,1.7648068315842573,1.0
29,1.7490103665520162,1.0
30,1.695184034459731,1.0
31,1.7176351827733658,1.0
32,1.7019583056954777,1.0
33,1.7048338230918436,1.0
34,1.6430274388369392,1.0
35,1.6366700284621294,1.0
36,1.6392015078488518,1.0
37,1.6504391081192915,1.0
38,1.5814915264354032,1.0
39,1.574937245425056,1.0
40,1.5683117894565357,1.0
41,1.5786554112153894,1.0
42,1.5629377224866081,1.0
43,1.5219272164737476,1.0
44,1.5315619146122652,1.0
45,1.5075226461186129,1.0
46,1.4920209716348087,1.0
47,1.4605037955676807,1.0
48,1.4213487120235668,1.0
49,1.4381574672811173,1.0
50,1.4464532557655783,1.0
51,1.4078514646081364,1.0
52,1.400177471777972,1.0
53,1.3624797428355497,1.0
54,1.377454698085785,1.0
55,1.3547836331760181,1.0
56,1.325271231286666,1.0
57,1.2959876831840067,1.0
58,1.2814091373892391,1.0
59,1.2954825233010685,1.0
