update,environment,trajectories_per_batch,transitions,cumulative_trajectories,advantage_mean,advantage_std,value_loss,policy_loss,entropy,approximate_kl,clip_fraction,actor_gradient_norm,value_gradient_norm,mean_training_terminal_cost,entropy_t1,entropy_t2,entropy_t3,validation_mean_u_ctrl,validation_std_u_ctrl,validation_median_u_ctrl,validation_q10_u_ctrl,validation_q90_u_ctrl,validation_safety,validation_dominant_sequence,validation_dominant_sequence_fraction,validation_unique_sequences,validation_sequence_entropy,validation_entropy_t1,validation_entropy_t2,validation_entropy_t3,validation_unique_sequence_count,validation_xi2_action_variation_across_y1_bins,validation_xi3_action_variation_across_y1_y2_bins,validation_mi_y1_xi2,validation_mi_y1y2_xi3,validation_observation_action_mutual_information,validation_classification,validation_n_bins,validation_deterministic_policy_evaluation,best_validation_so_far
1,ieee9_full,12,36,12,-0.8772427784542294,0.06748391584940215,0.011587640270590782,-0.12344048917293549,3.962409019470215,0.035637300461530685,0.3055555522441864,0.5200434327125549,0.5643454194068909,0.9733333333333336,3.9788830280303955,3.9619693756103516,3.9426419734954834,0.98,0.057735026918962595,0.96,0.96,1.016,1.0,"[9, 29, 7]",0.9166666666666666,2,0.2868359830561607,3.978900909423828,3.9634269575277963,3.943323850631714,2,1,2,0.0,0.2072717120193089,0.2072717120193089,observation-dependent adaptive,5,True,0.98
2,ieee9_full,12,36,24,0.08116872636410927,0.08819552981571006,0.0038282147143036127,-0.10140085965394974,3.9576339721679688,-0.0123770572245121,0.1666666716337204,0.5300365686416626,0.16527418792247772,1.0133333333333336,3.9752719402313232,3.9577019214630127,3.936788320541382,,,,,,,,,,,,,,,,,,,,,,,
3,ieee9_full,12,36,36,0.04863620077934533,0.013852395821612011,0.0013921032659709454,-0.08467501401901245,3.95334792137146,-0.01919415220618248,0.1111111119389534,0.6316916346549988,0.1576257050037384,0.9600000000000003,3.9685096740722656,3.9545233249664307,3.933515787124634,,,,,,,,,,,,,,,,,,,,,,,
4,ieee9_full,12,36,48,-0.04211224812236094,0.019748906748502982,0.000842337089125067,-0.0735442265868187,3.9507992267608643,-0.00983300432562828,0.0833333358168602,0.6923553347587585,0.13295836746692657,0.9600000000000003,3.9621999263763428,3.953768730163574,3.9355833530426025,,,,,,,,,,,,,,,,,,,,,,,
5,ieee9_full,12,36,60,-0.006575749791827443,0.06683911693390858,0.0019426563521847129,-0.06050334498286247,3.949846029281616,0.0016344388714060187,0.02777777798473835,0.6818112134933472,0.021262628957629204,0.9933333333333335,3.958759069442749,3.9529151916503906,3.936986207962036,,,,,,,,,,,,,,,,,,,,,,,
6,ieee9_full,12,36,72,0.013048908010787445,0.05820122940508741,0.0016889335820451379,-0.05747465416789055,3.946746826171875,0.0017125871963799,0.0,0.731049120426178,0.04567893594503403,0.9866666666666669,3.951408624649048,3.950206756591797,3.935922622680664,,,,,,,,,,,,,,,,,,,,,,,
7,ieee9_full,12,36,84,0.01675186973843313,0.013425995413895017,0.0001938141358550638,-0.06491226702928543,3.9420650005340576,-0.008147199638187885,0.0833333358168602,0.6115912199020386,0.04670776054263115,0.9600000000000003,3.947307825088501,3.9448862075805664,3.930805206298828,,,,,,,,,,,,,,,,,,,,,,,
8,ieee9_full,12,36,96,-0.10293875632319183,0.11108302282943769,0.009597968310117722,-0.04699895158410072,3.9396276473999023,-0.002000623382627964,0.0,0.780339241027832,0.3202349543571472,1.0599999999999998,3.9461324214935303,3.9443728923797607,3.9267406463623047,,,,,,,,,,,,,,,,,,,,,,,
9,ieee9_full,12,36,108,0.14789446408914197,0.022038638254097197,0.007862663827836514,-0.051830489188432693,3.9380221366882324,-0.003988464828580618,0.0,0.779816210269928,0.4013431966304779,0.9600000000000003,3.9500248432159424,3.9419946670532227,3.9221181869506836,,,,,,,,,,,,,,,,,,,,,,,
10,ieee9_full,12,36,120,-0.1224787665284342,0.07030468512686106,0.0055973464623093605,-0.0453665591776371,3.9363107681274414,-0.007145768962800503,0.0,0.7605026960372925,0.29401877522468567,0.9866666666666669,3.950615167617798,3.9385454654693604,3.9179680347442627,0.9700000000000001,0.04795831523312719,0.96,0.96,0.96,1.0,"[34, 21, 33]",0.7083333333333334,2,0.6036372515003262,3.950671434402466,3.9393795132637024,3.9257602989673615,2,1,2,0.0,0.4663107154168124,0.4663107154168124,observation-dependent adaptive,5,True,0.9700000000000001
