system,seed,epoch,train_mean_u_ctrl,validation_mean_u_ctrl,validation_safety,best_validation_mean_u_ctrl,policy_entropy,entropy_t1,entropy_t2,entropy_t3,entropy_coefficient,gradient_norm,gradient_norm_max,clipping_events,advantage_mean,advantage_std,unique_sequences,dominant_sequence,dominant_sequence_fraction,terminal_cost_unique_count,terminal_cost_modal_fraction,terminal_cost_tied_fraction,potential_telescope_max_error,loss
ieee5,101,0,0.9,0.9166666666666669,1.0,0.9166666666666669,3.365342140197754,3.40008544921875,3.36545991897583,3.3304803371429443,0.01,0.14437837898731232,0.14437837898731232,0,1.241763432820638e-09,0.14142136097882999,4,8 12 27,0.25,2.0,0.75,0.75,0.0,-0.10397675633430481
ieee5,101,1,0.875,0.9166666666666669,1.0,0.9166666666666669,3.365328550338745,3.4001169204711914,3.365487575531006,3.330381155014038,0.0,0.02715558186173439,0.02715558186173439,0,1.3969838619232178e-09,0.06770032282433361,4,3 18 7,0.25,3.0,0.5,0.5,0.0,0.0012829005718231201
