epoch,grad_norm
0,0.037553560705139086
1,0.1371171624901203
2,0.0749886384090552
3,0.09034022144400157
4,0.07176386249753144
5,0.09878499060869217
6,0.08091829086725529
7,0.09447198905623876
8,0.05125574509684856
9,0.10571292021240179
10,0.16493798735050055
11,0.13194195467692155
12,0.13788778048295242
13,0.15224400506569788
14,0.15579383648358858
15,0.17063016444444656
16,0.10773719302736796
17,0.09488673106982158
18,0.07630365427870017
19,0.07822697867567723
20,0.08332303854135367
21,0.07588304550601886
22,0.08217305632737967
23,0.07718562420744163
24,0.07837037111704166
25,0.07868788792536809
26,0.08951238600107339
27,0.08470143320468757
28,0.09119546098204759
29,0.09341886754219349
