T,method,mean_u_ctrl,true_safety_rate,mean_excess_control,runtime,paired_difference_vs_random,paired_difference_vs_fixed,paired_difference_vs_myopic
2,dad,0.8246000000000001,1.0,0.50555,0.07110536886402406,-0.067,-0.0255,-0.04419999999999999
2,myopic,0.8688,1.0,0.54975,0.7352742581313941,-0.022800000000000008,-0.018699999999999994,0.0
2,fixed,0.8501000000000002,1.0,0.5310499999999999,0.06512337872921489,-0.0415,0.0,-0.018699999999999994
2,random,0.8916000000000002,1.0,0.5725500000000001,0.06604747256822883,,0.0415,0.022800000000000008
3,dad,0.8433,1.0,0.52425,0.07255501464032568,-0.027099999999999996,0.001300000000000006,-0.017099999999999997
3,myopic,0.8604,1.0,0.54135,1.0195880134939217,-0.010000000000000004,-0.018399999999999996,0.0
3,fixed,0.842,1.0,0.52295,0.06535693444637582,-0.028399999999999998,0.0,-0.018399999999999996
3,random,0.8704000000000001,1.0,0.55135,0.0657893578868825,,0.028399999999999998,0.010000000000000004
4,dad_primary_seed101,0.8207000000000001,1.0,0.5016499999999999,0.07389946051058359,,,
4,dad_across_seeds_mean,0.8456666666666668,1.0,,,,,
4,dad_seed_101,0.8207000000000001,1.0,,,,,
4,dad_seed_202,0.8632000000000001,1.0,,,,,
4,dad_seed_303,0.8531000000000002,1.0,,,,,
4,fixed_exact,0.8461000000000001,1.0,,,,,
4,fixed_approximate_archived,0.8542000000000001,1.0,0.53515,0.06593921506241895,,,
4,myopic,0.8528000000000001,1.0,0.53375,1.3146947309770622,,,
4,random,0.8688,1.0,0.54975,0.06570033875457011,,,
