update,policy_loss,value_loss,approximate_kl,entropy,mean_training_terminal_cost,mean_u_ctrl,std_u_ctrl,median_u_ctrl,q10_u_ctrl,q90_u_ctrl,safety,dominant_sequence,dominant_sequence_fraction,unique_sequences,sequence_entropy,entropy_t1,entropy_t2,entropy_t3
1,-0.06534721702337265,0.03496337682008743,0.03648974373936653,3.359692096710205,0.9,0.875,0.13616778865306828,0.9,0.7,1.0,1.0,"[21, 15, 11]",1.0,1,-0.0,3.39359188079834,3.3599698742230735,3.3248748779296875
10,-0.025263534858822823,0.0026893210597336292,0.00786617025732994,3.3319876194000244,0.9166666666666666,0.8166666666666669,0.11426091000668408,0.8,0.7,0.99,1.0,"[9, 28, 0]",0.5833333333333334,2,0.6791932659915256,3.389752149581909,3.34175839026769,3.2877411047617593
20,-0.025908337906003,0.008876253850758076,-0.0009168055257759988,3.305144786834717,0.7833333333333333,0.8583333333333334,0.1114924013354971,0.8500000000000001,0.8,1.0,1.0,"[28, 29, 27]",0.6666666666666666,2,0.6365141682948128,3.3716065883636475,3.3083327809969583,3.2624476552009583
30,-0.027772625908255577,0.009246762841939926,0.02306799776852131,3.283087968826294,0.8333333333333334,0.9083333333333332,0.09537935951882998,0.9,0.8,1.0,1.0,"[21, 29, 16]",1.0,1,-0.0,3.360196590423584,3.261278490225474,3.2480482260386148
40,-0.047553785145282745,0.006966521963477135,0.00040152668952941895,3.0479211807250977,0.8916666666666666,0.8916666666666669,0.08620067027323831,0.9,0.8,1.0,1.0,"[28, 29, 27]",1.0,1,-0.0,3.3570873737335205,2.5348321000734964,3.209398786226908
50,-0.01579788699746132,0.00589657761156559,0.0152920912951231,2.626847743988037,0.875,0.7916666666666665,0.13819269959814168,0.75,0.61,0.99,1.0,"[28, 29, 3]",1.0,1,-0.0,3.33007550239563,1.7682927250862122,2.9700358708699546
60,-0.04788347706198692,0.004318718798458576,0.0028369510546326637,3.0476863384246826,0.8250000000000002,0.7916666666666665,0.13819269959814168,0.75,0.61,0.99,1.0,"[28, 29, 3]",1.0,1,-0.0,3.3232712745666504,2.6624239683151245,3.028251349925995
70,0.008209695108234882,0.005245296284556389,-0.00537380576133728,3.0781466960906982,0.7916666666666666,0.7916666666666665,0.13819269959814168,0.75,0.61,0.99,1.0,"[28, 29, 3]",1.0,1,-0.0,3.3015079498291016,2.59423420826594,3.228745758533478
80,-0.013082494027912617,0.004681999795138836,0.004185355268418789,2.9496490955352783,0.8333333333333334,0.7916666666666665,0.13819269959814168,0.75,0.61,0.99,1.0,"[28, 29, 3]",1.0,1,-0.0,3.281198501586914,2.416160841782888,3.013240615526835
90,-0.041697580367326736,0.008071147836744785,-0.0022106037940829992,3.0959205627441406,0.8333333333333334,0.7916666666666665,0.13819269959814168,0.75,0.61,0.99,1.0,"[28, 29, 3]",1.0,1,-0.0,3.302180290222168,2.629049221674601,3.2049599289894104
100,-0.028066813945770264,0.004008280113339424,0.010942197404801846,3.2010436058044434,0.9166666666666666,0.8333333333333335,0.12472191289246472,0.8500000000000001,0.62,0.99,1.0,"[28, 29, 1]",1.0,1,-0.0,3.3023884296417236,2.7442758480707803,3.21614670753479
110,-0.005844275001436472,0.00537013728171587,-0.00974052120000124,3.1361658573150635,0.8583333333333334,0.8666666666666668,0.1178511301977579,0.9,0.71,1.0,1.0,"[28, 27, 1]",0.9166666666666666,2,0.2868359830561607,3.222146511077881,3.0965139865875244,3.1716363032658896
