update,mean_kl_from_pre_finetune,selected_action_changes,branch_survival_rate,unique_selected_actions,selected_actions,policy_distributions
11,0.0,0,1.0,1,2 2 2,"[[0.0, 0.0, 0.4369077682495117, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07967671006917953, 0.0, 0.0, 0.0, 0.0, 0.17531880736351013, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1433703601360321, 0.0, 0.0, 0.1647263914346695, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.42168566584587097, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07558145374059677, 0.0, 0.0, 0.0, 0.0, 0.17867814004421234, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1351218819618225, 0.0, 0.0, 0.1889328956604004, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.4373018741607666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08186168968677521, 0.0, 0.0, 0.0, 0.0, 0.1664389669895172, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1332976222038269, 0.0, 0.0, 0.18109987676143646, 0.0, 0.0, 0.0, 0.0]]"
12,0.0,0,1.0,1,2 2 2,"[[0.0, 0.0, 0.49901050329208374, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07805606722831726, 0.0, 0.0, 0.0, 0.0, 0.15097099542617798, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11546815931797028, 0.0, 0.0, 0.15649433434009552, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.47193485498428345, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07464802265167236, 0.0, 0.0, 0.0, 0.0, 0.15794384479522705, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11227510869503021, 0.0, 0.0, 0.1831982135772705, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.49505630135536194, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07961104065179825, 0.0, 0.0, 0.0, 0.0, 0.14312337338924408, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10759291797876358, 0.0, 0.0, 0.17461638152599335, 0.0, 0.0, 0.0, 0.0]]"
13,0.0,0,1.0,1,2 2 2,"[[0.0, 0.0, 0.5092454552650452, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07672107964754105, 0.0, 0.0, 0.0, 0.0, 0.1654929220676422, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10508214682340622, 0.0, 0.0, 0.14345841109752655, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.4693356156349182, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07248837500810623, 0.0, 0.0, 0.0, 0.0, 0.17866824567317963, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10560460388660431, 0.0, 0.0, 0.17390312254428864, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.49957960844039917, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07849430292844772, 0.0, 0.0, 0.0, 0.0, 0.16228172183036804, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09931210428476334, 0.0, 0.0, 0.16033227741718292, 0.0, 0.0, 0.0, 0.0]]"
14,0.0,0,1.0,1,2 2 2,"[[0.0, 0.0, 0.672738254070282, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.061331652104854584, 0.0, 0.0, 0.0, 0.0, 0.0964767262339592, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06494097411632538, 0.0, 0.0, 0.10451238602399826, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.6281589269638062, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05967153608798981, 0.0, 0.0, 0.0, 0.0, 0.11012870818376541, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06945135444402695, 0.0, 0.0, 0.1325894296169281, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.6613757610321045, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06347566097974777, 0.0, 0.0, 0.0, 0.0, 0.09645450860261917, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06251323223114014, 0.0, 0.0, 0.11618080735206604, 0.0, 0.0, 0.0, 0.0]]"
15,0.0,0,1.0,1,2 2 2,"[[0.0, 0.0, 0.7584583163261414, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06210821866989136, 0.0, 0.0, 0.0, 0.0, 0.059445157647132874, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04540150985121727, 0.0, 0.0, 0.07458685338497162, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.7176849246025085, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05975738912820816, 0.0, 0.0, 0.0, 0.0, 0.07157297432422638, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.051420584321022034, 0.0, 0.0, 0.09956411272287369, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.748397171497345, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06433495134115219, 0.0, 0.0, 0.0, 0.0, 0.0600762702524662, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.044506099075078964, 0.0, 0.0, 0.08268554508686066, 0.0, 0.0, 0.0, 0.0]]"
16,0.0,0,1.0,1,2 2 2,"[[0.0, 0.0, 0.7787724137306213, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.072651706635952, 0.0, 0.0, 0.0, 0.0, 0.05130743607878685, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03877308964729309, 0.0, 0.0, 0.0584954209625721, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.7326046824455261, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06963977962732315, 0.0, 0.0, 0.0, 0.0, 0.06675974279642105, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04696480929851532, 0.0, 0.0, 0.08403095602989197, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.761094868183136, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07722125202417374, 0.0, 0.0, 0.0, 0.0, 0.054933708161115646, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0396595373749733, 0.0, 0.0, 0.06709063053131104, 0.0, 0.0, 0.0, 0.0]]"
17,0.0,0,1.0,1,2 2 2,"[[0.0, 0.0, 0.7791503071784973, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08120107650756836, 0.0, 0.0, 0.0, 0.0, 0.04671702906489372, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.037804704159498215, 0.0, 0.0, 0.05512689799070358, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.7092376947402954, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07930527627468109, 0.0, 0.0, 0.0, 0.0, 0.06830888986587524, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.051949143409729004, 0.0, 0.0, 0.09119894355535507, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.7446594834327698, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08678856492042542, 0.0, 0.0, 0.0, 0.0, 0.05516216903924942, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04257241263985634, 0.0, 0.0, 0.07081740349531174, 0.0, 0.0, 0.0, 0.0]]"
18,0.0,0,1.0,1,2 2 2,"[[0.0, 0.0, 0.8109173774719238, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0683077946305275, 0.0, 0.0, 0.0, 0.0, 0.03434265777468681, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.032406680285930634, 0.0, 0.0, 0.05402548983693123, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.7117684483528137, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0722411647439003, 0.0, 0.0, 0.0, 0.0, 0.05908560752868652, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.051633406430482864, 0.0, 0.0, 0.10527142137289047, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.757818877696991, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07469721883535385, 0.0, 0.0, 0.0, 0.0, 0.04565213993191719, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.040911801159381866, 0.0, 0.0, 0.08091992884874344, 0.0, 0.0, 0.0, 0.0]]"
19,0.0,0,1.0,1,2 2 2,"[[0.0, 0.0, 0.8517380356788635, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.052072204649448395, 0.0, 0.0, 0.0, 0.0, 0.0215692687779665, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02724902518093586, 0.0, 0.0, 0.04737144708633423, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.7730764746665955, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05727361515164375, 0.0, 0.0, 0.0, 0.0, 0.03661477938294411, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.041317641735076904, 0.0, 0.0, 0.09171748161315918, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.7963885068893433, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.057208649814128876, 0.0, 0.0, 0.0, 0.0, 0.030497021973133087, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03608196973800659, 0.0, 0.0, 0.07982385158538818, 0.0, 0.0, 0.0, 0.0]]"
20,0.0,0,1.0,1,2 2 2,"[[0.0, 0.0, 0.8596495985984802, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.045432738959789276, 0.0, 0.0, 0.0, 0.0, 0.02100122906267643, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.027868807315826416, 0.0, 0.0, 0.04604760557413101, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.7948077321052551, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.048161547631025314, 0.0, 0.0, 0.0, 0.0, 0.03242135047912598, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03847402334213257, 0.0, 0.0, 0.0861353948712349, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.7567594647407532, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05016079545021057, 0.0, 0.0, 0.0, 0.0, 0.0371033139526844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.045141953974962234, 0.0, 0.0, 0.1108345240354538, 0.0, 0.0, 0.0, 0.0]]"
