system,seed,epoch,train_mean_u_ctrl,validation_mean_u_ctrl,validation_safety,best_validation_mean_u_ctrl,policy_entropy,entropy_t1,entropy_t2,entropy_t3,entropy_coefficient,gradient_norm,gradient_norm_max,policy_gradient_norm,policy_gradient_norm_max,clipping_events,advantage_mean,advantage_std,unique_sequences,dominant_sequence,dominant_sequence_fraction,terminal_cost_unique_count,terminal_cost_modal_fraction,terminal_cost_tied_fraction,potential_telescope_max_error,loss
ieee5,303,0,0.8769230769230771,0.9333333333333335,1.0,0.9333333333333335,3.364581823348999,3.3998236656188965,3.3645052909851074,3.3294172286987305,0.01,0.09173388406634331,0.1782073974609375,0.09173388406634331,0.1782073974609375,0,3.4387295062725362e-09,0.10853038524049745,52,23 10 26,0.019230769230769232,3.2857142857142856,0.5178571428571429,0.8035714285714286,0.0,-0.101677163371018
ieee5,303,1,0.8615384615384615,,,0.9333333333333335,3.3640406131744385,3.399813175201416,3.3636908531188965,3.328617572784424,0.00997995991983968,0.08796229931093487,0.13805946707725525,0.08796230037530352,0.13805946707725525,0,1.6047404362605168e-08,0.12916148996855548,52,9 0 27,0.019230769230769232,3.7142857142857144,0.48214285714285715,0.8392857142857143,0.0,-0.09720686397382192
ieee5,303,2,0.8711538461538461,,,0.9333333333333335,3.363997220993042,3.399810791015625,3.3636364936828613,3.3285446166992188,0.009959919839679358,0.09354388607399804,0.13262391090393066,0.09354388767055102,0.13262391090393066,0,-1.146243168757512e-09,0.12624380721242892,52,22 2 13,0.019230769230769232,3.5714285714285716,0.42857142857142855,0.8035714285714286,0.0,-0.09950768947601318
ieee5,303,3,0.8557692307692307,,,0.9333333333333335,3.364018440246582,3.399803638458252,3.3636667728424072,3.328585147857666,0.009939879759519038,0.10274545050093106,0.1728769689798355,0.10274545050093106,0.1728769689798355,0,-1.146243168757512e-09,0.12069509772496895,52,12 5 15,0.019230769230769232,4.0,0.375,0.6964285714285714,0.0,-0.09994439887148994
ieee5,303,4,0.8903846153846153,,,0.9333333333333335,3.3638336658477783,3.3998007774353027,3.363391876220703,3.328308343887329,0.009919839679358718,0.087389239775283,0.16984358429908752,0.08738924083965165,0.16984359920024872,0,-1.0316188518817608e-08,0.1052697962711992,52,14 15 5,0.019230769230769232,3.2857142857142856,0.4642857142857143,0.8214285714285714,0.0,-0.10076361575296947
ieee5,303,5,0.8807692307692309,0.9083333333333332,1.0,0.9083333333333332,3.3636012077331543,3.399791955947876,3.3630573749542236,3.3279545307159424,0.009899799599198397,0.08713676407933235,0.13111847639083862,0.08713676195059504,0.13111847639083862,0,-1.146243168757512e-09,0.10730527495814407,52,3 24 23,0.019230769230769232,3.7142857142857144,0.42857142857142855,0.7857142857142857,0.0,-0.09637130796909332
ieee5,303,6,0.8615384615384616,,,0.9083333333333332,3.363436460494995,3.399791955947876,3.3627772331237793,3.32774019241333,0.009879759519038077,0.10943805532796043,0.21215814352035522,0.10943805852106639,0.21215815842151642,0,5.7312158437875604e-09,0.11929278157090106,52,12 14 24,0.019230769230769232,3.7142857142857144,0.4107142857142857,0.8035714285714286,0.0,-0.1035270169377327
ieee5,303,7,0.8634615384615384,,,0.9083333333333332,3.362807035446167,3.3997883796691895,3.3618764877319336,3.326756477355957,0.009859719438877755,0.08987690934113093,0.16430751979351044,0.08987690827676229,0.16430751979351044,0,-1.0316188518817608e-08,0.11705520890024668,52,12 16 26,0.019230769230769232,3.4285714285714284,0.5357142857142857,0.7857142857142857,0.0,-0.10026836714574269
ieee5,303,8,0.8442307692307692,,,0.9083333333333332,3.3620691299438477,3.399787425994873,3.360684633255005,3.325735569000244,0.009839679358717435,0.11664100896034922,0.17561563849449158,0.11664101002471787,0.17561565339565277,0,-5.7312158437875604e-09,0.13876168577795717,52,4 2 7,0.019230769230769232,3.857142857142857,0.39285714285714285,0.8214285714285714,0.0,-0.09616232024771827
ieee5,303,9,0.8346153846153844,,,0.9083333333333332,3.3621184825897217,3.399783134460449,3.360764980316162,3.3258070945739746,0.009819639278557115,0.1020486695425851,0.1201661005616188,0.1020486695425851,0.1201661005616188,0,-3.4387295062725362e-09,0.127475476195348,52,7 9 20,0.019230769230769232,4.285714285714286,0.4107142857142857,0.6607142857142857,0.0,-0.09795452547924859
ieee5,303,10,0.8730769230769232,0.8750000000000001,1.0,0.8750000000000001,3.3616950511932373,3.399784564971924,3.360185146331787,3.325115442276001,0.009799599198396793,0.09906213624136788,0.1496153473854065,0.09906213517699923,0.1496153473854065,0,-2.292486337515024e-09,0.11393317414386113,52,12 6 27,0.019230769230769232,4.0,0.42857142857142855,0.7321428571428571,0.0,-0.10019320143120629
ieee5,303,11,0.8499999999999999,,,0.8750000000000001,3.3607470989227295,3.399775266647339,3.358867883682251,3.323596954345703,0.009779559118236473,0.09032617509365082,0.1307538002729416,0.09032617935112544,0.1307538002729416,0,-6.8774590125450725e-09,0.10864107389076796,51,27 18 12,0.038461538461538464,3.857142857142857,0.5,0.7142857142857143,0.0,-0.09841746517590114
