update,environment,trajectories_per_batch,transitions,cumulative_trajectories,advantage_mean,advantage_std,value_loss,policy_loss,entropy,approximate_kl,clip_fraction,actor_gradient_norm,value_gradient_norm,mean_training_terminal_cost,entropy_t1,entropy_t2,entropy_t3,validation_mean_u_ctrl,validation_std_u_ctrl,validation_median_u_ctrl,validation_q10_u_ctrl,validation_q90_u_ctrl,validation_safety,validation_dominant_sequence,validation_dominant_sequence_fraction,validation_unique_sequences,validation_sequence_entropy,validation_entropy_t1,validation_entropy_t2,validation_entropy_t3,validation_unique_sequence_count,validation_xi2_action_variation_across_y1_bins,validation_xi3_action_variation_across_y1_y2_bins,validation_mi_y1_xi2,validation_mi_y1y2_xi3,validation_observation_action_mutual_information,validation_classification,validation_n_bins,validation_deterministic_policy_evaluation,best_validation_so_far
1,ieee5_full,12,36,12,-0.8664752868635373,0.14634875998817498,0.03117302991449833,-0.12212787568569183,3.356797456741333,0.03552045300602913,0.3333333432674408,0.4058367609977722,0.9250882863998413,0.9166666666666666,3.392353057861328,3.3512723445892334,3.3206679821014404,0.875,0.11636866703140784,0.8500000000000001,0.71,1.0,1.0,"[4, 29, 20]",0.8333333333333334,3,0.5660857389596289,3.392411947250366,3.3509063124656677,3.321503221988678,3,1,2,0.13230412471889827,0.28683598305616054,0.41914010777505883,observation-dependent adaptive,5,True,0.875
2,ieee5_full,12,36,24,0.1491251523842414,0.10363946500707708,0.0061392150819301605,-0.10735294222831726,3.348710060119629,0.034498658031225204,0.2777777910232544,0.696746289730072,0.2604582607746124,0.8583333333333334,3.3800137042999268,3.346188545227051,3.3124961853027344,,,,,,,,,,,,,,,,,,,,,,,
3,ieee5_full,12,36,36,-0.009819557837314093,0.13215195280653017,0.008701144717633724,-0.08720919489860535,3.3373825550079346,-0.002587192691862583,0.0833333358168602,0.7361751794815063,0.15586481988430023,0.8500000000000001,3.3636882305145264,3.3381435871124268,3.3040611743927,,,,,,,,,,,,,,,,,,,,,,,
4,ieee5_full,12,36,48,0.017791489024957023,0.15271248784846522,0.011664504185318947,-0.08259502798318863,3.3297629356384277,-0.0033015741501003504,0.0555555559694767,0.9194966554641724,0.17587804794311523,0.8416666666666668,3.3486979007720947,3.3314285278320312,3.30332350730896,,,,,,,,,,,,,,,,,,,,,,,
5,ieee5_full,12,36,60,-0.043721216306090355,0.14154369340422546,0.010298576205968857,-0.09331586211919785,3.3176608085632324,0.019518626853823662,0.1388888955116272,0.8255172371864319,0.18029923737049103,0.8666666666666668,3.3293650150299072,3.3222343921661377,3.289114236831665,,,,,,,,,,,,,,,,,,,,,,,
6,ieee5_full,12,36,72,0.07015914104713333,0.1426597744148737,0.010512416251003742,-0.061787739396095276,3.2980258464813232,-0.009831766597926617,0.0,0.895565390586853,0.18307147920131683,0.8250000000000001,3.3186490535736084,3.3024942874908447,3.270331382751465,,,,,,,,,,,,,,,,,,,,,,,
7,ieee5_full,12,36,84,-0.16068027914812166,0.07250362202433956,0.005696848966181278,-0.06314782798290253,3.3000001907348633,-0.011444376781582832,0.02777777798473835,0.8619700074195862,0.29954832792282104,0.9583333333333334,3.3197314739227295,3.3096208572387695,3.274963140487671,,,,,,,,,,,,,,,,,,,,,,,
8,ieee5_full,12,36,96,0.19815288780298498,0.13167548241856752,0.009935257956385612,-0.06387575715780258,3.3023874759674072,-0.003843969665467739,0.0555555559694767,0.9979116916656494,0.18853893876075745,0.8250000000000001,3.3119304180145264,3.3128726482391357,3.2770473957061768,,,,,,,,,,,,,,,,,,,,,,,
9,ieee5_full,12,36,108,-0.0774576544356015,0.1421394174272845,0.008943779394030571,-0.05632193759083748,3.288456916809082,0.01394137367606163,0.02777777798473835,0.8954599499702454,0.13803209364414215,0.8083333333333332,3.2977449893951416,3.295670747756958,3.26322865486145,,,,,,,,,,,,,,,,,,,,,,,
10,ieee5_full,12,36,120,-0.023453876863751145,0.11287794075681855,0.009032607078552246,-0.05069383978843689,3.275747060775757,0.010503377765417099,0.0,0.9048737287521362,0.20296993851661682,0.8166666666666665,3.282013177871704,3.278709650039673,3.2584517002105713,0.8833333333333334,0.09860132971832693,0.9,0.8,1.0,1.0,"[11, 0, 3]",0.5,2,0.6931471805599453,3.2823991775512695,3.3102455735206604,3.286229193210602,2,1,2,0.0,0.5776226504666211,0.5776226504666211,observation-dependent adaptive,5,True,0.875
