split,rollout_id,theta_id,sequence,u_ctrl,u_path,rewards
confirmation,0,0,47 37 48,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,1,1,47 37 48,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,2,2,47 37 51,1.04,1.040000 1.040000 1.040000 1.040000,0.000000 0.000000 0.000000
confirmation,3,3,47 37 51,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,4,4,47 37 48,1.2,1.040000 0.960000 0.960000 1.200000,0.080000 0.000000 -0.240000
confirmation,5,5,47 37 48,0.96,1.040000 1.040000 0.960000 0.960000,0.000000 0.080000 0.000000
confirmation,6,6,47 37 51,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,7,7,47 37 48,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,8,8,47 37 48,0.96,1.040000 1.200000 0.960000 0.960000,-0.160000 0.240000 0.000000
confirmation,9,9,47 37 48,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,10,10,47 37 51,0.96,1.040000 1.120000 0.960000 0.960000,-0.080000 0.160000 0.000000
confirmation,11,11,47 37 48,0.96,1.040000 1.120000 0.960000 0.960000,-0.080000 0.160000 0.000000
confirmation,12,12,47 37 51,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,13,13,47 37 48,0.96,1.040000 1.120000 1.040000 0.960000,-0.080000 0.080000 0.080000
confirmation,14,14,47 37 51,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,15,15,47 37 48,0.96,1.040000 1.040000 0.960000 0.960000,0.000000 0.080000 0.000000
confirmation,16,16,47 37 48,0.96,1.040000 0.960000 1.040000 0.960000,0.080000 -0.080000 0.080000
confirmation,17,17,47 37 51,0.96,1.040000 1.040000 0.960000 0.960000,0.000000 0.080000 0.000000
confirmation,18,18,47 37 48,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,19,19,47 37 48,0.96,1.040000 1.120000 0.960000 0.960000,-0.080000 0.160000 0.000000
confirmation,20,20,47 37 48,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,21,21,47 37 48,0.96,1.040000 1.200000 1.200000 0.960000,-0.160000 0.000000 0.240000
confirmation,22,22,47 37 51,1.2,1.040000 1.200000 1.200000 1.200000,-0.160000 0.000000 0.000000
confirmation,23,23,47 37 48,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,24,24,47 37 51,1.2,1.040000 1.200000 0.960000 1.200000,-0.160000 0.240000 -0.240000
confirmation,25,25,47 37 51,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,26,26,47 37 48,0.96,1.040000 1.200000 1.200000 0.960000,-0.160000 0.000000 0.240000
confirmation,27,27,47 37 51,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,28,28,47 37 48,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,29,29,47 37 51,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,30,30,47 37 48,0.96,1.040000 0.960000 1.120000 0.960000,0.080000 -0.160000 0.160000
confirmation,31,31,47 37 51,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,32,0,47 37 48,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,33,1,47 37 48,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,34,2,47 37 51,1.04,1.040000 1.040000 1.040000 1.040000,0.000000 0.000000 0.000000
confirmation,35,3,47 37 51,0.96,1.040000 0.960000 0.960000 0.960000,0.080000 0.000000 0.000000
confirmation,36,4,47 37 48,1.2,1.040000 0.960000 1.120000 1.200000,0.080000 -0.160000 -0.080000
confirmation,37,5,47 37 48,0.96,1.040000 1.200000 0.960000 0.960000,-0.160000 0.240000 0.000000
confirmation,38,6,47 37 51,0.96,1.040000 1.040000 0.960000 0.960000,0.000000 0.080000 0.000000
