method,theta_test_id,rollout_id,sequence,y_obs,u_ctrl,u_req_true,excess_control,safe_total,runtime_s,exact_tie_count,near_tie_count,average_co_tied_actions
advanced_random_init_dad,0,0,"[24, 11, 48]","[0.9865728539851891, 2.8276299251544783, 4.154974746006673]",0.976,0.0,0.976,True,0.004374565184116363,0,0,nan
advanced_random_init_dad,1,1,"[24, 11, 48]","[1.310646385634389, 1.6747865387866, 7.379623710742048]",0.96,0.0,0.96,True,0.003649386204779148,0,0,nan
advanced_random_init_dad,2,2,"[24, 11, 48]","[0.7154258289223546, 1.1999821638662702, 7.523078193389826]",0.976,0.0,0.976,True,0.003538319608196616,0,0,nan
advanced_random_init_dad,3,3,"[24, 11, 48]","[0.8599627585558088, 0.9361830873575486, 6.156266940438208]",0.96,0.0,0.96,True,0.004394537210464478,0,0,nan
advanced_random_init_dad,4,4,"[24, 11, 48]","[1.153023787591091, 1.7419804896517948, 11.948687382091675]",1.008,0.32,0.688,True,0.004154385440051556,0,0,nan
advanced_random_init_dad,5,5,"[24, 11, 48]","[0.9817005100904937, 1.2874703543191395, 8.22330832497198]",0.96,0.0,0.96,True,0.0035414650570601224,0,0,nan
advanced_random_init_dad,6,6,"[24, 11, 48]","[1.3388321589496288, 1.0983392131940257, 4.308898352004777]",0.96,0.0,0.96,True,0.003518754197284579,0,0,nan
advanced_random_init_dad,7,7,"[24, 11, 48]","[0.6814125485365449, 2.3027160539449274, 6.784533884370722]",0.96,0.0,0.96,True,0.0033381061628460886,0,0,nan
advanced_random_init_dad,8,8,"[24, 11, 48]","[0.7954787980305923, 1.368566341722654, 5.442768071300973]",0.992,0.0,0.992,True,0.0033386994153261186,0,0,nan
advanced_random_init_dad,9,9,"[24, 11, 48]","[1.6286062589513508, 2.2675792077286254, 4.562131129287186]",1.008,0.0,1.008,True,0.0036974703893065453,0,0,nan
advanced_random_init_dad,10,10,"[24, 11, 48]","[1.868901219072231, 1.792242151199491, 6.276678372990249]",1.088,0.0,1.088,True,0.004132695170119405,0,0,nan
advanced_random_init_dad,11,11,"[24, 11, 48]","[1.41734426468622, 1.7207674685115286, 4.401745163380823]",0.96,0.0,0.96,True,0.004130197409540415,0,0,nan
advanced_random_init_dad,12,12,"[24, 11, 48]","[0.9639471969236008, 2.305772307777268, 6.878124101077577]",0.96,0.0,0.96,True,0.004135880013927817,0,0,nan
advanced_random_init_dad,13,13,"[24, 11, 48]","[1.2279496606198834, 1.7436433102149842, 6.434981498640075]",1.008,0.0,1.008,True,0.004065221548080445,0,0,nan
advanced_random_init_dad,14,14,"[24, 11, 48]","[0.6627261690538384, 2.0771238998937562, 8.475046836463934]",0.976,0.0,0.976,True,0.00404403218999505,0,0,nan
advanced_random_init_dad,15,15,"[24, 11, 48]","[1.2766410621586881, 1.0274030501907354, 4.763543727227295]",0.96,0.0,0.96,True,0.004794471804052592,0,0,nan
advanced_random_init_dad,16,16,"[24, 11, 48]","[0.8385256654887123, 1.9631665130284064, 4.891420828219641]",1.008,0.0,1.008,True,0.004087519971653819,0,0,nan
advanced_random_init_dad,17,17,"[24, 11, 48]","[0.9061201914833067, 1.1941586574651961, 6.253582359903193]",1.008,0.0,1.008,True,0.006811716826632619,0,0,nan
advanced_random_init_dad,18,18,"[24, 11, 48]","[1.5010873370892126, 1.6073849870320318, 8.024932390983707]",0.96,0.0,0.96,True,0.006523110950365662,0,0,nan
advanced_random_init_dad,19,19,"[24, 11, 48]","[1.1130349835583655, 1.886303697464282, 8.360383755080443]",0.976,0.0,0.976,True,0.004198754765093326,0,0,nan
