update,mean_kl_from_pre_finetune,selected_action_changes,branch_survival_rate,unique_selected_actions,selected_actions,policy_distributions
1,0.0,0,1.0,1,36 36 36,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14075717329978943, 0.0, 0.0, 0.16051553189754486, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12369905412197113, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1617754101753235, 0.0, 0.2509375810623169, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16231529414653778, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1434672772884369, 0.0, 0.0, 0.16186243295669556, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12523405253887177, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1622506082057953, 0.0, 0.24812141060829163, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1590641587972641, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14552825689315796, 0.0, 0.0, 0.15405766665935516, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12786133587360382, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16133251786231995, 0.0, 0.24833737313747406, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1628829389810562, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
2,0.0,0,1.0,1,36 36 36,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1712408810853958, 0.0, 0.0, 0.11725908517837524, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10027436167001724, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13119788467884064, 0.0, 0.3167998790740967, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1632279008626938, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17976051568984985, 0.0, 0.0, 0.11778280138969421, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10197613388299942, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13079316914081573, 0.0, 0.31016072630882263, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15952657163143158, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17849721014499664, 0.0, 0.0, 0.11103468388319016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10469808429479599, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13115087151527405, 0.0, 0.311107337474823, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16351181268692017, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
3,0.0,0,1.0,1,36 36 36,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17282240092754364, 0.0, 0.0, 0.10173161327838898, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08649080246686935, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10735106468200684, 0.0, 0.36169788241386414, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16990624368190765, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18468627333641052, 0.0, 0.0, 0.10161016881465912, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08883169293403625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10596345365047455, 0.0, 0.3527336120605469, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16617469489574432, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1804957091808319, 0.0, 0.0, 0.09625590592622757, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09075519442558289, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1071072518825531, 0.0, 0.35581666231155396, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1695692539215088, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
4,0.0,0,1.0,1,36 36 36,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17360657453536987, 0.0, 0.0, 0.09207749366760254, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10745108127593994, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11047080904245377, 0.0, 0.3435550034046173, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17283906042575836, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18594679236412048, 0.0, 0.0, 0.0919242724776268, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1137489601969719, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10935723036527634, 0.0, 0.3325349688529968, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16648776829242706, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1800507754087448, 0.0, 0.0, 0.08792099356651306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11560174077749252, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11153145879507065, 0.0, 0.33539026975631714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16950483620166779, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
5,0.0,0,1.0,1,36 36 36,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1619960516691208, 0.0, 0.0, 0.08146116137504578, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1269124150276184, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12177088856697083, 0.0, 0.3552423417568207, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15261712670326233, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17273299396038055, 0.0, 0.0, 0.08131758868694305, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13819563388824463, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1206551194190979, 0.0, 0.34316813945770264, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14393052458763123, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1667620837688446, 0.0, 0.0, 0.07828950881958008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13924279808998108, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1230999231338501, 0.0, 0.34584054350852966, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14676515758037567, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
6,0.0,0,1.0,1,36 36 36,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1359994113445282, 0.0, 0.0, 0.0687451958656311, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14451055228710175, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10963741689920425, 0.0, 0.4010826647281647, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14002473652362823, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14599977433681488, 0.0, 0.0, 0.06946992129087448, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16009703278541565, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10891017317771912, 0.0, 0.3846554756164551, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13086773455142975, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14018860459327698, 0.0, 0.0, 0.0669219046831131, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1595035344362259, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11106980592012405, 0.0, 0.3882942497730255, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13402186334133148, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
7,0.0,0,1.0,1,36 36 36,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10863808542490005, 0.0, 0.0, 0.05434948578476906, 0.0, 0.0, 0.0, 0.0, 0.0, 0.145298570394516, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08879365772008896, 0.0, 0.47466692328453064, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12825338542461395, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1184333860874176, 0.0, 0.0, 0.0558130256831646, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1634497046470642, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08885607123374939, 0.0, 0.45309001207351685, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12035774439573288, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1129826232790947, 0.0, 0.0, 0.05347820371389389, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15997518599033356, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0902312621474266, 0.0, 0.45977672934532166, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12355595827102661, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
8,0.0,0,1.0,1,36 36 36,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09072619676589966, 0.0, 0.0, 0.04114760458469391, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12248343229293823, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06688377261161804, 0.0, 0.5737215876579285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10503742098808289, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09903350472450256, 0.0, 0.0, 0.04217536002397537, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13792377710342407, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06644407659769058, 0.0, 0.5543981194496155, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10002517700195312, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09410355240106583, 0.0, 0.0, 0.040297940373420715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1334000676870346, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06729383766651154, 0.0, 0.5626612305641174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1022433191537857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
9,0.0,0,1.0,1,36 36 36,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07944539189338684, 0.0, 0.0, 0.03223089128732681, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10479386895895004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0537353977560997, 0.0, 0.6362990736961365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09349538385868073, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08522772043943405, 0.0, 0.0, 0.032352250069379807, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11553551256656647, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05304425209760666, 0.0, 0.6242550015449524, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08958522230386734, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0812380388379097, 0.0, 0.0, 0.031071949750185013, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11187765747308731, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05364137515425682, 0.0, 0.6308931708335876, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0912778452038765, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
10,0.0,0,1.0,1,36 36 36,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07052940130233765, 0.0, 0.0, 0.025901399552822113, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09886188805103302, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04453611746430397, 0.0, 0.6756676435470581, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08450350910425186, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07418976724147797, 0.0, 0.0, 0.02567262388765812, 0.0, 0.0, 0.0, 0.0, 0.0, 0.106360524892807, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04384777694940567, 0.0, 0.6689245104789734, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08100482821464539, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0714297741651535, 0.0, 0.0, 0.024822603911161423, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10389178991317749, 0.0, 0.0, 0.0, 0.0, 0.0, 0.044426511973142624, 0.0, 0.6730243563652039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0824049711227417, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]"
