update,environment,trajectories_per_batch,transitions,cumulative_trajectories,advantage_mean,advantage_std,value_loss,policy_loss,entropy,approximate_kl,clip_fraction,actor_gradient_norm,value_gradient_norm,mean_training_terminal_cost,entropy_t1,entropy_t2,branch_mean_kl_from_pre_finetune,branch_selected_action_changes,branch_branch_survival_rate,branch_unique_selected_actions,branch_selected_actions,branch_policy_distributions,validation_mean_u_ctrl,validation_std_u_ctrl,validation_median_u_ctrl,validation_q10_u_ctrl,validation_q90_u_ctrl,validation_safety,validation_dominant_sequence,validation_dominant_sequence_fraction,validation_unique_sequences,validation_sequence_entropy,validation_entropy_t1,validation_entropy_t2,validation_entropy_t3,validation_unique_sequence_count,validation_xi2_action_variation_across_y1_bins,validation_xi3_action_variation_across_y1_y2_bins,validation_mi_y1_xi2,validation_mi_y1y2_xi3,validation_observation_action_mutual_information,validation_classification,validation_n_bins,validation_deterministic_policy_evaluation,best_validation_so_far,entropy_t3
1,C0,48,96,48,-1.2223831887219723,0.1009637732629454,0.01918490044772625,-0.06705214828252792,1.8551808595657349,0.024348532781004906,0.34375,0.19551913440227509,0.7976465821266174,1.11,1.9387120008468628,1.760938048362732,0.0,0,1.0,1,36 36 36,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14075717329978943, 0.0, 0.0, 0.16051553189754486, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12369905412197113, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1617754101753235, 0.0, 0.2509375810623169, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16231529414653778, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1434672772884369, 0.0, 0.0, 0.16186243295669556, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12523405253887177, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1622506082057953, 0.0, 0.24812141060829163, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1590641587972641, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14552825689315796, 0.0, 0.0, 0.15405766665935516, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12786133587360382, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16133251786231995, 0.0, 0.24833737313747406, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1628829389810562, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1.0033333333333332,0.07993052538854535,0.96,0.96,1.12,1.0,"[21, 13, 0]",0.4583333333333333,5,1.375343335621426,3.9816017150878906,3.9600596924622855,3.9436725676059723,5,2,5,0.2202581930685369,1.122492269444588,1.3427504625131248,observation-dependent adaptive,5,True,1.0033333333333332,
2,C0,48,96,96,0.23788986689050992,0.09783460333834626,0.014604034833610058,-0.04412855580449104,1.825210690498352,0.010724402964115143,0.1875,0.38897958397865295,0.5554246306419373,1.095,1.9066184759140015,1.7341943979263306,0.0,0,1.0,1,36 36 36,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1712408810853958, 0.0, 0.0, 0.11725908517837524, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10027436167001724, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13119788467884064, 0.0, 0.3167998790740967, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1632279008626938, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17976051568984985, 0.0, 0.0, 0.11778280138969421, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10197613388299942, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13079316914081573, 0.0, 0.31016072630882263, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15952657163143158, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17849721014499664, 0.0, 0.0, 0.11103468388319016, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10469808429479599, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13115087151527405, 0.0, 0.311107337474823, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16351181268692017, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",,,,,,,,,,,,,,,,,,,,,,,,
3,C0,48,96,144,-0.07190001825292903,0.10474137997805293,0.008999315090477467,-0.03608715161681175,1.815513253211975,-0.007330454885959625,0.0833333358168602,0.39360785484313965,0.31696033477783203,1.0783333333333334,1.9045928716659546,1.723434329032898,0.0,0,1.0,1,36 36 36,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17282240092754364, 0.0, 0.0, 0.10173161327838898, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08649080246686935, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10735106468200684, 0.0, 0.36169788241386414, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16990624368190765, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18468627333641052, 0.0, 0.0, 0.10161016881465912, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08883169293403625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10596345365047455, 0.0, 0.3527336120605469, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16617469489574432, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1804957091808319, 0.0, 0.0, 0.09625590592622757, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09075519442558289, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1071072518825531, 0.0, 0.35581666231155396, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1695692539215088, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",,,,,,,,,,,,,,,,,,,,,,,,
4,C0,48,96,192,0.05170350304146609,0.10605521366971915,0.006883380934596062,-0.059229787439107895,1.8158208131790161,-0.0062262252904474735,0.0625,0.5867898464202881,0.20936600863933563,1.0816666666666668,1.913038730621338,1.7160849571228027,0.0,0,1.0,1,36 36 36,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17360657453536987, 0.0, 0.0, 0.09207749366760254, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10745108127593994, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11047080904245377, 0.0, 0.3435550034046173, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17283906042575836, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18594679236412048, 0.0, 0.0, 0.0919242724776268, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1137489601969719, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10935723036527634, 0.0, 0.3325349688529968, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16648776829242706, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1800507754087448, 0.0, 0.0, 0.08792099356651306, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11560174077749252, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11153145879507065, 0.0, 0.33539026975631714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16950483620166779, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",,,,,,,,,,,,,,,,,,,,,,,,
5,C0,48,96,240,-0.06305725348393121,0.10120231627789975,0.005110938102006912,-0.023252084851264954,1.8063373565673828,0.01088707521557808,0.0,0.5585210919380188,0.15261200070381165,1.1016666666666668,1.907658576965332,1.6978968381881714,0.0,0,1.0,1,36 36 36,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1619960516691208, 0.0, 0.0, 0.08146116137504578, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1269124150276184, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12177088856697083, 0.0, 0.3552423417568207, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15261712670326233, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17273299396038055, 0.0, 0.0, 0.08131758868694305, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13819563388824463, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1206551194190979, 0.0, 0.34316813945770264, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14393052458763123, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1667620837688446, 0.0, 0.0, 0.07828950881958008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13924279808998108, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1230999231338501, 0.0, 0.34584054350852966, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14676515758037567, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",,,,,,,,,,,,,,,,,,,,,,,,
6,C0,48,96,288,0.020257008329033866,0.0834512922165555,0.0037415192928165197,-0.020832061767578125,1.7762783765792847,0.007650094106793404,0.02083333395421505,0.49320268630981445,0.036747582256793976,1.1333333333333335,1.887143611907959,1.651763916015625,0.0,0,1.0,1,36 36 36,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1359994113445282, 0.0, 0.0, 0.0687451958656311, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14451055228710175, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10963741689920425, 0.0, 0.4010826647281647, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14002473652362823, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14599977433681488, 0.0, 0.0, 0.06946992129087448, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16009703278541565, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10891017317771912, 0.0, 0.3846554756164551, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13086773455142975, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14018860459327698, 0.0, 0.0, 0.0669219046831131, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1595035344362259, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11106980592012405, 0.0, 0.3882942497730255, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13402186334133148, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",,,,,,,,,,,,,,,,,,,,,,,,
7,C0,48,96,336,-0.0012338458230097956,0.0853312006625199,0.0034335439559072256,-0.03544510528445244,1.726667046546936,0.004465864505618811,0.1041666641831398,0.36673876643180847,0.043966785073280334,1.12,1.8491411209106445,1.575792670249939,0.0,0,1.0,1,36 36 36,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10863808542490005, 0.0, 0.0, 0.05434948578476906, 0.0, 0.0, 0.0, 0.0, 0.0, 0.145298570394516, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08879365772008896, 0.0, 0.47466692328453064, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12825338542461395, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1184333860874176, 0.0, 0.0, 0.0558130256831646, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1634497046470642, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08885607123374939, 0.0, 0.45309001207351685, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12035774439573288, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1129826232790947, 0.0, 0.0, 0.05347820371389389, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15997518599033356, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0902312621474266, 0.0, 0.45977672934532166, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12355595827102661, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",,,,,,,,,,,,,,,,,,,,,,,,
8,C0,48,96,384,0.024420922929048555,0.09164230959009609,0.004110685549676418,-0.032497573643922806,1.6505390405654907,0.013313624076545238,0.2708333432674408,0.39779728651046753,0.04065185412764549,1.0816666666666668,1.794663429260254,1.4725261926651,0.0,0,1.0,1,36 36 36,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09072619676589966, 0.0, 0.0, 0.04114760458469391, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12248343229293823, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06688377261161804, 0.0, 0.5737215876579285, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10503742098808289, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09903350472450256, 0.0, 0.0, 0.04217536002397537, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13792377710342407, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06644407659769058, 0.0, 0.5543981194496155, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10002517700195312, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09410355240106583, 0.0, 0.0, 0.040297940373420715, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1334000676870346, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06729383766651154, 0.0, 0.5626612305641174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1022433191537857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",,,,,,,,,,,,,,,,,,,,,,,,
9,C0,48,96,432,-0.021764167279998452,0.08844527998080136,0.003952722996473312,-0.025739841163158417,1.6072192192077637,-0.012066916562616825,0.03125,0.41246363520622253,0.024591565132141113,1.0983333333333334,1.7790193557739258,1.417476773262024,0.0,0,1.0,1,36 36 36,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07944539189338684, 0.0, 0.0, 0.03223089128732681, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10479386895895004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0537353977560997, 0.0, 0.6362990736961365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09349538385868073, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08522772043943405, 0.0, 0.0, 0.032352250069379807, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11553551256656647, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05304425209760666, 0.0, 0.6242550015449524, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08958522230386734, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0812380388379097, 0.0, 0.0, 0.031071949750185013, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11187765747308731, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05364137515425682, 0.0, 0.6308931708335876, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0912778452038765, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",,,,,,,,,,,,,,,,,,,,,,,,
10,C0,48,96,480,0.012977040762702634,0.08963770656420436,0.003979657310992479,-0.02736870013177395,1.5065432786941528,0.014631576836109161,0.09375,0.28399574756622314,0.0039175720885396,1.0916666666666668,1.741800308227539,1.236007809638977,0.0,0,1.0,1,36 36 36,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07052940130233765, 0.0, 0.0, 0.025901399552822113, 0.0, 0.0, 0.0, 0.0, 0.0, 0.09886188805103302, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04453611746430397, 0.0, 0.6756676435470581, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08450350910425186, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07418976724147797, 0.0, 0.0, 0.02567262388765812, 0.0, 0.0, 0.0, 0.0, 0.0, 0.106360524892807, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04384777694940567, 0.0, 0.6689245104789734, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08100482821464539, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0714297741651535, 0.0, 0.0, 0.024822603911161423, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10389178991317749, 0.0, 0.0, 0.0, 0.0, 0.0, 0.044426511973142624, 0.0, 0.6730243563652039, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0824049711227417, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.9899999999999999,0.06027713773341713,0.96,0.96,1.12,1.0,"[36, 28, 19]",1.0,1,-0.0,3.9455602169036865,3.906519830226898,3.9150768319765725,1,1,1,0.0,0.0,0.0,effectively nonadaptive,5,True,0.9899999999999999,
