epoch,policy_entropy,entropy_coef,kl_coef
0,1.3194115551618428,0.02,0.05
1,1.3674837752030446,0.019310344827586208,0.04666666666666667
2,1.5024202397236457,0.018620689655172412,0.043333333333333335
3,1.526834060366337,0.01793103448275862,0.04000000000000001
4,1.5172948791430547,0.017241379310344827,0.036666666666666674
5,1.462918914281405,0.016551724137931035,0.03333333333333334
6,1.393044725060463,0.015862068965517243,0.03
7,1.4244460314512253,0.015172413793103448,0.02666666666666667
8,1.4508093274556673,0.014482758620689656,0.023333333333333334
9,1.4586396675843458,0.013793103448275864,0.020000000000000004
10,1.6420646470326643,0.01310344827586207,0.01666666666666667
11,1.8600135972866645,0.012413793103448277,0.013333333333333336
12,1.9840584580714886,0.011724137931034485,0.009999999999999998
13,2.3055303406256895,0.01103448275862069,0.006666666666666665
14,2.934833573607298,0.010344827586206895,0.0033333333333333327
15,3.4291213980087867,0.009655172413793102,0.0
16,3.7480991184711456,0.00896551724137931,0.0
17,3.8518602641729207,0.00827586206896552,0.0
18,3.8569898078074822,0.007586206896551724,0.0
19,3.8387814668508677,0.006896551724137932,0.0
20,3.8692035445800195,0.006206896551724137,0.0
21,3.8847202429404626,0.005517241379310345,0.0
22,3.8913394717069774,0.004827586206896553,0.0
23,3.8940892471716952,0.004137931034482758,0.0
24,3.8995023461488576,0.003448275862068966,0.0
25,3.887418581889226,0.0027586206896551735,0.0
26,3.882801149900143,0.002068965517241379,0.0
27,3.877293288707733,0.0013793103448275868,0.0
28,3.858676085105309,0.0006896551724137923,0.0
29,3.8292861191126017,0.0,0.0
