system,comparison,mean_paired_diff,median_paired_diff,std_error,ci95_low,ci95_high,fraction_a_lower,fraction_b_lower,fraction_tied,n,n_bootstrap
ieee5,advanced_dad - previous_improved_dad,-0.006859999999999985,0.0,0.002725283025222806,-0.01225999999999998,-0.0014799999999999857,0.425,0.333,0.242,1000,10000
ieee5,advanced_dad - fixed,-0.0008599999999999702,0.0,0.0047771206056872045,-0.010059999999999973,0.008680000000000026,0.428,0.353,0.219,1000,10000
ieee5,advanced_dad - myopic,-0.015359999999999973,0.0,0.0036041448722630817,-0.02239999999999997,-0.008259999999999969,0.487,0.32,0.193,1000,10000
ieee5,advanced_dad - random,-0.03315999999999998,-0.030000000000000027,0.0037761718543882342,-0.04052049999999998,-0.025739999999999975,0.548,0.271,0.181,1000,10000
ieee9,advanced_dad - previous_improved_dad,0.007280000000000006,0.0,0.000881745470685887,0.005520000000000005,0.009040000000000008,0.162,0.369,0.469,1000,10000
ieee9,advanced_dad - fixed,0.002672000000000011,0.0,0.0017757425707792445,-0.0008803999999999906,0.006128400000000009,0.141,0.418,0.441,1000,10000
ieee9,advanced_dad - myopic,0.017472000000000015,0.0,0.0012102238874926658,0.015072000000000014,0.019808000000000017,0.027,0.477,0.496,1000,10000
ieee9,advanced_dad - random,-0.00036799999999998965,0.0,0.0019568090549866328,-0.0042403999999999905,0.003344400000000007,0.144,0.399,0.457,1000,10000
