system,variant_directory,seed,update,actor_loss,critic_loss,mean_training_terminal_cost,mean_entropy,available_action_fraction_evaluated,mean_u_ctrl,std_u_ctrl,median_u_ctrl,q10_u_ctrl,q90_u_ctrl,safety,dominant_sequence,dominant_sequence_fraction,unique_sequences,sequence_entropy,entropy_t1,entropy_t2,entropy_t3,critic_mae,critic_rmse,critic_spearman,critic_top1_agreement,critic_top5_recall,critic_calibration_by_predicted_cost_bin
ieee9,counterfactual_belief_replay,101,1,0.020757615566253662,0.5704664587974548,1.0066666666666668,3.9624059200286865,1.0,0.9766666666666666,0.05647024782032473,0.96,0.96,0.96,1.0,"[17, 11, 48]",1.0,1,-0.0,3.98411226272583,3.9638657172520957,3.942466596762339,0.5632981657981873,0.5673702955245972,0.012924069805312875,0.0,0.3333333333333333,"[{""bin"": 0, ""count"": 63, ""mean_predicted_cost"": 0.37810218334198, ""mean_realized_cost"": 0.9876189231872559}, {""bin"": 1, ""count"": 63, ""mean_predicted_cost"": 0.4115889072418213, ""mean_realized_cost"": 0.9974602460861206}, {""bin"": 2, ""count"": 63, ""mean_predicted_cost"": 0.4306250214576721, ""mean_realized_cost"": 0.9974602460861206}, {""bin"": 3, ""count"": 63, ""mean_predicted_cost"": 0.44858160614967346, ""mean_realized_cost"": 0.9920634031295776}, {""bin"": 4, ""count"": 63, ""mean_predicted_cost"": 0.4765162169933319, ""mean_realized_cost"": 0.9873014688491821}]"
ieee9,counterfactual_belief_replay,101,10,0.0022705320734530687,0.008732392452657223,0.9933333333333335,3.9537007808685303,1.0,0.9766666666666666,0.05647024782032473,0.96,0.96,0.96,1.0,"[17, 21, 48]",1.0,1,-0.0,3.9823789596557617,3.955340931812922,3.9376922448476157,0.08929222822189331,0.10568290203809738,0.07550008465657743,0.0,0.0,"[{""bin"": 0, ""count"": 64, ""mean_predicted_cost"": 0.8863154649734497, ""mean_realized_cost"": 0.9825000166893005}, {""bin"": 1, ""count"": 63, ""mean_predicted_cost"": 0.9022045731544495, ""mean_realized_cost"": 0.9895237684249878}, {""bin"": 2, ""count"": 63, ""mean_predicted_cost"": 0.912131130695343, ""mean_realized_cost"": 0.9907935857772827}, {""bin"": 3, ""count"": 63, ""mean_predicted_cost"": 0.9211227893829346, ""mean_realized_cost"": 1.0057142972946167}, {""bin"": 4, ""count"": 64, ""mean_predicted_cost"": 0.9358795881271362, ""mean_realized_cost"": 1.0353124141693115}]"
ieee9,counterfactual_belief_replay,101,20,-0.006871137768030167,0.0010744617320597172,0.9933333333333335,3.950828790664673,1.0,0.9733333333333333,0.049888765156985884,0.96,0.96,0.96,1.0,"[12, 48, 9]",1.0,1,-0.0,3.9809141159057617,3.9458010296026864,3.932455559571584,0.0638808012008667,0.08319293707609177,0.035116856260030506,0.0,0.0,"[{""bin"": 0, ""count"": 63, ""mean_predicted_cost"": 0.9145579934120178, ""mean_realized_cost"": 0.9873014688491821}, {""bin"": 1, ""count"": 63, ""mean_predicted_cost"": 0.9296579360961914, ""mean_realized_cost"": 0.9873014688491821}, {""bin"": 2, ""count"": 63, ""mean_predicted_cost"": 0.9373427033424377, ""mean_realized_cost"": 0.9857141375541687}, {""bin"": 3, ""count"": 63, ""mean_predicted_cost"": 0.9436579942703247, ""mean_realized_cost"": 0.9942855834960938}, {""bin"": 4, ""count"": 64, ""mean_predicted_cost"": 0.9536005258560181, ""mean_realized_cost"": 1.0431249141693115}]"
ieee9,counterfactual_belief_replay,101,30,-0.0009147855453193188,0.0022114901803433895,1.0000000000000002,3.9313294887542725,1.0,0.9733333333333333,0.049888765156985884,0.96,0.96,0.96,1.0,"[48, 12, 9]",1.0,1,-0.0,3.9702045917510986,3.929734239975611,3.9176014761130014,0.05895143374800682,0.06595882773399353,-0.07539250325043888,0.0,0.0,"[{""bin"": 0, ""count"": 64, ""mean_predicted_cost"": 0.9936250448226929, ""mean_realized_cost"": 0.9690625071525574}, {""bin"": 1, ""count"": 64, ""mean_predicted_cost"": 1.0019137859344482, ""mean_realized_cost"": 0.9715625047683716}, {""bin"": 2, ""count"": 62, ""mean_predicted_cost"": 1.0315552949905396, ""mean_realized_cost"": 0.9854838252067566}, {""bin"": 3, ""count"": 63, ""mean_predicted_cost"": 1.0552715063095093, ""mean_realized_cost"": 0.9815872311592102}, {""bin"": 4, ""count"": 66, ""mean_predicted_cost"": 1.0635159015655518, ""mean_realized_cost"": 0.978181779384613}]"
ieee9,counterfactual_belief_replay,101,40,-0.008771500550210476,0.0006946290377527475,0.9666666666666668,3.9084560871124268,1.0,0.98,0.057735026918962595,0.96,0.96,1.016,1.0,"[48, 12, 18]",0.5,3,1.0114042647073516,3.9431560039520264,3.9040180444717407,3.8957699239254,0.04941919818520546,0.05463624373078346,0.012793592316344799,0.0,0.0,"[{""bin"": 0, ""count"": 64, ""mean_predicted_cost"": 0.9856479167938232, ""mean_realized_cost"": 0.9768750071525574}, {""bin"": 1, ""count"": 63, ""mean_predicted_cost"": 1.0009658336639404, ""mean_realized_cost"": 0.9790475368499756}, {""bin"": 2, ""count"": 64, ""mean_predicted_cost"": 1.020625352859497, ""mean_realized_cost"": 0.9599999785423279}, {""bin"": 3, ""count"": 63, ""mean_predicted_cost"": 1.0278806686401367, ""mean_realized_cost"": 0.9599998593330383}, {""bin"": 4, ""count"": 64, ""mean_predicted_cost"": 1.0464520454406738, ""mean_realized_cost"": 0.995312511920929}]"
ieee9,counterfactual_belief_replay,101,50,-0.0036605987697839737,0.0005312218563631177,1.0,3.863611936569214,1.0,0.9733333333333333,0.049888765156985884,0.96,0.96,0.96,1.0,"[12, 48, 9]",1.0,1,-0.0,3.8991024494171143,3.8774181505044303,3.8849056561787925,0.011602041311562061,0.01652231439948082,-0.023943797806172947,0.0,0.0,"[{""bin"": 0, ""count"": 63, ""mean_predicted_cost"": 0.9464938640594482, ""mean_realized_cost"": 0.9599998593330383}, {""bin"": 1, ""count"": 63, ""mean_predicted_cost"": 0.9546128511428833, ""mean_realized_cost"": 0.9606348276138306}, {""bin"": 2, ""count"": 63, ""mean_predicted_cost"": 0.9638093113899231, ""mean_realized_cost"": 0.9619047045707703}, {""bin"": 3, ""count"": 63, ""mean_predicted_cost"": 0.9689746499061584, ""mean_realized_cost"": 0.9650793075561523}, {""bin"": 4, ""count"": 64, ""mean_predicted_cost"": 0.9753392338752747, ""mean_realized_cost"": 0.9743750095367432}]"
ieee9,counterfactual_belief_replay,101,60,-0.006632364820688963,0.0019364254549145699,0.9933333333333335,3.8341896533966064,1.0,0.9733333333333333,0.049888765156985884,0.96,0.96,0.96,1.0,"[48, 12, 9]",1.0,1,-0.0,3.8503735065460205,3.875505656003952,3.8829174637794495,0.015200691297650337,0.020285800099372864,-0.06801983522294287,0.0,0.0,"[{""bin"": 0, ""count"": 64, ""mean_predicted_cost"": 0.9478697776794434, ""mean_realized_cost"": 0.9599999785423279}, {""bin"": 1, ""count"": 63, ""mean_predicted_cost"": 0.9524880051612854, ""mean_realized_cost"": 0.9599998593330383}, {""bin"": 2, ""count"": 63, ""mean_predicted_cost"": 0.9589513540267944, ""mean_realized_cost"": 0.9599998593330383}, {""bin"": 3, ""count"": 63, ""mean_predicted_cost"": 0.9810965657234192, ""mean_realized_cost"": 0.9739681482315063}, {""bin"": 4, ""count"": 64, ""mean_predicted_cost"": 0.993561863899231, ""mean_realized_cost"": 0.9750000238418579}]"
ieee9,counterfactual_belief_replay,101,70,0.011638976633548737,0.0020199576392769814,0.9933333333333335,3.7844038009643555,1.0,0.9866666666666667,0.07180219742846006,0.96,0.96,1.072,1.0,"[48, 12, 39]",1.0,1,-0.0,3.7745847702026367,3.8715999722480774,3.8850935896237693,0.014080991968512535,0.02053227648139,0.03351043661809478,0.0,0.5,"[{""bin"": 0, ""count"": 62, ""mean_predicted_cost"": 0.9626506567001343, ""mean_realized_cost"": 0.9683870673179626}, {""bin"": 1, ""count"": 64, ""mean_predicted_cost"": 0.9663405418395996, ""mean_realized_cost"": 0.9665625095367432}, {""bin"": 2, ""count"": 64, ""mean_predicted_cost"": 0.9690181016921997, ""mean_realized_cost"": 0.9684374928474426}, {""bin"": 3, ""count"": 65, ""mean_predicted_cost"": 0.9714512825012207, ""mean_realized_cost"": 0.971384584903717}, {""bin"": 4, ""count"": 65, ""mean_predicted_cost"": 0.9750064611434937, ""mean_realized_cost"": 0.9664615392684937}]"
ieee9,counterfactual_belief_replay,101,80,-0.008551443926990032,0.000556211220100522,1.0000000000000002,3.75042462348938,1.0,0.98,0.057735026918962595,0.96,0.96,1.016,1.0,"[48, 12, 39]",0.8333333333333334,2,0.45056120886630463,3.684990167617798,3.9146661857763925,3.925076484680176,0.026982394978404045,0.037331558763980865,0.06592180376864061,0.0,0.0,"[{""bin"": 0, ""count"": 64, ""mean_predicted_cost"": 0.9315237998962402, ""mean_realized_cost"": 0.9618749618530273}, {""bin"": 1, ""count"": 64, ""mean_predicted_cost"": 0.9383482933044434, ""mean_realized_cost"": 0.9637499451637268}, {""bin"": 2, ""count"": 63, ""mean_predicted_cost"": 0.9439743161201477, ""mean_realized_cost"": 0.9758729338645935}, {""bin"": 3, ""count"": 64, ""mean_predicted_cost"": 0.9519923329353333, ""mean_realized_cost"": 0.9781250357627869}, {""bin"": 4, ""count"": 64, ""mean_predicted_cost"": 0.9589180946350098, ""mean_realized_cost"": 0.9793750047683716}]"
ieee9,counterfactual_belief_replay,202,1,0.002244157949462533,0.303809255361557,0.9666666666666668,3.973820686340332,1.0,1.01,0.07937253933193775,0.96,0.96,1.12,1.0,"[51, 24, 34]",1.0,1,-0.0,3.983858346939087,3.9643469750881195,3.946328967809677,0.340709388256073,0.34710630774497986,0.009520472949995697,0.0,0.16666666666666666,"[{""bin"": 0, ""count"": 64, ""mean_predicted_cost"": 0.5674411058425903, ""mean_realized_cost"": 0.9768750071525574}, {""bin"": 1, ""count"": 63, ""mean_predicted_cost"": 0.6141831278800964, ""mean_realized_cost"": 0.9869840741157532}, {""bin"": 2, ""count"": 64, ""mean_predicted_cost"": 0.6568870544433594, ""mean_realized_cost"": 0.9925000071525574}, {""bin"": 3, ""count"": 63, ""mean_predicted_cost"": 0.6883050203323364, ""mean_realized_cost"": 1.006666660308838}, {""bin"": 4, ""count"": 64, ""mean_predicted_cost"": 0.7296978235244751, ""mean_realized_cost"": 0.9971874952316284}]"
