update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,validation_mean_u_ctrl,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor
934,0.27,0.27,DAD,0.42912960052490234,59776,3.3445563316345215,,,,,,,,,
935,0.27,0.27,DAD,0.42931652069091797,59840,3.344395875930786,,,,,,,,,
936,0.27,0.27,DAD,0.4273519515991211,59904,3.3444838523864746,,,,,,,,,
937,0.27,0.27,DAD,0.42879271507263184,59968,3.3443002700805664,,,,,,,,,
938,0.27,0.27,DAD,0.42814064025878906,60032,3.344320297241211,,,,,,,,,
939,0.27,0.27,DAD,0.42821359634399414,60096,3.344383955001831,,,,,,,,,
940,0.27,0.27,DAD,0.4293196201324463,60160,3.344386577606201,,,,,,,,,
941,0.27,0.27,DAD,0.42865705490112305,60224,3.3443045616149902,,,,,,,,,
942,0.27,0.27,DAD,0.42837977409362793,60288,3.3442044258117676,,,,,,,,,
943,0.27,0.27,DAD,0.4290151596069336,60352,3.3442440032958984,,,,,,,,,
944,0.27,0.27,DAD,0.4292185306549072,60416,3.344247817993164,,,,,,,,,
945,0.27,0.27,DAD,0.4302048683166504,60480,3.344175338745117,,,,,,,,,
946,0.27,0.27,DAD,0.4302232265472412,60544,3.3442771434783936,,,,,,,,,
947,0.27,0.27,DAD,0.4296431541442871,60608,3.3440372943878174,,,,,,,,,
948,0.27046875000000004,0.27046875000000004,DAD,0.42969751358032227,60672,3.344001054763794,,,,,,,,,
949,0.27,0.27,DAD,0.43068647384643555,60736,3.3440585136413574,,,,,,,,,
950,0.27,0.27,DAD,0.43108129501342773,60800,3.3440113067626953,0.27,6,1.1605327445055378,0.046875,0.0,1,0.0,0.27,0
951,0.27,0.27,DAD,0.4302530288696289,60864,3.3440260887145996,,,,,,,,,
952,0.27,0.27,DAD,0.42998456954956055,60928,3.3439927101135254,,,,,,,,,
953,0.27046875000000004,0.27046875000000004,DAD,0.429612398147583,60992,3.34395694732666,,,,,,,,,
954,0.27,0.27,DAD,0.43103575706481934,61056,3.3439407348632812,,,,,,,,,
955,0.27,0.27,DAD,0.42977070808410645,61120,3.343916416168213,,,,,,,,,
956,0.27,0.27,DAD,0.4305708408355713,61184,3.343947410583496,,,,,,,,,
957,0.27,0.27,DAD,0.4294884204864502,61248,3.3437652587890625,,,,,,,,,
958,0.27,0.27,DAD,0.43110084533691406,61312,3.3436856269836426,,,,,,,,,
959,0.27,0.27,DAD,0.4318420886993408,61376,3.3435187339782715,,,,,,,,,
960,0.27,0.27,DAD,0.4299499988555908,61440,3.343545913696289,,,,,,,,,
961,0.27,0.27,DAD,0.43079519271850586,61504,3.343413829803467,,,,,,,,,
962,0.27,0.27,DAD,0.4307246208190918,61568,3.3433117866516113,,,,,,,,,
963,0.27,0.27,DAD,0.4306294918060303,61632,3.3431477546691895,,,,,,,,,
964,0.27,0.27,DAD,0.43127918243408203,61696,3.3430674076080322,,,,,,,,,
965,0.27,0.27,DAD,0.4305574893951416,61760,3.3430471420288086,,,,,,,,,
966,0.27,0.27,DAD,0.4304163455963135,61824,3.342766761779785,,,,,,,,,
967,0.27,0.27,DAD,0.43088436126708984,61888,3.3427162170410156,,,,,,,,,
968,0.27,0.27,DAD,0.43087267875671387,61952,3.342672824859619,,,,,,,,,
969,0.27,0.27,DAD,0.43167877197265625,62016,3.342613697052002,,,,,,,,,
970,0.27,0.27,DAD,0.4318087100982666,62080,3.342479705810547,,,,,,,,,
971,0.27,0.27,DAD,0.4307124614715576,62144,3.3423855304718018,,,,,,,,,
972,0.27,0.27,DAD,0.43120336532592773,62208,3.3422446250915527,,,,,,,,,
973,0.27,0.27,DAD,0.43085455894470215,62272,3.342233896255493,,,,,,,,,
974,0.27,0.27,DAD,0.43198490142822266,62336,3.3422932624816895,,,,,,,,,
975,0.27,0.27,DAD,0.4308650493621826,62400,3.3422112464904785,0.27,13,1.6715251068342674,0.1015625,0.0,1,0.0,0.27,0
976,0.27,0.27,DAD,0.43096232414245605,62464,3.3422532081604004,,,,,,,,,
977,0.27,0.27,DAD,0.43078064918518066,62528,3.342379093170166,,,,,,,,,
978,0.27,0.27,DAD,0.4319934844970703,62592,3.3424229621887207,,,,,,,,,
979,0.27,0.27,DAD,0.43099331855773926,62656,3.342597246170044,,,,,,,,,
980,0.27,0.27,DAD,0.4321308135986328,62720,3.3425371646881104,,,,,,,,,
981,0.27,0.27,DAD,0.43079376220703125,62784,3.342411994934082,,,,,,,,,
982,0.27,0.27,DAD,0.4314718246459961,62848,3.342576742172241,,,,,,,,,
983,0.27,0.27,DAD,0.4316425323486328,62912,3.3424227237701416,,,,,,,,,
984,0.27,0.27,DAD,0.4313924312591553,62976,3.3426198959350586,,,,,,,,,
985,0.27,0.27,DAD,0.43224453926086426,63040,3.342564582824707,,,,,,,,,
986,0.27,0.27,DAD,0.431323766708374,63104,3.3425745964050293,,,,,,,,,
987,0.27,0.27,DAD,0.43184566497802734,63168,3.342817544937134,,,,,,,,,
988,0.27,0.27,DAD,0.4318850040435791,63232,3.342909097671509,,,,,,,,,
989,0.27,0.27,DAD,0.46790170669555664,63296,3.342989921569824,,,,,,,,,
990,0.27,0.27,DAD,0.4317502975463867,63360,3.3429746627807617,,,,,,,,,
991,0.27,0.27,DAD,0.43170595169067383,63424,3.343083143234253,,,,,,,,,
992,0.27,0.27,DAD,0.43230557441711426,63488,3.3431200981140137,,,,,,,,,
993,0.27,0.27,DAD,0.4323573112487793,63552,3.3433098793029785,,,,,,,,,
994,0.27,0.27,DAD,0.4314908981323242,63616,3.3434576988220215,,,,,,,,,
995,0.27,0.27,DAD,0.43216586112976074,63680,3.343536853790283,,,,,,,,,
996,0.27,0.27,DAD,0.43228864669799805,63744,3.343447685241699,,,,,,,,,
997,0.27,0.27,DAD,0.43310070037841797,63808,3.343642473220825,,,,,,,,,
998,0.27,0.27,DAD,0.43193721771240234,63872,3.3437113761901855,,,,,,,,,
999,0.27,0.27,DAD,0.43323850631713867,63936,3.3439221382141113,,,,,,,,,
1000,0.27,0.27,DAD,0.43210554122924805,64000,3.344031810760498,0.27,20,2.519484777349097,0.15625,0.0,1,0.0,0.27,0
