alpha,margin,quantile_level,cal_safety_rate,cal_mean_excess,cal_mean_u_ctrl,cal_mean_under_control,cal_std_u_ctrl,cal_n_rollouts,cal_passes
0.05,0.0,0.95,0.96,0.0656,0.11560000000000002,0.023599999999999996,0.2420839523801609,200,False
0.05,0.1,0.95,0.94,0.1944,0.24680000000000002,0.022,0.21177761921411808,200,False
0.05,0.2,0.95,0.945,0.27720000000000006,0.32760000000000006,0.02,0.20452442396936363,200,False
0.05,0.3,0.95,0.94,0.38400000000000006,0.4452000000000001,0.016799999999999995,0.25178752947673966,200,False
0.05,0.4,0.95,0.96,0.43200000000000005,0.4688000000000001,0.010799999999999999,0.16666901331681303,200,False
0.05,0.5,0.95,0.965,0.5648000000000001,0.6360000000000001,0.005599999999999997,0.17209299811439158,200,False
0.05,0.6,0.95,0.965,0.6507999999999999,0.7047999999999999,0.0027999999999999987,0.14519283728889656,200,False
0.05,0.7,0.95,1.0,0.7539999999999999,0.7951999999999999,0.0,0.15710175046765076,200,True
0.05,0.8,0.95,1.0,0.8140000000000001,0.8640000000000001,0.0,0.1348183963708217,200,True
0.05,0.9,0.95,1.0,0.9656000000000001,1.008,0.0,0.0854166260162505,200,True
0.05,1.0,0.95,1.0,1.0452,1.0772,0.0,0.0629298021608204,200,True
0.05,1.1,0.95,1.0,1.1096000000000001,1.1380000000000001,0.0,0.03340658617698007,200,True
0.05,1.2,0.95,1.0,1.1391999999999998,1.1999999999999997,0.0,2.220446049250313e-16,200,True
0.05,1.4,0.95,1.0,1.1455999999999997,1.1999999999999997,0.0,2.220446049250313e-16,200,True
0.05,1.6,0.95,1.0,1.168,1.1999999999999997,0.0,2.220446049250313e-16,200,True
0.05,1.8,0.95,1.0,1.1651999999999996,1.1999999999999997,0.0,2.220446049250313e-16,200,True
