system,seed,epoch,train_mean_u_ctrl,validation_mean_u_ctrl,validation_safety,best_validation_mean_u_ctrl,policy_entropy,entropy_t1,entropy_t2,entropy_t3,entropy_coefficient,gradient_norm,gradient_norm_max,policy_gradient_norm,policy_gradient_norm_max,clipping_events,advantage_mean,advantage_std,unique_sequences,dominant_sequence,dominant_sequence_fraction,terminal_cost_unique_count,terminal_cost_modal_fraction,terminal_cost_tied_fraction,potential_telescope_max_error,loss
ieee5,404,0,0.8692307692307691,0.8833333333333333,1.0,0.8833333333333333,3.3650355339050293,3.39981746673584,3.365176200866699,3.330113649368286,0.01,0.16404653447014944,0.45294085144996643,0.16404653447014944,0.45294085144996643,0,-0.1464467768987211,0.23562006414354258,52,11 14 5,0.019230769230769232,3.5714285714285716,0.48214285714285715,0.7678571428571429,0.0,-1.45042408151286
ieee5,404,1,0.8615384615384615,,,0.8833333333333333,3.364942789077759,3.399815797805786,3.3650386333465576,3.329974889755249,0.00997995991983968,0.08608448558620044,0.11226402223110199,0.08608448452183179,0.11226402223110199,0,-0.005178141694229383,0.11128180612376522,52,18 2 10,0.019230769230769232,3.4285714285714284,0.42857142857142855,0.8035714285714286,0.0,-0.13800595274993352
ieee5,404,2,0.8576923076923075,,,0.8833333333333333,3.3645622730255127,3.39980149269104,3.3644826412200928,3.329403877258301,0.009959919839679358,0.08309760157551084,0.10988140106201172,0.08309760157551084,0.10988140106201172,0,0.0016593243568562544,0.11277517323083029,52,7 26 22,0.019230769230769232,3.857142857142857,0.375,0.7857142857142857,0.0,-0.1136420624596732
ieee5,404,3,0.8884615384615384,,,0.8833333333333333,3.3642804622650146,3.3997995853424072,3.36405086517334,3.3289906978607178,0.009939879759519038,0.08143358837280955,0.11599361151456833,0.08143358837280955,0.11599361151456833,0,-0.008264867284406837,0.11021443590042151,51,12 2 0,0.038461538461538464,3.5714285714285716,0.48214285714285715,0.8035714285714286,0.0,-0.1855799960238593
ieee5,404,4,0.8576923076923078,,,0.8833333333333333,3.3640570640563965,3.3997952938079834,3.3636937141418457,3.328681707382202,0.009919839679358718,0.10266813316515513,0.17875072360038757,0.1026681379548141,0.17875073850154877,0,0.008725016395776318,0.11993046771397871,52,28 13 0,0.019230769230769232,3.857142857142857,0.5357142857142857,0.7142857142857143,0.0,-0.11227581650018692
ieee5,404,5,0.8596153846153847,0.8916666666666667,1.0,0.8833333333333333,3.3639814853668213,3.399813413619995,3.3635737895965576,3.3285586833953857,0.009899799599198397,0.09998620620795659,0.11956367641687393,0.0999862083366939,0.11956366896629333,0,0.00502234475257305,0.1220691153308501,52,14 8 28,0.019230769230769232,3.857142857142857,0.44642857142857145,0.7321428571428571,0.0,0.0018643619758742197
ieee5,404,6,0.8634615384615386,,,0.8833333333333333,3.363955020904541,3.3998217582702637,3.3635315895080566,3.3285105228424072,0.009879759519038077,0.08586904619421278,0.11601342260837555,0.08586904406547546,0.11601342260837555,0,-0.00588648091070354,0.11612754029410763,52,19 20 16,0.019230769230769232,3.7142857142857144,0.44642857142857145,0.7857142857142857,0.0,-0.15495123927082335
ieee5,404,7,0.8153846153846154,,,0.8833333333333333,3.3634607791900635,3.3998119831085205,3.362865924835205,3.327704429626465,0.009859719438877755,0.10329834052494594,0.12015549093484879,0.1032983415893146,0.12015549093484879,0,0.013450447756510515,0.1316785815627336,52,28 17 14,0.019230769230769232,4.285714285714286,0.42857142857142855,0.7142857142857143,0.0,0.059390295829091756
ieee5,404,8,0.8576923076923078,,,0.8833333333333333,3.3629698753356934,3.3998043537139893,3.362116813659668,3.326988458633423,0.009839679358717435,0.10137143092496055,0.17601901292800903,0.10137142879622323,0.17601901292800903,0,-0.008163143683654757,0.11223637741080782,52,15 22 24,0.019230769230769232,3.857142857142857,0.5178571428571429,0.6964285714285714,0.0,-0.12510529586247035
ieee5,404,9,0.851923076923077,,,0.8833333333333333,3.3626372814178467,3.399799108505249,3.361525297164917,3.326587438583374,0.009819639278557115,0.09607526021344322,0.1435919553041458,0.09607525914907455,0.1435919553041458,0,-0.004887883515598683,0.11527222781956736,52,23 22 13,0.019230769230769232,4.0,0.44642857142857145,0.75,0.0,-0.20160421941961562
