update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,validation_mean_u_ctrl,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor
1,0.1940625,0.2096875,RL-sBOED,0.4406013488769531,64,3.96829891204834,,,,,,,,,
2,0.19160156250000002,0.19160156250000002,RL-sBOED,0.24074745178222656,128,3.961851119995117,,,,,,,,,
3,0.1803515625,0.1905078125,RL-sBOED,0.2423386573791504,192,3.957319498062134,,,,,,,,,
4,0.187734375,0.187734375,RL-sBOED,0.24293065071105957,256,3.952335834503174,,,,,,,,,
5,0.189140625,0.189140625,RL-sBOED,0.23951339721679688,320,3.9449753761291504,,,,,,,,,
6,0.184921875,0.184921875,RL-sBOED,0.2394406795501709,384,3.936147451400757,,,,,,,,,
7,0.1803515625,0.1803515625,RL-sBOED,0.24090147018432617,448,3.9238710403442383,,,,,,,,,
8,0.174375,0.174375,RL-sBOED,0.24094724655151367,512,3.9083471298217773,,,,,,,,,
9,0.18,0.18,RL-sBOED,0.2389540672302246,576,3.886634111404419,,,,,,,,,
10,0.1831640625,0.1831640625,RL-sBOED,0.23894023895263672,640,3.861229658126831,,,,,,,,,
11,0.187734375,0.19632812500000002,RL-sBOED,0.23967242240905762,704,3.8341076374053955,,,,,,,,,
12,0.1789453125,0.1789453125,RL-sBOED,0.23878264427185059,768,3.8159046173095703,,,,,,,,,
13,0.1771875,0.1771875,RL-sBOED,0.2422316074371338,832,3.7923402786254883,,,,,,,,,
14,0.1726171875,0.1726171875,RL-sBOED,0.23883056640625,896,3.7597737312316895,,,,,,,,,
15,0.1740234375,0.1740234375,RL-sBOED,0.23841118812561035,960,3.7447237968444824,,,,,,,,,
16,0.18281250000000002,0.18281250000000002,RL-sBOED,0.239426851272583,1024,3.7376580238342285,,,,,,,,,
17,0.1655859375,0.1706640625,RL-sBOED,0.23992586135864258,1088,3.7134974002838135,,,,,,,,,
18,0.174375,0.174375,RL-sBOED,0.23941659927368164,1152,3.6849045753479004,,,,,,,,,
19,0.173671875,0.18578125,RL-sBOED,0.2383420467376709,1216,3.6504993438720703,,,,,,,,,
20,0.17472656250000002,0.17472656250000002,RL-sBOED,0.23839235305786133,1280,3.608659267425537,,,,,,,,,
21,0.172265625,0.172265625,RL-sBOED,0.24306917190551758,1344,3.5428009033203125,,,,,,,,,
22,0.1775390625,0.1775390625,RL-sBOED,0.2395031452178955,1408,3.4883551597595215,,,,,,,,,
23,0.1754296875,0.1754296875,RL-sBOED,0.23816609382629395,1472,3.448091506958008,,,,,,,,,
24,0.17964843749999998,0.17964843749999998,RL-sBOED,0.2393627166748047,1536,3.3926987648010254,,,,,,,,,
25,0.17964843749999998,0.17964843749999998,RL-sBOED,0.23851585388183594,1600,3.3272948265075684,0.14783203125,1,-0.0,0.0078125,0.015625,1,0.0003515625000000003,0.14783203125,0
26,0.17402343750000002,0.17402343750000002,RL-sBOED,0.23899221420288086,1664,3.2675867080688477,,,,,,,,,
27,0.17050781250000002,0.17050781250000002,RL-sBOED,0.23865032196044922,1728,3.2185187339782715,,,,,,,,,
28,0.1648828125,0.1648828125,RL-sBOED,0.23916363716125488,1792,3.1697254180908203,,,,,,,,,
29,0.1712109375,0.1712109375,RL-sBOED,0.24015259742736816,1856,3.1880829334259033,,,,,,,,,
30,0.1715625,0.1715625,RL-sBOED,0.238905668258667,1920,3.169973611831665,,,,,,,,,
31,0.163828125,0.163828125,RL-sBOED,0.2388169765472412,1984,3.192923069000244,,,,,,,,,
32,0.16453125000000002,0.16453125000000002,RL-sBOED,0.23851275444030762,2048,3.2374267578125,,,,,,,,,
33,0.1648828125,0.16996093750000002,RL-sBOED,0.2395949363708496,2112,3.247821092605591,,,,,,,,,
34,0.16171875000000002,0.166796875,RL-sBOED,0.23949241638183594,2176,3.2630157470703125,,,,,,,,,
35,0.16312500000000002,0.16312500000000002,RL-sBOED,0.23917675018310547,2240,3.29028582572937,,,,,,,,,
