update,mean_train_u_ctrl,method,update_seconds,trajectories_sampled,policy_entropy,validation_mean_u_ctrl,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_checkpoint_score,validation_meets_unique_floor
1,0.13921875,DAD,0.5512237548828125,64,3.9620254039764404,,,,,,
2,0.1339453125,DAD,0.3613448143005371,128,3.9556660652160645,,,,,,
3,0.12410156250000001,DAD,0.35954856872558594,192,3.9518556594848633,,,,,,
4,0.131484375,DAD,0.3602266311645508,256,3.948024272918701,,,,,,
5,0.13429687499999998,DAD,0.35889554023742676,320,3.943021297454834,,,,,,
6,0.121640625,DAD,0.3609049320220947,384,3.9358863830566406,,,,,,
7,0.134296875,DAD,0.35985302925109863,448,3.924971342086792,,,,,,
8,0.1262109375,DAD,0.3593635559082031,512,3.9119949340820312,,,,,,
9,0.12867187500000002,DAD,0.35982394218444824,576,3.8957784175872803,,,,,,
10,0.12691406249999998,DAD,0.3599739074707031,640,3.87302303314209,,,,,,
11,0.14273437500000002,DAD,0.358731746673584,704,3.8545613288879395,,,,,,
12,0.120234375,DAD,0.35990238189697266,768,3.840909957885742,,,,,,
13,0.12656250000000002,DAD,0.35891246795654297,832,3.8332300186157227,,,,,,
14,0.1184765625,DAD,0.3585793972015381,896,3.824594020843506,,,,,,
15,0.12339843750000001,DAD,0.35883474349975586,960,3.8124942779541016,,,,,,
16,0.1170703125,DAD,0.35872602462768555,1024,3.7984092235565186,,,,,,
17,0.12234375,DAD,0.3587820529937744,1088,3.7693967819213867,,,,,,
18,0.130078125,DAD,0.35990357398986816,1152,3.7239301204681396,,,,,,
19,0.1283203125,DAD,0.3580973148345947,1216,3.6726150512695312,,,,,,
20,0.12234375000000001,DAD,0.35864806175231934,1280,3.585242986679077,,,,,,
21,0.118828125,DAD,0.35842418670654297,1344,3.561068058013916,,,,,,
22,0.12234375,DAD,0.35883092880249023,1408,3.5587997436523438,,,,,,
23,0.11601562500000001,DAD,0.3581678867340088,1472,3.5551040172576904,,,,,,
24,0.120234375,DAD,0.3580334186553955,1536,3.5607192516326904,,,,,,
25,0.12058593750000002,DAD,0.3583693504333496,1600,3.546480655670166,0.10511718750000001,1,-0.0,0.0078125,0.10511718750000001,0
26,0.1177734375,DAD,0.3594186305999756,1664,3.537036895751953,,,,,,
27,0.1219921875,DAD,0.3593630790710449,1728,3.527559280395508,,,,,,
28,0.1142578125,DAD,0.35927915573120117,1792,3.4865825176239014,,,,,,
29,0.11179687499999999,DAD,0.3591780662536621,1856,3.4334349632263184,,,,,,
30,0.11917968750000002,DAD,0.3590095043182373,1920,3.3669824600219727,,,,,,
31,0.1153125,DAD,0.3599123954772949,1984,3.3493099212646484,,,,,,
32,0.11460937500000001,DAD,0.35943031311035156,2048,3.344963550567627,,,,,,
33,0.113203125,DAD,0.35951781272888184,2112,3.3453516960144043,,,,,,
34,0.1079296875,DAD,0.3592827320098877,2176,3.3631513118743896,,,,,,
35,0.10265625,DAD,0.35955095291137695,2240,3.3847997188568115,,,,,,
36,0.11917968749999999,DAD,0.35845470428466797,2304,3.4029693603515625,,,,,,
37,0.118125,DAD,0.3589968681335449,2368,3.4307055473327637,,,,,,
38,0.1262109375,DAD,0.35906147956848145,2432,3.4205234050750732,,,,,,
39,0.1163671875,DAD,0.3589456081390381,2496,3.3672447204589844,,,,,,
40,0.1184765625,DAD,0.3587625026702881,2560,3.3495359420776367,,,,,,
41,0.1184765625,DAD,0.3590505123138428,2624,3.355935573577881,,,,,,
42,0.120234375,DAD,0.3602285385131836,2688,3.342057704925537,,,,,,
43,0.108984375,DAD,0.35771942138671875,2752,3.299340009689331,,,,,,
44,0.11812500000000001,DAD,0.3583102226257324,2816,3.277878522872925,,,,,,
45,0.10933593750000001,DAD,0.358654260635376,2880,3.271873950958252,,,,,,
46,0.10828125,DAD,0.3579881191253662,2944,3.323394298553467,,,,,,
47,0.11671875000000001,DAD,0.35805606842041016,3008,3.3891477584838867,,,,,,
48,0.1044140625,DAD,0.3578372001647949,3072,3.439086437225342,,,,,,
49,0.11707031250000001,DAD,0.358595609664917,3136,3.4355978965759277,,,,,,
50,0.11039062499999999,DAD,0.35883474349975586,3200,3.369213819503784,0.10283203125000001,1,-0.0,0.0078125,0.10283203125000001,0
51,0.1212890625,DAD,0.359011173248291,3264,3.2787203788757324,,,,,,
52,0.10582031250000001,DAD,0.3608548641204834,3328,3.222554922103882,,,,,,
53,0.1044140625,DAD,0.3574397563934326,3392,3.2197635173797607,,,,,,
54,0.12375,DAD,0.3575906753540039,3456,3.231389045715332,,,,,,
55,0.101953125,DAD,0.35978245735168457,3520,3.2793872356414795,,,,,,
56,0.1096875,DAD,0.3602633476257324,3584,3.2707746028900146,,,,,,
57,0.1156640625,DAD,0.3578479290008545,3648,3.252256393432617,,,,,,
58,0.11144531249999999,DAD,0.36203432083129883,3712,3.2733778953552246,,,,,,
59,0.1096875,DAD,0.36106348037719727,3776,3.302311897277832,,,,,,
60,0.11636718750000001,DAD,0.3580501079559326,3840,3.3486011028289795,,,,,,
61,0.11039062499999999,DAD,0.3581383228302002,3904,3.402330160140991,,,,,,
62,0.124453125,DAD,0.3591604232788086,3968,3.4322030544281006,,,,,,
63,0.114609375,DAD,0.3589591979980469,4032,3.3799057006835938,,,,,,
64,0.11847656250000001,DAD,0.35846471786499023,4096,3.318655014038086,,,,,,
65,0.11707031250000001,DAD,0.35906267166137695,4160,3.3081722259521484,,,,,,
66,0.1096875,DAD,0.360670804977417,4224,3.3691935539245605,,,,,,
67,0.10582031249999999,DAD,0.3588380813598633,4288,3.489260196685791,,,,,,
68,0.11601562500000001,DAD,0.3606452941894531,4352,3.5171055793762207,,,,,,
69,0.11355468749999999,DAD,0.3603353500366211,4416,3.4937710762023926,,,,,,
70,0.121640625,DAD,0.35788941383361816,4480,3.5078749656677246,,,,,,
71,0.11250000000000002,DAD,0.36196064949035645,4544,3.547025203704834,,,,,,
72,0.117421875,DAD,0.3589444160461426,4608,3.6139235496520996,,,,,,
73,0.12515625,DAD,0.360584020614624,4672,3.661801338195801,,,,,,
74,0.1163671875,DAD,0.35970139503479004,4736,3.641267776489258,,,,,,
75,0.1156640625,DAD,0.3584110736846924,4800,3.5447700023651123,0.10652343750000001,7,1.3794129372100217,0.0546875,0.10652343750000001,0
76,0.11953125,DAD,0.35978102684020996,4864,3.4769649505615234,,,,,,
77,0.1170703125,DAD,0.3590402603149414,4928,3.414851188659668,,,,,,
78,0.113203125,DAD,0.35896968841552734,4992,3.428910732269287,,,,,,
79,0.110390625,DAD,0.35965895652770996,5056,3.4763011932373047,,,,,,
80,0.110390625,DAD,0.36183619499206543,5120,3.5288424491882324,,,,,,
81,0.1170703125,DAD,0.3603951930999756,5184,3.5143535137176514,,,,,,
82,0.11425781250000001,DAD,0.3587510585784912,5248,3.4418535232543945,,,,,,
83,0.1128515625,DAD,0.35974955558776855,5312,3.4499926567077637,,,,,,
84,0.1142578125,DAD,0.3605668544769287,5376,3.3324756622314453,,,,,,
85,0.10828125000000001,DAD,0.3584752082824707,5440,3.3168935775756836,,,,,,
86,0.1079296875,DAD,0.3594779968261719,5504,3.2873473167419434,,,,,,
87,0.1096875,DAD,0.35952305793762207,5568,3.328166961669922,,,,,,
88,0.1093359375,DAD,0.36190104484558105,5632,3.3465542793273926,,,,,,
89,0.1163671875,DAD,0.35866761207580566,5696,3.394782066345215,,,,,,
90,0.1262109375,DAD,0.3604426383972168,5760,3.4006433486938477,,,,,,
91,0.1184765625,DAD,0.36177945137023926,5824,3.415219306945801,,,,,,
92,0.1128515625,DAD,0.358950138092041,5888,3.390554904937744,,,,,,
93,0.10265625,DAD,0.36029839515686035,5952,3.3084468841552734,,,,,,
94,0.11917968749999999,DAD,0.36058926582336426,6016,3.2815043926239014,,,,,,
95,0.1149609375,DAD,0.3623473644256592,6080,3.266749858856201,,,,,,
96,0.12339843750000001,DAD,0.358457088470459,6144,3.2006967067718506,,,,,,
97,0.10757812500000001,DAD,0.3615150451660156,6208,3.185978651046753,,,,,,
98,0.10792968750000001,DAD,0.3620150089263916,6272,3.226806163787842,,,,,,
99,0.110390625,DAD,0.3602902889251709,6336,3.2210826873779297,,,,,,
100,0.11109375,DAD,0.3587052822113037,6400,3.178889751434326,0.10353515625000001,9,1.7097698091052076,0.0703125,0.10353515625000001,0
101,0.10863281250000001,DAD,0.36023879051208496,6464,3.1378378868103027,,,,,,
102,0.10652343749999998,DAD,0.35750889778137207,6528,3.2081847190856934,,,,,,
103,0.11812500000000001,DAD,0.35892581939697266,6592,3.257423162460327,,,,,,
104,0.10125,DAD,0.35890865325927734,6656,3.237948179244995,,,,,,
105,0.1114453125,DAD,0.3590066432952881,6720,3.2939810752868652,,,,,,
106,0.1142578125,DAD,0.3584470748901367,6784,3.3706183433532715,,,,,,
107,0.12269531250000001,DAD,0.358565092086792,6848,3.4265689849853516,,,,,,
108,0.1142578125,DAD,0.3588247299194336,6912,3.4706058502197266,,,,,,
109,0.11531250000000001,DAD,0.36165380477905273,6976,3.4059462547302246,,,,,,
110,0.10546875,DAD,0.3601970672607422,7040,3.3612143993377686,,,,,,
111,0.1128515625,DAD,0.3608822822570801,7104,3.284883499145508,,,,,,
112,0.11671875000000001,DAD,0.35869431495666504,7168,3.232055425643921,,,,,,
113,0.11531250000000001,DAD,0.35918545722961426,7232,3.1949105262756348,,,,,,
114,0.10863281250000001,DAD,0.35902905464172363,7296,3.205263137817383,,,,,,
115,0.1114453125,DAD,0.35755395889282227,7360,3.1997439861297607,,,,,,
116,0.12199218750000002,DAD,0.3606102466583252,7424,3.2220005989074707,,,,,,
117,0.1198828125,DAD,0.36110424995422363,7488,3.2266883850097656,,,,,,
118,0.1121484375,DAD,0.3606092929840088,7552,3.2914538383483887,,,,,,
119,0.1142578125,DAD,0.3607156276702881,7616,3.263068675994873,,,,,,
120,0.10968750000000001,DAD,0.3621037006378174,7680,3.2901265621185303,,,,,,
121,0.107578125,DAD,0.35947227478027344,7744,3.3478877544403076,,,,,,
122,0.1209375,DAD,0.36217236518859863,7808,3.350987195968628,,,,,,
123,0.11109374999999999,DAD,0.3591618537902832,7872,3.2128102779388428,,,,,,
124,0.11742187500000001,DAD,0.35948729515075684,7936,3.2074050903320312,,,,,,
125,0.11566406250000001,DAD,0.3600809574127197,8000,3.1600089073181152,0.10283203125000001,2,0.6615632381579821,0.015625,0.10283203125000001,0
126,0.1209375,DAD,0.35753726959228516,8064,3.170924186706543,,,,,,
127,0.1107421875,DAD,0.3570747375488281,8128,3.1246581077575684,,,,,,
128,0.10652343750000001,DAD,0.3579421043395996,8192,3.081045150756836,,,,,,
129,0.1065234375,DAD,0.35932040214538574,8256,3.104546308517456,,,,,,
130,0.11601562500000001,DAD,0.3603689670562744,8320,3.211791753768921,,,,,,
131,0.114609375,DAD,0.3593118190765381,8384,3.2811076641082764,,,,,,
132,0.1149609375,DAD,0.36383843421936035,8448,3.3446269035339355,,,,,,
133,0.10792968750000001,DAD,0.3632395267486572,8512,3.4109115600585938,,,,,,
134,0.10792968750000001,DAD,0.3580892086029053,8576,3.4290804862976074,,,,,,
135,0.118828125,DAD,0.35788488388061523,8640,3.383777379989624,,,,,,
136,0.11249999999999999,DAD,0.3598768711090088,8704,3.3103482723236084,,,,,,
137,0.10546875,DAD,0.3577454090118408,8768,3.314077377319336,,,,,,
138,0.11601562500000001,DAD,0.35808634757995605,8832,3.352566719055176,,,,,,
139,0.11777343750000001,DAD,0.359821081161499,8896,3.360643148422241,,,,,,
140,0.113203125,DAD,0.35811305046081543,8960,3.392690658569336,,,,,,
141,0.1107421875,DAD,0.36223340034484863,9024,3.391723394393921,,,,,,
142,0.12375000000000001,DAD,0.3603041172027588,9088,3.4009273052215576,,,,,,
143,0.11531250000000001,DAD,0.3606431484222412,9152,3.3025317192077637,,,,,,
144,0.1114453125,DAD,0.359438419342041,9216,3.26755952835083,,,,,,
145,0.10968750000000002,DAD,0.3579840660095215,9280,3.3358874320983887,,,,,,
146,0.1219921875,DAD,0.36002111434936523,9344,3.4071414470672607,,,,,,
147,0.1114453125,DAD,0.35802531242370605,9408,3.483234167098999,,,,,,
148,0.1219921875,DAD,0.3594057559967041,9472,3.5530736446380615,,,,,,
149,0.1107421875,DAD,0.35889697074890137,9536,3.4931905269622803,,,,,,
