step,u_ctrl_mean,u_ctrl_std,u_ctrl_min,u_ctrl_max,n_unique,fraction_changed_from_previous_step,posterior_ess_mean
0,1.0399999999999996,4.440892098500626e-16,1.04,1.04,1,0.0,79.99999999999997
1,1.0305600000000001,0.09302304230673174,0.96,1.2,4,0.853,16.20061968185483
2,1.0011200000000005,0.07902623361896986,0.96,1.2,4,0.338,4.604530703092563
