update,mean_train_u_ctrl,policy_loss,value_loss,entropy,approximate_kl,zero_intermediate_reward_fraction,reward_mode,method,init_mode,validation_mean_u_ctrl,validation_unique_sequences,validation_dominant_fraction
41,0.965,-0.024337967857718468,0.0005487643065862358,1.935834288597107,0.006872048135846853,0.0625,rl_sboed_stepwise,RL-sBOED,fixed,,,
42,0.975,-0.027354732155799866,0.0011230853851884604,2.0031344890594482,0.0006961027975194156,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
43,0.97,-0.03416934981942177,0.0009199209162034094,2.1029698848724365,0.010370150208473206,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
44,0.995,-0.024716924875974655,0.002592566655948758,1.9419264793395996,-0.001253510476090014,0.0625,rl_sboed_stepwise,RL-sBOED,fixed,,,
45,0.97,-0.020634759217500687,0.0010555990738794208,1.8126020431518555,0.013455878011882305,0.125,rl_sboed_stepwise,RL-sBOED,fixed,,,
46,0.96,-0.01927686482667923,0.0004099889483768493,1.7796574831008911,0.011156375519931316,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
47,0.985,-0.041041918098926544,0.0022080743219703436,1.9033323526382446,-0.010183568112552166,0.0625,rl_sboed_stepwise,RL-sBOED,fixed,,,
48,0.96,-0.010141448117792606,0.00027613682323135436,1.806597113609314,-0.003922229167073965,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
49,0.99,-0.0414913147687912,0.0031952003482729197,1.6579551696777344,0.011535391211509705,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
50,0.975,-0.02609681710600853,0.0017277044244110584,1.5433320999145508,0.034586746245622635,0.0625,rl_sboed_stepwise,RL-sBOED,fixed,0.97875,1,1.0
51,0.97,-0.015428516082465649,0.0010771998204290867,1.3507729768753052,0.02632579766213894,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
52,0.985,-0.022141968831419945,0.001871374435722828,1.3006410598754883,-0.007459595799446106,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
53,0.99,-0.020950263366103172,0.0010441428748890758,1.3003331422805786,-0.010769645683467388,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
54,1.0150000000000001,-0.019155174493789673,0.0030790239106863737,1.1139991283416748,0.022887855768203735,0.125,rl_sboed_stepwise,RL-sBOED,fixed,,,
55,0.965,-0.028153186663985252,0.0005710806581191719,0.9331166744232178,0.02301538921892643,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
56,0.96,-0.0138472281396389,0.0003171099815517664,1.1208521127700806,-0.00476856017485261,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
57,0.975,-0.014989431016147137,0.001468608737923205,1.3235200643539429,0.004543587565422058,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
58,0.96,-0.019262006506323814,0.0006546410149894655,1.5331398248672485,0.021299928426742554,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
59,0.97,-0.017491362988948822,0.0009360155672766268,1.3922442197799683,0.013519982807338238,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
60,0.96,-0.01360686868429184,0.00033877009991556406,1.4357194900512695,0.0037474483251571655,0.0,rl_sboed_stepwise,RL-sBOED,fixed,0.97875,1,1.0
61,0.96,-0.0212889201939106,0.0002424363628961146,1.5536174774169922,-0.007292608264833689,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
62,0.98,-0.01635819859802723,0.0017384820384904742,1.5708680152893066,-0.0041884430684149265,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
63,0.96,-0.013790275901556015,0.0006537367589771748,1.5616191625595093,0.002466052770614624,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
64,0.985,-0.04207976162433624,0.0012066729832440615,1.6492258310317993,0.03293335437774658,0.125,rl_sboed_stepwise,RL-sBOED,fixed,,,
65,0.975,-0.018954306840896606,0.0006839807028882205,1.7706751823425293,-0.00239776074886322,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
66,0.965,-0.033362533897161484,0.0003090771788265556,1.9911375045776367,0.03213624283671379,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
67,0.975,-0.01797686703503132,0.0012901347363367677,2.037639856338501,0.02692411281168461,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
68,0.97,-0.037214864045381546,0.0006621513166464865,1.9190754890441895,0.006811007857322693,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
69,0.96,-0.03050391748547554,0.0001896466128528118,1.9593530893325806,0.012799863703548908,0.0625,rl_sboed_stepwise,RL-sBOED,fixed,,,
70,0.965,-0.028338778764009476,0.00040347393951378763,1.9344347715377808,0.003549819113686681,0.125,rl_sboed_stepwise,RL-sBOED,fixed,0.97875,1,1.0
71,0.96,-0.042462874203920364,0.0004902235814370215,1.861341118812561,0.0031145166140049696,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
72,0.96,-0.02085774764418602,0.00014995156379882246,1.6522499322891235,0.00018264353275299072,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
73,0.97,-0.03473682701587677,0.0007045285310596228,1.7735098600387573,0.007066741585731506,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
74,0.96,-0.03314116597175598,0.00022644839191343635,1.6755861043930054,0.0036033689975738525,0.0,rl_sboed_stepwise,RL-sBOED,fixed,,,
