epoch,bc_loss,bc_accuracy
0,3.140012869468102,0.5282051282051282
1,1.9566309337432568,0.6666666666666666
2,1.220989195200113,0.6666666666666666
3,1.1147999992737403,0.6666666666666666
4,1.1074970868917613,0.6666666666666666
5,1.0833554863929749,0.6666666666666666
6,1.1113433975439806,0.6666666666666666
7,1.0701914521364064,0.6666666666666666
8,1.0976396340590258,0.6666666666666666
9,1.1076587117635286,0.6666666666666666
10,1.0498103636961718,0.6666666666666666
11,1.0261066005780146,1.0
12,1.0527707109084496,1.0
13,1.0956379679533153,1.0
14,1.038781042282398,1.0
15,1.0805652829316945,1.0
16,1.0568052942936237,1.0
17,1.0492451328497667,1.0
18,1.025743136039147,1.0
19,0.986707302240225,1.0
20,0.9955405776317303,1.0
21,1.0354113028599665,1.0
22,0.9811616792128637,1.0
23,1.0202120221578157,1.0
24,0.9974582607929523,1.0
25,0.9290786889883188,1.0
26,0.9373402733069199,1.0
27,0.960320770740509,1.0
28,0.967995116343865,1.0
29,0.9311262827653152,1.0
30,0.9677930245032678,1.0
31,0.9457821158262399,1.0
32,0.9238585646335895,1.0
33,0.8738613575696945,1.0
34,0.8810767302146325,1.0
35,0.9023761428319491,1.0
36,0.9091709622969995,1.0
37,0.8880958419579726,1.0
38,0.8670094104913565,1.0
39,0.8328622373250815,1.0
