update,policy_loss,value_loss,approximate_kl,entropy,mean_training_terminal_cost,mean_u_ctrl,std_u_ctrl,median_u_ctrl,q10_u_ctrl,q90_u_ctrl,safety,dominant_sequence,dominant_sequence_fraction,unique_sequences,sequence_entropy,entropy_t1,entropy_t2,entropy_t3
1,-0.11492094397544861,0.08294723182916641,0.02605552226305008,3.3524558544158936,0.8749999999999999,0.9,0.10801234497346433,0.9,0.81,1.0,1.0,"[12, 27, 26]",1.0,1,-0.0,3.3942172527313232,3.347832520802816,3.3168477217356362
10,-0.039992425590753555,0.0039297547191381454,0.023003067821264267,3.2989211082458496,0.8666666666666667,0.9083333333333332,0.09537935951882998,0.9,0.8,1.0,1.0,"[6, 21, 29]",0.75,2,0.5623351446188083,3.355668783187866,3.2922882040341697,3.2863729993502298
20,-0.03982268273830414,0.006686864886432886,0.014186058193445206,3.2482707500457764,0.7999999999999999,0.9166666666666665,0.12801909579781015,1.0,0.72,1.0,1.0,"[5, 29, 15]",0.6666666666666666,2,0.6365141682948128,3.354801654815674,3.165201942125956,3.223290801048279
30,-0.0240480974316597,0.007517627440392971,0.011932174675166607,2.942979097366333,0.8416666666666667,0.9083333333333332,0.09537935951882998,0.9,0.8,1.0,1.0,"[21, 29, 1]",1.0,1,-0.0,3.2254302501678467,2.8156792322794595,3.1624911030133567
40,-0.05190853402018547,0.005179145373404026,0.005992422346025705,2.149204730987549,0.8916666666666666,0.8500000000000001,0.12583057392117916,0.9,0.62,0.99,1.0,"[29, 21, 23]",1.0,1,-0.0,2.2957117557525635,2.763074060281118,3.017124116420746
50,-0.04646984115242958,0.006145165301859379,-0.025597071275115013,2.5223939418792725,0.8416666666666667,0.8583333333333334,0.13202482931462384,0.9,0.62,1.0,1.0,"[29, 3, 1]",1.0,1,-0.0,2.846435546875,2.9802561004956565,2.9235387245814004
60,-0.04977688193321228,0.004771533887833357,-0.0038977116346359253,3.1073575019836426,0.8166666666666668,0.7916666666666665,0.13819269959814168,0.75,0.61,0.99,1.0,"[28, 29, 3]",1.0,1,-0.0,3.3642311096191406,2.301243672768275,2.9250638087590537
70,-0.06491219997406006,0.007471421733498573,0.03713876008987427,3.004474401473999,0.8333333333333334,0.8666666666666668,0.09428090415820634,0.8500000000000001,0.8,1.0,1.0,"[15, 12, 28]",0.75,2,0.5623351446188083,3.2646985054016113,3.27617084980011,3.085318942864736
80,-0.047512710094451904,0.0028602697420865297,-0.0024670064449310303,2.8762502670288086,0.8833333333333334,0.9166666666666669,0.08975274678557507,0.9,0.81,1.0,1.0,"[2, 26, 22]",1.0,1,-0.0,2.9613335132598877,2.9667369524637857,3.061135470867157
90,-0.026398956775665283,0.005325273610651493,-0.009241316467523575,2.4676849842071533,0.8250000000000001,0.9083333333333335,0.08620067027323834,0.9,0.81,1.0,1.0,"[26, 2, 22]",1.0,1,-0.0,2.440556049346924,2.273454467455546,2.397805909315745
100,-0.04140867292881012,0.006696899421513081,0.009450260549783707,2.419563055038452,0.8416666666666667,0.9083333333333333,0.06400954789890505,0.9,0.81,1.0,1.0,"[2, 8, 22]",0.5833333333333334,2,0.6791932659915256,2.146899461746216,2.609082579612732,2.8318983912467957
110,-0.037893738597631454,0.005547376349568367,0.015067072585225105,2.3011651039123535,0.8083333333333335,0.8833333333333334,0.08975274678557507,0.9,0.8,1.0,1.0,"[2, 8, 1]",0.4166666666666667,3,1.0775563270668007,1.398189663887024,2.7387978434562683,2.8704529802004495
120,-0.00037495626020245254,0.005043343175202608,0.005808284040540457,2.1882078647613525,0.8250000000000001,0.8916666666666666,0.11873172373979175,0.9,0.7,1.0,1.0,"[2, 1, 26]",1.0,1,-0.0,1.8546154499053955,2.465177536010742,2.498165269692739
