rollout_id,theta_test_id,sequence,y_obs,u_ctrl_prior,u_ctrl_final,u_req_true,posterior_mean_U,excess_control,safe_total,changed,reduced,increased
0,31,35 41 16,1.611524 1.4075596 0.54815837,1.04,0.96,0.0,3.5942316046314146e-14,0.96,True,True,True,False
1,31,30 39 20,5.5222041 5.4836236 3.1733883,1.04,0.96,0.0,4.2561101751669203e-137,0.96,True,True,True,False
2,5,15 12 17,0.81359873 8.5757259 1.6146688,1.04,0.96,0.0,9.919071430066091e-07,0.96,True,True,True,False
3,3,48 52 6,5.9788588 0.72339673 0.92384125,1.04,0.96,0.0,4.33797753134429e-68,0.96,True,True,True,False
4,4,29 31 12,1.8480446 2.4580079 12.046476,1.04,1.2,0.32,0.4,0.8799999999999999,True,True,False,True
5,17,50 21 33,1.4573321 6.2942404 0.77198735,1.04,0.96,0.0,6.416662852740965e-45,0.96,True,True,True,False
6,25,17 0 12,1.4352545 4.415927 7.7299951,1.04,0.96,0.0,2.891241054070355e-57,0.96,True,True,True,False
7,25,32 15 27,0.75019677 1.010697 4.163801,1.04,0.96,0.0,1.9009792869811622e-05,0.96,True,True,True,False
8,25,13 14 2,2.6317554 0.80313592 2.6256641,1.04,0.96,0.0,9.698925774898269e-30,0.96,True,True,True,False
9,30,16 34 33,0.62960829 0.57189609 0.86830137,1.04,1.04,0.0,0.015612657181324544,1.04,True,False,False,False
10,17,19 17 28,3.6348219 1.6171082 3.8442703,1.04,0.96,0.0,1.7960830445220377e-42,0.96,True,True,True,False
11,8,17 29 51,1.6560706 1.5249302 0.62164039,1.04,0.96,0.0,0.03148530227519457,0.96,True,True,True,False
12,28,21 37 13,5.7950932 1.6878955 2.3340383,1.04,0.96,0.0,6.918307530944377e-46,0.96,True,True,True,False
13,20,39 9 28,4.544685 3.6700359 2.2628572,1.04,0.96,0.0,7.785801636846724e-146,0.96,True,True,True,False
14,16,15 7 14,0.81134475 1.0265433 0.44218869,1.04,0.96,0.0,9.449232692134009e-07,0.96,True,True,True,False
15,30,30 49 3,4.0475813 1.7353222 4.1464708,1.04,0.96,0.0,0.0,0.96,True,True,True,False
16,1,39 2 1,7.3250078 1.4892792 1.66669,1.04,0.96,0.0,9.585889297507217e-28,0.96,True,True,True,False
17,23,49 38 47,1.458685 3.025199 3.007649,1.04,0.96,0.0,2.231593473858457e-37,0.96,True,True,True,False
18,27,30 34 42,6.8756874 0.78917384 0.79710213,1.04,0.96,0.0,4.2459689167313632e-19,0.96,True,True,True,False
19,25,47 33 52,3.4450172 1.1488203 0.94055717,1.04,0.96,0.0,6.853271647391449e-43,0.96,True,True,True,False
20,15,11 44 17,1.0121852 1.9627987 2.1390422,1.04,1.04,0.0,0.008773158070788972,1.04,True,False,False,False
21,5,34 12 2,0.78008645 8.2330321 1.1336698,1.04,0.96,0.0,2.6136255788243304e-06,0.96,True,True,True,False
22,1,39 2 10,7.2891767 1.4041243 1.6061469,1.04,0.96,0.0,1.6972547793631598e-31,0.96,True,True,True,False
