update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,router_entropy,expert_redundancy,max_expert_usage,expert_residual_scale,validation_mean_u_ctrl,validation_mean_mocu,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor,moe_adaptivity_constraint
1,0.18421876430511475,0.18421876430511475,MoE-sBOED,0.3264601230621338,64,3.346879005432129,1.3848522901535034,0.06366058439016342,0.2670844793319702,0.11925292015075684,,,,,,,,,,,
2,0.1706250011920929,0.1706250011920929,MoE-sBOED,0.06122708320617676,128,3.3456039428710938,1.3860325813293457,0.011700205504894257,0.25539687275886536,0.11931250244379044,,,,,,,,,,,
3,0.15984374284744263,0.15984374284744263,MoE-sBOED,0.06429910659790039,192,3.343658208847046,1.3860445022583008,0.014294032007455826,0.25378960371017456,0.1192886084318161,,,,,,,,,,,
4,0.17812499403953552,0.17812499403953552,MoE-sBOED,0.06737208366394043,256,3.342249631881714,1.3859539031982422,0.008031639270484447,0.2560345530509949,0.1192627102136612,,,,,,,,,,,
5,0.1678124964237213,0.1678124964237213,MoE-sBOED,0.08235716819763184,320,3.3419294357299805,1.3860344886779785,0.004104427993297577,0.25155723094940186,0.11924278736114502,,,,,,,,,,,
6,0.1654687523841858,0.1654687523841858,MoE-sBOED,0.07436752319335938,384,3.342471122741699,1.3858580589294434,0.0012537739239633083,0.25572532415390015,0.11923660337924957,,,,,,,,,,,
7,0.17156249284744263,0.17156249284744263,MoE-sBOED,0.07251787185668945,448,3.341733932495117,1.3857805728912354,0.002808092162013054,0.25676679611206055,0.11922277510166168,,,,,,,,,,,
8,0.16828125715255737,0.16828125715255737,MoE-sBOED,0.06483626365661621,512,3.340893268585205,1.3859107494354248,0.0012662927620112896,0.25330084562301636,0.11915024369955063,,,,,,,,,,,
9,0.18046873807907104,0.18046873807907104,MoE-sBOED,0.07373523712158203,576,3.3392770290374756,1.3859262466430664,0.0009601895580999553,0.2517865300178528,0.11914060264825821,,,,,,,,,,,
10,0.17484375834465027,0.17484375834465027,MoE-sBOED,0.06770730018615723,640,3.3380825519561768,1.3858662843704224,0.0014761978527531028,0.252339243888855,0.11917280405759811,,,,,,,,,,,
