rollout_id,theta_test_id,sequence,y_obs,u_ctrl_prior,u_ctrl_final,u_req_true,posterior_mean_U,excess_control,safe_total,changed,reduced,increased
292,5,29 27,2.551528 2.8302623,1.0,0.7,0.25,0.1322928162203199,0.44999999999999996,True,True,True,False
293,12,9 17,2.5049071 1.4373724,1.0,1.0,0.6,0.319807973992137,0.4,True,False,False,False
294,0,29 25,4.2926812 1.9693881,1.0,0.9,0.1,0.33590000074684273,0.8,True,True,True,False
295,12,20 2,2.3900249 1.2007714,1.0,0.9,0.6,0.25904208589571115,0.30000000000000004,True,True,True,False
296,3,6 23,3.2756729 6.8975025,1.0,0.9,0.5,0.35000000000000003,0.4,True,True,True,False
297,0,26 17,1.4221637 2.4685367,1.0,0.7,0.1,0.12990119565779681,0.6,True,True,True,False
298,1,23 14,4.7260831 6.7530849,1.0,0.8,0.1,0.25,0.7000000000000001,True,True,True,False
299,12,17 6,1.4194895 3.7132827,1.0,1.0,0.6,0.5999999999999999,0.4,True,False,False,False
300,8,14 6,2.5659856 1.5767037,1.0,0.7,0.1,0.09385200293655174,0.6,True,True,True,False
301,1,15 12,2.3709276 1.751646,1.0,1.0,0.1,0.21228253083055942,0.9,True,False,False,False
302,4,12 11,1.5377899 2.6410305,1.0,0.9,0.4,0.35001054927585634,0.5,True,True,True,False
303,10,14 0,4.6646635 1.386728,1.0,1.0,0.15,0.42877277085363025,0.85,True,False,False,False
304,14,24 4,3.2799774 3.155036,1.0,0.9,0.3,0.2159313399914351,0.6000000000000001,True,True,True,False
305,13,20 2,2.1472909 1.1625994,1.0,1.0,0.45,0.23672601599200074,0.55,True,False,False,False
306,4,23 3,3.0631445 3.033404,1.0,1.0,0.4,0.2297637551278008,0.6,True,False,False,False
307,7,15 7,1.4147189 1.386111,1.0,0.9,0.6,0.28278528080544607,0.30000000000000004,True,True,True,False
308,11,22 0,1.3823161 2.5688908,1.0,0.9,0.1,0.30007717902351005,0.8,True,True,True,False
309,15,15 14,3.2982967 2.2236758,1.0,0.7,0.2,0.15004305319318192,0.49999999999999994,True,True,True,False
310,15,2 25,1.0285595 3.8341742,1.0,0.9,0.2,0.3500000373611499,0.7,True,True,True,False
311,14,19 0,3.249294 2.3631059,1.0,0.9,0.3,0.29999999999997107,0.6000000000000001,True,True,True,False
312,1,25 3,2.4140127 4.4228225,1.0,1.0,0.1,0.4488336902854937,0.9,True,False,False,False
313,9,6 8,2.0817161 7.0988671,1.0,0.8,0.35,0.2499932286898675,0.45000000000000007,True,True,True,False
314,1,23 16,4.7235418 1.6935216,1.0,0.9,0.1,0.25957809190460773,0.8,True,True,True,False
315,5,7 3,2.2879692 6.1516321,1.0,0.6,0.25,0.050000000005200836,0.35,True,True,True,False
316,7,18 19,4.9425025 6.3453205,1.0,1.0,0.6,0.45,0.4,True,False,False,False
317,10,11 23,1.5427962 3.5499904,1.0,0.7,0.15,0.055066530117742866,0.5499999999999999,True,True,True,False
318,3,26 3,2.6441646 6.5921771,1.0,0.9,0.5,0.35,0.4,True,True,True,False
319,10,28 1,3.6718964 1.7480234,1.0,0.8,0.15,0.20560479166058376,0.65,True,True,True,False
320,14,14 11,3.0919738 2.1673202,1.0,0.9,0.3,0.3001614785153841,0.6000000000000001,True,True,True,False
321,7,11 10,3.6390669 1.2726666,1.0,1.0,0.6,0.5999999999999996,0.4,True,False,False,False
