update,environment,trajectories_per_batch,transitions,cumulative_trajectories,advantage_mean,advantage_std,value_loss,policy_loss,entropy,approximate_kl,clip_fraction,actor_gradient_norm,value_gradient_norm,mean_training_terminal_cost,entropy_t1,entropy_t2,validation_mean_u_ctrl,validation_std_u_ctrl,validation_median_u_ctrl,validation_q10_u_ctrl,validation_q90_u_ctrl,validation_safety,validation_dominant_sequence,validation_dominant_sequence_fraction,validation_unique_sequences,validation_sequence_entropy,validation_entropy_t1,validation_entropy_t2,best_validation_so_far
1,C0,48,96,48,-1.1702263060338407,0.11081763967562709,0.031293850392103195,-0.05785742402076721,1.8545023202896118,0.006925249006599188,0.40625,0.2956029772758484,1.1024408340454102,1.1266666666666667,1.918156623840332,1.7832940816879272,1.080625,0.10535468368800695,1.08,0.96,1.2,1.0,"[36, 19]",1.0,1,-0.0,1.9182807207107544,1.7830308750271797,1.080625
2,C0,48,96,96,0.21766025833686195,0.1150614214061796,0.013812634162604809,-0.04750460386276245,1.8255738019943237,0.020615562796592712,0.1770833283662796,0.3912888467311859,0.5238173604011536,1.1066666666666667,1.8738452196121216,1.7670484781265259,,,,,,,,,,,,,
3,C0,48,96,144,-0.09331462636689343,0.10713286600905561,0.009421848691999912,-0.0487775094807148,1.7965220212936401,-0.00806030910462141,0.125,0.41425764560699463,0.3428479731082916,1.1066666666666667,1.8222174644470215,1.7550305128097534,,,,,,,,,,,,,
4,C0,48,96,192,0.0527997244467338,0.09517208835388133,0.005317771341651678,-0.03779769316315651,1.7716747522354126,-0.0035728737711906433,0.0729166641831398,0.4248635768890381,0.14121957123279572,1.1283333333333334,1.8010120391845703,1.7403644323349,,,,,,,,,,,,,
5,C0,48,96,240,-0.010732177817821499,0.10958890531087544,0.004552086349576712,-0.04733232781291008,1.7748335599899292,0.013003572821617126,0.2083333283662796,0.48492059111595154,0.04304061457514763,1.1016666666666668,1.8103504180908203,1.7430683374404907,,,,,,,,,,,,,
6,C0,48,96,288,-0.010357727494835848,0.08975145637974792,0.004628427792340517,-0.02806117571890354,1.7720389366149902,-0.00148015096783638,0.03125,0.6058708429336548,0.08092247694730759,1.1133333333333335,1.7942825555801392,1.7408957481384277,,,,,,,,,,,,,
7,C0,48,96,336,0.014789955357710534,0.0986330883616376,0.004299503285437822,-0.03904736042022705,1.7424736022949219,-0.00706631550565362,0.125,0.451763391494751,0.035394806414842606,1.1083333333333334,1.7473455667495728,1.721185326576233,,,,,,,,,,,,,
8,C0,48,96,384,0.03565208771526814,0.087526007703565,0.004153115209192038,-0.01955052651464939,1.6881717443466187,0.011203103698790073,0.0,0.4149206280708313,0.0904364138841629,1.0533333333333335,1.6658191680908203,1.6863154172897339,,,,,,,,,,,,,
9,C0,48,96,432,-0.06681327849725881,0.08969875777760515,0.0042001656256616116,-0.04525148496031761,1.6192110776901245,0.018276460468769073,0.0625,0.5304973721504211,0.08820726722478867,1.1066666666666667,1.5431164503097534,1.6600319147109985,,,,,,,,,,,,,
10,C0,48,96,480,0.05310216128826143,0.09407371784948582,0.004328281618654728,-0.03158209100365639,1.525474190711975,-0.007719004992395639,0.0729166641831398,0.38529232144355774,0.010230046696960926,1.0833333333333333,1.37459135055542,1.6304799318313599,1.080625,0.10535468368800695,1.08,0.96,1.2,1.0,"[36, 19]",1.0,1,-0.0,1.3744935989379883,1.6793131837621331,1.080625
