policy_name,rollout_count,unsafe_count_under_margin_0_40,unsafe_rate_under_margin_0_40,residual_mean,residual_std,residual_q90,residual_q95,residual_q99,residual_max,posterior_ess_mean,posterior_ess_unsafe_mean,max_posterior_weight_mean,max_posterior_weight_unsafe_mean
DAD,12000,30,0.0025,0.043175000000000005,0.08338466710572953,0.15,0.25,0.4,0.5,1.3654616545450642,1.04971517854067,0.8615347456108888,0.9761391955362443
DAD_exploratory,4000,59,0.01475,0.0460375,0.0951376560240476,0.2,0.25,0.45,0.5,1.9519754736355812,1.0907429173640268,0.7632058092553311,0.9588019550866318
DAD_seed_101,4000,30,0.0075,0.0853125,0.12114517053415708,0.25,0.35,0.4,0.5,1.4277410650612141,1.04971517854067,0.8382694518243925,0.9761391955362443
DAD_seed_202,4000,0,0.0,0.012324999999999997,0.026326685606053793,0.04999999999999999,0.05,0.09999999999999999,0.25,1.4309870960695188,nan,0.8361057009510167,nan
DAD_seed_303,4000,0,0.0,0.0318875,0.05133285832437154,0.10000000000000003,0.14999999999999997,0.2,0.25,1.2376568025044599,nan,0.9102290840572574,nan
Fixed,4000,0,0.0,0.010249999999999997,0.023290287675337973,0.04999999999999999,0.05,0.09999999999999999,0.25,1.5313478131364686,nan,0.8028928754783015,nan
Myopic,4000,0,0.0,0.015325,0.03142680981264245,0.04999999999999999,0.05,0.10049999999998821,0.2,1.335873370148598,nan,0.8751768540367206,nan
Random,4000,57,0.01425,0.045425,0.09591177912540252,0.2,0.25,0.45,0.5,1.9357381010587316,1.0805699834215154,0.7656755878336237,0.9647743430838418
