update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,validation_mean_u_ctrl,validation_mean_mocu,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor
1,0.15117187798023224,0.15117187798023224,DAD,0.24231338500976562,64,3.970423698425293,,,,,,,,,,
2,0.14484375715255737,0.14484375715255737,DAD,0.023310184478759766,128,3.9706153869628906,,,,,,,,,,
3,0.1662890613079071,0.1662890613079071,DAD,0.02112603187561035,192,3.970156192779541,,,,,,,,,,
4,0.1574999988079071,0.1574999988079071,DAD,0.025507688522338867,256,3.969304084777832,,,,,,,,,,
5,0.16277343034744263,0.16277343034744263,DAD,0.022884607315063477,320,3.9687013626098633,,,,,,,,,,
6,0.15785156190395355,0.15785156190395355,DAD,0.03921175003051758,384,3.9680631160736084,,,,,,,,,,
7,0.15398438274860382,0.15398438274860382,DAD,0.022864341735839844,448,3.967438220977783,,,,,,,,,,
8,0.14625000953674316,0.14625000953674316,DAD,0.028596878051757812,512,3.9666452407836914,,,,,,,,,,
9,0.15855470299720764,0.15855470299720764,DAD,0.01930093765258789,576,3.9658710956573486,,,,,,,,,,
10,0.15363281965255737,0.15363281965255737,DAD,0.01862645149230957,640,3.9651291370391846,,,,,,,,,,
11,0.1515234410762787,0.1515234410762787,DAD,0.021333932876586914,704,3.964585542678833,,,,,,,,,,
12,0.15468749403953552,0.15468749403953552,DAD,0.018153905868530273,768,3.9640283584594727,,,,,,,,,,
13,0.16734373569488525,0.16734373569488525,DAD,0.017897367477416992,832,3.963517665863037,,,,,,,,,,
14,0.1603125035762787,0.1603125035762787,DAD,0.01976466178894043,896,3.962888240814209,,,,,,,,,,
15,0.15574219822883606,0.15574219822883606,DAD,0.01812434196472168,960,3.9626286029815674,,,,,,,,,,
16,0.158203125,0.158203125,DAD,0.01956939697265625,1024,3.9623794555664062,,,,,,,,,,
17,0.17226563394069672,0.17226563394069672,DAD,0.018290042877197266,1088,3.9615955352783203,,,,,,,,,,
