epoch,bc_loss,bc_accuracy
0,3.248453154563904,0.5794871794871795
1,1.4219094824790954,0.9141025641025641
2,1.2958900260925292,1.0
3,1.2621814727783203,1.0
4,1.2482035040855408,1.0
5,1.2341742777824403,1.0
6,1.2276408505439758,1.0
7,1.1944714617729186,1.0
8,1.1951133632659912,1.0
9,1.1660435175895691,1.0
10,1.1518075299263,1.0
11,1.1480674099922181,1.0
12,1.1302301621437072,1.0
13,1.1190782594680786,1.0
14,1.1010785269737244,1.0
15,1.076332187652588,1.0
16,1.075480329990387,1.0
17,1.05758784532547,1.0
18,1.0365368723869324,1.0
19,1.0318116903305055,1.0
20,1.0172932720184327,1.0
21,1.0151901507377625,1.0
22,0.979087290763855,1.0
23,0.9736986756324768,1.0
24,0.9475212359428405,1.0
25,0.9479461908340454,1.0
26,0.9365152049064637,1.0
27,0.9193268990516663,1.0
28,0.9077273464202881,1.0
29,0.8851282620429992,1.0
30,0.8684008407592774,1.0
31,0.8572894716262818,1.0
32,0.8590470433235169,1.0
33,0.8344237518310547,1.0
34,0.8282217025756836,1.0
35,0.7917284631729126,1.0
36,0.7808679103851318,1.0
37,0.7699388420581817,1.0
38,0.7568858504295349,1.0
39,0.7505978333950043,1.0
