system,seed,dad_mean_u_ctrl,dominant_replay_mean_u_ctrl,global_seed,identical_theta_and_rollout_ids,mean_paired_diff,median_paired_diff,std_error,ci95_low,ci95_high,fraction_a_lower,fraction_b_lower,fraction_tied,n,n_bootstrap
ieee5,101,0.8557,0.8557,88421,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000,10000
ieee5,202,0.8655,0.8633000000000001,88421,True,0.0021999999999999984,0.0,0.0011028945445401284,9.99999999999981e-05,0.004299999999999999,0.015,0.048,0.937,1000,10000
ieee5,303,0.8455000000000001,0.8401000000000002,88421,True,0.0053999999999999986,0.0,0.0013162722258608108,0.002899999999999999,0.008100000000000001,0.014,0.039,0.947,1000,10000
ieee5,404,0.8975000000000001,0.8766000000000002,88421,True,0.020900000000000002,0.0,0.002553372223102168,0.016,0.026,0.023,0.122,0.855,1000,10000
ieee5,505,0.8032,0.8032,88421,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000,10000
ieee5,606,0.8625,0.8625,88421,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000,10000
ieee5,707,0.8575000000000002,0.8575000000000002,88421,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000,10000
ieee5,808,0.855,0.855,88421,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000,10000
ieee9,101,0.9635200000000005,0.9628800000000004,88421,True,0.0006400000000000006,0.0,0.0007156133750164983,-0.0008000000000000007,0.0020000000000000018,0.012,0.032,0.956,1000,10000
ieee9,202,0.9815200000000002,0.9747200000000004,88421,True,0.006799999999999999,0.0,0.0016043484452991923,0.003759999999999998,0.01,0.019,0.051,0.93,1000,10000
ieee9,303,0.9709600000000003,0.9717600000000003,88421,True,-0.0008000000000000007,0.0,0.0002761091020524973,-0.0013600000000000012,-0.0003200000000000003,0.011,0.001,0.988,1000,10000
ieee9,404,0.9682400000000003,0.9682400000000003,88421,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000,10000
ieee9,505,0.9728800000000003,0.9664000000000004,88421,True,0.006479999999999999,0.0,0.001378081531952558,0.003919999999999999,0.009280000000000002,0.006,0.031,0.963,1000,10000
ieee9,606,0.9759200000000003,0.9848000000000005,88421,True,-0.008879999999999999,0.0,0.0015368498649860067,-0.011920000000000002,-0.006,0.047,0.006,0.947,1000,10000
ieee9,707,0.9632000000000004,0.9632000000000004,88421,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000,10000
ieee9,808,0.9735200000000003,0.9656000000000003,88421,True,0.00792,0.0,0.0013421904019456684,0.005359999999999999,0.01064,0.0,0.035,0.965,1000,10000
