rollout_id,theta_id,step,ess_fraction,max_weight,u_ctrl,chosen_action,dominant_expert,router_entropy,expert_disagreement,logit_scale,action_matches_dominant_expert,action_matches_uniform_experts,action_matches_routed_unscaled,flip_vs_dominant,flip_vs_uniform,router_dense_0,router_top2_0,expert_top_action_0,router_dense_1,router_top2_1,expert_top_action_1,router_dense_2,router_top2_2,expert_top_action_2,router_dense_3,router_top2_3,expert_top_action_3,fingerprint_0,fingerprint_1,fingerprint_2,fingerprint_3,fingerprint_4,fingerprint_5,fingerprint_6,fingerprint_7,fingerprint_8,fingerprint_9,fingerprint_10,fingerprint_11,fingerprint_12,fingerprint_13,fingerprint_14,fingerprint_15
0,0,0,0.9999999999999997,0.0026041666666666665,0.33,14,2,1.3861494064331055,1.0,0.11974605917930603,0,0,1,1,1,0.24357008934020996,0.0,23,0.24877911806106567,0.0,24,0.2541504204273224,0.5006402134895325,6,0.25350040197372437,0.49935975670814514,4,-0.4475083351135254,0.45614317059516907,0.7229113578796387,1.0658985376358032,-0.19111500680446625,-0.5723475813865662,1.5521763563156128,0.22747355699539185,1.1945291757583618,-0.3549416661262512,-0.9410633444786072,-0.010040386579930782,1.9699338674545288,0.6473258137702942,0.6403235197067261,0.03514645993709564
0,0,1,0.002625431864421561,0.9959391530032204,0.09,24,1,1.386247992515564,1.0,0.11974605917930603,1,0,1,0,1,0.24928024411201477,0.0,23,0.2528860569000244,0.5015104413032532,24,0.25136280059814453,0.4984895884990692,6,0.2464708536863327,0.0,4,1.09223473072052,0.7094188332557678,-0.9689512252807617,0.9843663573265076,-1.5782867670059204,-0.4005001187324524,-1.440316081047058,0.6340738534927368,-0.40026238560676575,0.6108262538909912,0.5449998378753662,1.0612224340438843,-0.10648910701274872,-0.5300882458686829,1.4425407648086548,-0.4892861247062683
0,0,2,0.0026041666666666665,1.0,0.09,21,1,1.3862833976745605,1.0,0.11974605917930603,0,0,0,1,1,0.2495805323123932,0.0,23,0.25183895230293274,0.5018553733825684,19,0.24997682869434357,0.49814459681510925,6,0.2486037015914917,0.0,4,1.305504322052002,0.8801172375679016,-0.9849116802215576,1.215129017829895,-1.6628042459487915,-0.3478524088859558,-1.493703842163086,0.8001089096069336,-0.32940685749053955,0.6628144979476929,0.533173143863678,1.0923749208450317,-0.07333099097013474,-0.45679059624671936,1.4101595878601074,-0.5224583148956299
1,1,0,0.9999999999999997,0.0026041666666666665,0.33,14,2,1.3861494064331055,1.0,0.11974605917930603,0,0,1,1,1,0.24357008934020996,0.0,23,0.24877911806106567,0.0,24,0.2541504204273224,0.5006402134895325,6,0.25350040197372437,0.49935975670814514,4,-0.4475083351135254,0.45614317059516907,0.7229113578796387,1.0658985376358032,-0.19111500680446625,-0.5723475813865662,1.5521763563156128,0.22747355699539185,1.1945291757583618,-0.3549416661262512,-0.9410633444786072,-0.010040386579930782,1.9699338674545288,0.6473258137702942,0.6403235197067261,0.03514645993709564
1,1,1,0.0027651336710287217,0.9702534124723986,0.09,24,0,1.386244773864746,1.0,0.11974605917930603,0,0,0,1,1,0.2523920238018036,0.5003265142440796,23,0.25206258893013,0.4996734857559204,24,0.24621348083019257,0.0,6,0.24933190643787384,0.0,4,1.3452966213226318,-0.35764992237091064,0.29633206129074097,-0.864710807800293,-1.3215618133544922,0.44219619035720825,-1.3776189088821411,0.7873781323432922,1.1078566312789917,0.7105286717414856,-0.9801746010780334,1.004047155380249,-1.5855685472488403,-0.40287619829177856,-1.427201747894287,0.6290050745010376
1,1,2,0.0055457001771363895,0.532655010633423,0.21,21,3,1.3862547874450684,1.0,0.11974605917930603,0,0,0,1,1,0.25013765692710876,0.4965791702270508,23,0.24828080832958221,0.0,19,0.24799756705760956,0.0,6,0.2535839378833771,0.5034208297729492,4,1.2985819578170776,-0.5239465236663818,-0.9476110935211182,0.056424982845783234,2.262871265411377,0.813313364982605,0.5086417198181152,0.08764912188053131,1.3220125436782837,-0.39816951751708984,0.2571112811565399,-0.8757584095001221,-1.3440132141113281,0.41890478134155273,-1.3926982879638672,0.7624959349632263
2,2,0,0.9999999999999997,0.0026041666666666665,0.33,14,2,1.3861494064331055,1.0,0.11974605917930603,0,0,1,1,1,0.24357008934020996,0.0,23,0.24877911806106567,0.0,24,0.2541504204273224,0.5006402134895325,6,0.25350040197372437,0.49935975670814514,4,-0.4475083351135254,0.45614317059516907,0.7229113578796387,1.0658985376358032,-0.19111500680446625,-0.5723475813865662,1.5521763563156128,0.22747355699539185,1.1945291757583618,-0.3549416661262512,-0.9410633444786072,-0.010040386579930782,1.9699338674545288,0.6473258137702942,0.6403235197067261,0.03514645993709564
2,2,1,0.003626481767384657,0.8342431308516777,0.21,24,2,1.3862824440002441,1.0,0.11974605917930603,0,0,1,1,1,0.24842609465122223,0.0,23,0.24975162744522095,0.0,24,0.2518433928489685,0.5018576383590698,6,0.2499789297580719,0.498142272233963,4,-0.389934778213501,0.609947681427002,0.5498138070106506,1.0745341777801514,-0.11621247977018356,-0.5452306866645813,1.4502546787261963,-0.45988088846206665,1.3063770532608032,-0.5207479000091553,-0.857815682888031,-0.031416017562150955,2.1502084732055664,0.7228551506996155,0.5207597017288208,0.10124947875738144
2,2,2,0.0026041666666768576,0.9999999999980433,0.21,21,3,1.3862615823745728,1.0,0.11974605917930603,0,0,0,1,1,0.24802985787391663,0.0,23,0.24835015833377838,0.0,19,0.25053298473358154,0.4974643588066101,6,0.25308698415756226,0.5025356411933899,4,1.3273719549179077,-0.46553778648376465,-0.9180912971496582,0.05020512640476227,2.2745678424835205,0.7973329424858093,0.5442934632301331,0.10465443879365921,-0.3082096576690674,0.6560035347938538,0.5285950899124146,1.0980753898620605,-0.07989053428173065,-0.4713444709777832,1.4208042621612549,-0.5198553800582886
3,3,0,0.9999999999999997,0.0026041666666666665,0.33,14,2,1.3861494064331055,1.0,0.11974605917930603,0,0,1,1,1,0.24357008934020996,0.0,23,0.24877911806106567,0.0,24,0.2541504204273224,0.5006402134895325,6,0.25350040197372437,0.49935975670814514,4,-0.4475083351135254,0.45614317059516907,0.7229113578796387,1.0658985376358032,-0.19111500680446625,-0.5723475813865662,1.5521763563156128,0.22747355699539185,1.1945291757583618,-0.3549416661262512,-0.9410633444786072,-0.010040386579930782,1.9699338674545288,0.6473258137702942,0.6403235197067261,0.03514645993709564
