rollout_id,theta_true_id,true_u_req,selected_u_ctrl,recomputed_u_ctrl,under_control_amount,true_safe,posterior_ess,max_posterior_weight,posterior_mean_U,posterior_std_U,posterior_quantile_level,posterior_cdf_at_true_u_req,selected_actions,observations,true_M_values,true_K_values
623,3,0.5,0.35,0.45,0.15000000000000002,True,1.0000005886989334,0.99999970565062,0.34999998528599147,2.7130172502928686e-05,1.0,1.0,8 29,6.6075995 5.097029,0.032674894 0.016702085 0.030155649 0.020172762 0.023115667,0.23953497 0.097664557 0.33492198 0.22119092 0.37638227
624,15,0.2,0.4,0.6,-0.2,True,4.51383190753308,0.2781882892482634,0.23802394838984325,0.1407744449056204,1.0,0.3245606733137424,8 13,3.4582506 3.5576398,0.011224534 0.043672994 0.055954431 0.051341266 0.054276013,0.38011571 0.13452113 0.2266213 0.15435495 0.4285526
625,14,0.3,0.3,0.6,0.0,True,1.0000000024714089,0.9999999987642956,0.300000000370614,1.0545545745446208e-05,1.0,0.9999999987644725,19 28,3.2144959 5.3474738,0.017526242 0.034110619 0.054735793 0.031135845 0.039475103,0.48423548 0.2307363 0.18285542 0.43114927 0.10600715
626,15,0.2,0.05,0.3,0.15000000000000002,True,1.1806667612337836,0.9180426228912332,0.05217625728845771,0.016542665252168926,1.0,0.996960532331746,8 1,3.4582506 1.7068814,0.011224534 0.043672994 0.055954431 0.051341266 0.054276013,0.38011571 0.13452113 0.2266213 0.15435495 0.4285526
627,10,0.15,0.35,0.35,-0.19999999999999998,True,2.3942035840589373,0.5261053111217808,0.24096266762184895,0.09667598977405079,1.0,0.52611012295884,12 3,2.2366009 3.5070444,0.044164345 0.049354847 0.019580813 0.050118208 0.019566196,0.19087154 0.30951487 0.48726049 0.39859886 0.40601028
628,13,0.45,0.45,0.6,0.0,True,2.570425046918676,0.5299027843280111,0.4426582301500033,0.020285645707824353,1.0,0.9803359903881268,9 21,2.2671721 2.6220487,0.024093891 0.020760908 0.041966569 0.050252742 0.058183544,0.40328838 0.1827529 0.39594729 0.28653329 0.11707161
629,15,0.2,0.4,0.45,-0.2,True,4.116176622671248,0.31913289887299656,0.2220072224228264,0.15160408896214245,1.0,0.40832972032805276,18 13,3.5246116 3.5576398,0.011224534 0.043672994 0.055954431 0.051341266 0.054276013,0.38011571 0.13452113 0.2266213 0.15435495 0.4285526
630,5,0.25,0.45,0.6,-0.2,True,2.3530230372308405,0.5394874165045633,0.40296676692321753,0.08609719059479362,1.0,0.09569718667372103,24 0,2.4097074 1.3503532,0.046239497 0.037061343 0.02384456 0.0180326 0.058496271,0.20380763 0.29465118 0.1383336 0.49826354 0.15944696
631,0,0.1,0.45,0.6,-0.35,True,1.0098581131163862,0.995102811226679,0.4483028153399515,0.025058455292894834,1.0,0.00449925354688767,23 25,3.3059818 1.9449308,0.035591081 0.057523185 0.017207981 0.057432472 0.025591573,0.34715992 0.16049852 0.39583265 0.14525363 0.42407368
632,10,0.15,0.05,0.45,0.09999999999999999,True,1.0000005161655179,0.9999997419173108,0.05000006653068727,0.00013204799650877675,1.0,0.9999997419173109,14 12,4.6278355 2.2366009,0.044164345 0.049354847 0.019580813 0.050118208 0.019566196,0.19087154 0.30951487 0.48726049 0.39859886 0.40601028
633,2,0.3,0.3,0.6,0.0,True,1.000736227021981,0.9996320426054957,0.3000418094161817,0.0026277641520313423,1.0,0.9997000878908479,18 9,3.6835873 4.1117091,0.047675655 0.036907166 0.026486586 0.049421435 0.025159741,0.36110167 0.13035735 0.22831527 0.052621068 0.16812262
634,7,0.6,0.6,0.6,0.0,True,5.833677678571299,0.25249097841544876,0.3788699528071099,0.09444890426641321,1.0,0.9999999999999999,20 22,1.5641795 1.569799,0.055864885 0.011979644 0.036429463 0.032966794 0.013117479,0.10790295 0.21930733 0.23941463 0.34924291 0.25516803
635,9,0.35,0.45,0.45,-0.10000000000000003,True,1.22656455668863,0.8991822836894502,0.44646220202540515,0.025106809764370863,1.0,0.01984537933518721,2 8,1.3286622 7.0773198,0.035474794 0.035544444 0.04765151 0.017396102 0.050981336,0.21546481 0.099380599 0.14145869 0.17771292 0.19136025
636,8,0.1,0.15,0.35,-0.04999999999999999,True,2.7757914478598753,0.49204423151248783,0.10834461536995063,0.03497113431431414,1.0,0.8629622605080902,12 21,1.4301331 1.5719651,0.042066408 0.052631642 0.039647051 0.023004872 0.051994076,0.31393325 0.42785807 0.37691312 0.21425327 0.25177834
637,15,0.2,0.25,0.6,-0.04999999999999999,True,1.2333060147900519,0.8982516936611109,0.2395974696882222,0.0467302189213297,1.0,0.05626383766260987,21 18,1.7495473 3.5246116,0.011224534 0.043672994 0.055954431 0.051341266 0.054276013,0.38011571 0.13452113 0.2266213 0.15435495 0.4285526
638,4,0.4,0.45,0.5,-0.04999999999999999,True,5.505683675456483,0.22927659971312167,0.43790593266178196,0.02151431154476403,1.0,0.2409956173681437,21 16,2.5435389 2.5872732,0.047518234 0.024020438 0.034259549 0.05903686 0.05808286,0.3442397 0.24405204 0.44029423 0.3344608 0.41462346
