update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,validation_mean_u_ctrl,validation_mean_mocu,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor
1,0.1567968726158142,0.1567968726158142,RL-sBOED,0.26047825813293457,64,3.961735486984253,,,,,,,,,,
2,0.16242188215255737,0.16242188215255737,RL-sBOED,0.04035449028015137,128,3.9576098918914795,,,,,,,,,,
3,0.1494140625,0.1494140625,RL-sBOED,0.045241594314575195,192,3.9539847373962402,,,,,,,,,,
4,0.14589843153953552,0.14589843153953552,RL-sBOED,0.046463966369628906,256,3.949272632598877,,,,,,,,,,
5,0.15468749403953552,0.15468749403953552,RL-sBOED,0.03821611404418945,320,3.943998336791992,,,,,,,,,,
6,0.16277344524860382,0.16277344524860382,RL-sBOED,0.03590226173400879,384,3.9396677017211914,,,,,,,,,,
7,0.14976564049720764,0.14976564049720764,RL-sBOED,0.03566098213195801,448,3.9353654384613037,,,,,,,,,,
8,0.1420312523841858,0.1420312523841858,RL-sBOED,0.03593158721923828,512,3.9316489696502686,,,,,,,,,,
9,0.1589062511920929,0.1589062511920929,RL-sBOED,0.03558611869812012,576,3.9276123046875,,,,,,,,,,
10,0.1655859351158142,0.1655859351158142,RL-sBOED,0.03556966781616211,640,3.922985792160034,,,,,,,,,,
11,0.16171875596046448,0.16171875596046448,RL-sBOED,0.03638911247253418,704,3.915790557861328,,,,,,,,,,
12,0.1508203148841858,0.1508203148841858,RL-sBOED,0.03797125816345215,768,3.9111411571502686,,,,,,,,,,
13,0.15785157680511475,0.15785157680511475,RL-sBOED,0.035448312759399414,832,3.9101366996765137,,,,,,,,,,
14,0.15222656726837158,0.15222656726837158,RL-sBOED,0.03570914268493652,896,3.9127376079559326,,,,,,,,,,
15,0.15363281965255737,0.15363281965255737,RL-sBOED,0.03554224967956543,960,3.91192626953125,,,,,,,,,,
16,0.15257813036441803,0.15257813036441803,RL-sBOED,0.03554201126098633,1024,3.9092166423797607,,,,,,,,,,
17,0.16171875596046448,0.16171875596046448,RL-sBOED,0.03549671173095703,1088,3.9116716384887695,,,,,,,,,,
